,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
477,477,477,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,"
      Vorige.",0,14,stage_direction,1,14,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
478,478,478,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,"Die Genien des Gesangs und des Scherzes stürzen ängstlich herein – hinter ihnen der Menschenhasser mit vielen seiner Gesellen, welche den Kasperl gebunden führen.",15,177,stage_direction,1,14,pre_speech,,,,,fear,negative,emotions of anxiety,comedy,KK
479,479,479,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,"
       s. Hülfe, ihr guten Menschen!",0,37,character_speech,1,14,,"
       GENIUS DES SCHERZES.
      ",#genius_des_scherzes,167.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
480,480,480,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,rettet uns.,38,49,character_speech,1,14,,"
       GENIUS DES SCHERZES.
      ",#genius_des_scherzes,167.0,UNKNOWN,fear,negative,emotions of anxiety,comedy,KK
481,481,481,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,"
        (umgeben sie).",0,23,stage_direction,1,14,inner_speech,,#alle,168.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
482,482,482,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,"
       He – he – zurück – Herr Urian!",0,38,character_speech,1,14,,"
       ALLE.
      ",#alle,168.0,UNKNOWN,fear,negative,emotions of anxiety,comedy,KK
483,483,483,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,das leiden wir nicht.,39,60,character_speech,1,14,,"
       ALLE.
      ",#alle,168.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
484,484,484,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,"
        (schwingt eine Schlange gegen sie, und sie bleiben alle in einer bezauberten Attitude)",0,95,stage_direction,1,14,inner_speech,,#menschenhasser,169.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
485,485,485,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,"
       Ihr seyd in meiner Gewalt!",0,34,character_speech,1,14,,"
       MENSCHENHASSER.
      ",#menschenhasser,169.0,UNKNOWN,"admiration, reverence",positive,emotions of affection,comedy,KK
486,486,486,Kasperl/Hensler_Das_friedliche_Dörfchen.csv,"
       Auweh!",0,14,character_speech,1,14,,"
       KASPERL.
      ",#kasperl,170.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
