,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
1529,1529,1529,Kasperl/Perinet_Beylager_korr.csv,"
       
        Sie ist nicht mehr!",0,36,character_speech,3,22,,"
       Regent. Friseur.
      ",#regent #friseur,623.0,UNKNOWN,despair,negative,emotions of anxiety,comedy,KK
1530,1530,1530,Kasperl/Perinet_Beylager_korr.csv,"Sie ist nicht mehr
       
       
        Ihr Leben ist verschwunden,
       
       
        Sie ist nicht mehr, ach ich/der Friseur
       
       
        Der hat sie todt/Ich hab’ sie todt gefunden.",37,240,character_speech,3,22,,"
       Regent. Friseur.
      ",#regent #friseur,623.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
1531,1531,1531,Kasperl/Perinet_Beylager_korr.csv,"Nun ist die todt die gute Braut,
       
       
        Ach weint und jammert alle laut.",265,354,character_speech,3,22,,"
       Regent. Friseur.
      ",#regent #friseur,623.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
1532,1532,1532,Kasperl/Perinet_Beylager_korr.csv,"
       
        Sie ist nicht mehr, sie ist nicht mehr,
       
       
        Das hätt’ sie sollen wissen.",0,109,character_speech,3,22,,"
       Kaspar.
      ",#kaspar,624.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
1533,1533,1533,Kasperl/Perinet_Beylager_korr.csv,"Die Fräula hat, sagt der Friseur,
       
       
        Zu fruh ins Gras gebissen,
       
       
        Nun ist sie todt die gute Haut
       
       
        Wo kriegt der Graf ein andre Braut?",134,333,character_speech,3,22,,"
       Kaspar.
      ",#kaspar,624.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
1534,1534,1534,Kasperl/Perinet_Beylager_korr.csv,"
       (kommt)",0,15,stage_direction,3,22,speech_part,,#lenchen #lisette,625.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1535,1535,1535,Kasperl/Perinet_Beylager_korr.csv,"
       
        Ach Jammer, Elend, Angst, und Noth,
       
       
        Was hab ich müssen hören!",0,102,character_speech,3,22,,"
       Lenchen. Lisette.
      ",#lenchen #lisette,625.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
1536,1536,1536,Kasperl/Perinet_Beylager_korr.csv,"Daß Fräulein Braut ist plötzlich todt
       
       
        Wer kann den Thränen wehren?",127,217,character_speech,3,22,,"
       Lenchen. Lisette.
      ",#lenchen #lisette,625.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
1537,1537,1537,Kasperl/Perinet_Beylager_korr.csv,"Nun ist sie todt die gute Braut,
       
       
        Zwey Kammerjungfern weinen laut.",242,331,character_speech,3,22,,"
       Lenchen. Lisette.
      ",#lenchen #lisette,625.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
1538,1538,1538,Kasperl/Perinet_Beylager_korr.csv,"
       (kommt)",0,15,stage_direction,3,22,speech_part,,#poet,626.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
1539,1539,1539,Kasperl/Perinet_Beylager_korr.csv,"
       
        Ach Gott Apollo, sie ist hin!",0,46,character_speech,3,22,,"
       Poet.
      ",#poet,626.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
1540,1540,1540,Kasperl/Perinet_Beylager_korr.csv,"Sie wollt als Braut sich hutschen,
       
       
        Da kam der Tod, der Flegel kühn,
       
       
        Und ließ sie Brettel rutschen.",71,217,character_speech,3,22,,"
       Poet.
      ",#poet,626.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
