,Unnamed: 0,pre1_tag_type_cp,pre1_tag_type_percentage_cp,pre1_tag_type_sd,pre1_tag_type_percentage_sd
0,Schadenfreude,383,0.5057507691901385,12,"0,148038490007402"
1,abhorrence,3664,4.838305008649262,72,"0,888230940044411"
2,"admiration, reverence",2633,3.476871475920717,74,"0,912904021712312"
3,anger,4638,6.124470150140632,270,"3,33086602516654"
4,being moved,4620,6.1007011844867876,244,"3,01011596348384"
5,compassion,963,1.2716396624806878,7,"0,086355785837651"
6,desire,9,0.011884482826922315,0,0
7,despair,802,1.0590394696879664,6,"0,074019245003701"
8,fear,1919,2.5340358383182138,131,"1,61608684924747"
9,friendship,718,0.9481176299700248,4,"0,049346163335801"
10,joy,4356,5.7520896882304005,362,"4,46582778188996"
11,love,3988,5.2661463904184656,88,"1,08561559338761"
12,no_annotation,40545,53.53959513528503,6614,"81,5938810757464"
13,suffering,6491,8.57135311439475,222,"2,73871206513694"
