,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,,,,,,LS,negativ,1576,CATMA_1E558EF7-0A0E-4758-AAA9-5D10C1BE5C2D,40,Emotionen des Leids,negativ,1335,Leid,"tadle diese Betrübnis nicht. Und wenn sie noch größer sein könnte, was
              für ein armseliges Opfer wäre sie immer noch für die Verbrechen, mit welchen ich in
              meinen jüngeren Jahren Gott und die Welt beleidiget habe?
","['tadle', 'diese', 'Betrübnis', 'nicht', '.', 'Und', 'wenn', 'sie', 'noch', 'größer', 'sein', 'könnte', ',', 'was', 'für', 'ein', 'armseliges', 'Opfer', 'wäre', 'sie', 'immer', 'noch', 'für', 'die', 'Verbrechen', ',', 'mit', 'welchen', 'ich', 'in', 'meinen', 'jüngeren', 'Jahren', 'Gott', 'und', 'die', 'Welt', 'beleidiget', 'habe', '?']"
1,robert,,,,,LS,positiv,1877,CATMA_459795DF-38FD-439D-A4EC-21C33E390278,40,Emotionen der Zuneigung,positiv,1585,Verehrung,"Dieser Eifer, mit welchem dein Herz wieder zu der Tugend zurückgekehret ist, hat dich
              bereits mit Gott und dem tugendhaften Teile der Welt wegen dieser Beleidigungen
              ausgesöhnet. Deine guten Handlungen haben nunmehr deine bösen ungeschehen
              gemachet.
","['Dieser', 'Eifer', ',', 'mit', 'welchem', 'dein', 'Herz', 'wieder', 'zu', 'der', 'Tugend', 'zurückgekehret', 'ist', ',', 'hat', 'dich', 'bereits', 'mit', 'Gott', 'und', 'dem', 'tugendhaften', 'Teile', 'der', 'Welt', 'wegen', 'dieser', 'Beleidigungen', 'ausgesöhnet', '.', 'Deine', 'guten', 'Handlungen', 'haben', 'nunmehr', 'deine', 'bösen', 'ungeschehen', 'gemachet', '.']"
2,,,,,,LS,negativ,2371,CATMA_6156470B-60D9-4D3A-BDBB-CB3B5D08B5A0,71,Emotionen des Leids,negativ,1921,Leid,"Können sie einem elenden Greise das traurige
              Andenken rauben, daß er in seiner Jugend ein Bösewicht war? Wer weiß, von wie vielen
              künftigen Lastern ich noch die elende Ursache bin? Wer weiß, wieviel Personen ich,
              auch ohne daß ich sie kenne, bereits zu Verbrechern gemachet habe oder noch machen
              werde? Kann ich bei allen diesen Vorstellungen eine Freude zu empfinden fähig
              sein?
","['Können', 'sie', 'einem', 'elenden', 'Greise', 'das', 'traurige', 'Andenken', 'rauben', ',', 'daß', 'er', 'in', 'seiner', 'Jugend', 'ein', 'Bösewicht', 'war', '?', 'Wer', 'weiß', ',', 'von', 'wie', 'vielen', 'künftigen', 'Lastern', 'ich', 'noch', 'die', 'elende', 'Ursache', 'bin', '?', 'Wer', 'weiß', ',', 'wieviel', 'Personen', 'ich', ',', 'auch', 'ohne', 'daß', 'ich', 'sie', 'kenne', ',', 'bereits', 'zu', 'Verbrechern', 'gemachet', 'habe', 'oder', 'noch', 'machen', 'werde', '?', 'Kann', 'ich', 'bei', 'allen', 'diesen', 'Vorstellungen', 'eine', 'Freude', 'zu', 'empfinden', 'fähig', 'sein', '?']"
3,willhelm,robert,,,,LS,positiv,2421,CATMA_C9513951-CE3F-416B-81AD-22D284777967,6,Emotionen der Freude,positiv,2380,Freude,Sieh auf angenehmere Szenen deines Lebens,"['Sieh', 'auf', 'angenehmere', 'Szenen', 'deines', 'Lebens']"
4,,,lucie,,,LS,negativ,2706,CATMA_73580F5C-25B3-473D-8EC9-085FD0714627,14,Emotionen der Angst,negativ,2642,Verzweiflung,"Nenne mir diesen Namen nicht. Er ist ein Dolch in meiner Seele.
","['Nenne', 'mir', 'diesen', 'Namen', 'nicht', '.', 'Er', 'ist', 'ein', 'Dolch', 'in', 'meiner', 'Seele', '.']"
5,robert,,,,,LS,Emotionale Bewegtheit,2829,CATMA_7170F8BA-7409-4178-9215-425630B8BE19,19,Emotionale Bewegtheit,Emotionale Bewegtheit,2715,Emotionale Bewegtheit,"Wie? der Name derjenigen, die alle deine Liebe besitzt? die dir ebensoviel Liebe
              wieder zurückgibt?
","['Wie', '?', 'der', 'Name', 'derjenigen', ',', 'die', 'alle', 'deine', 'Liebe', 'besitzt', '?', 'die', 'dir', 'ebensoviel', 'Liebe', 'wieder', 'zurückgibt', '?']"
6,,,,,,LS,negativ,3093,CATMA_43483E55-C3DA-4D9A-A16F-72825D9A79C3,42,Emotionen der Ablehnung,negativ,2857,Abscheu,"die mich hassen, die mich verabscheuen müßte, wenn ich mich nicht
              bemühete, das Laster, mit welchem ich sie beleidiget habe, vor der ganzen Welt und
              ihren eigenen Augen, außer vor den deinigen, zu verbergen.
","['die', 'mich', 'hassen', ',', 'die', 'mich', 'verabscheuen', 'müßte', ',', 'wenn', 'ich', 'mich', 'nicht', 'bemühete', ',', 'das', 'Laster', ',', 'mit', 'welchem', 'ich', 'sie', 'beleidiget', 'habe', ',', 'vor', 'der', 'ganzen', 'Welt', 'und', 'ihren', 'eigenen', 'Augen', ',', 'außer', 'vor', 'den', 'deinigen', ',', 'zu', 'verbergen', '.']"
7,,,,,,LS,positiv,3337,CATMA_1C94D721-B85E-4CBB-9A2D-4AB12CD09B6B,17,Emotionen der Freude,positiv,3215,Freude,"Wieviel Freuden, unaussprechliche Freuden,
              raubt mir die Verbergung dieses Geheimnisses auf der einen Seite!","['Wieviel', 'Freuden', ',', 'unaussprechliche', 'Freuden', ',', 'raubt', 'mir', 'die', 'Verbergung', 'dieses', 'Geheimnisses', 'auf', 'der', 'einen', 'Seite', '!']"
8,,,,,,LS,negativ,4348,CATMA_6A3B359A-8844-4611-B7F1-2C754B33CC24,161,Emotionen des Leids,negativ,3338,Leid,"und mit wieviel
              neuen Martern quält sie mich von der andern! Kein Augenblick, seitdem ich sie aus der
              Aufsicht der unglücklichen Frau Norris in mein Haus genommen habe, ist
              verschwunden, da ich nicht, so oft ich sie sehe, erzittere. Welche Stiche fühlt mein
              Herz, wenn sie mit allen ihren einnehmenden Liebkosungen mir für die Proben der Liebe
              und Freundlichkeit schmeichelt, die sie meiner Güte und Menschenliebe zuschreibt, und
              die sie – ach Freund! wem? – dem Laster zu danken hat. Alle Lobsprüche, mit denen mich
              die Unwissenheit meiner Freunde und Bekannten erhebet, verwandeln sich in meiner Seele
              in ebensoviel Spöttereien. Sie sind mir ein neuer Beweis von der Blindheit und
              Torheit, mit der die Welt nur gar zu oft Leute erhebet, die sie nicht kennet, mit der
              sie Handlungen als Tugenden preist, die bei allem ihrem äußerlichen Glanze Laster
              sind.","['und', 'mit', 'wieviel', 'neuen', 'Martern', 'quält', 'sie', 'mich', 'von', 'der', 'andern', '!', 'Kein', 'Augenblick', ',', 'seitdem', 'ich', 'sie', 'aus', 'der', 'Aufsicht', 'der', 'unglücklichen', 'Frau', 'Norris', 'in', 'mein', 'Haus', 'genommen', 'habe', ',', 'ist', 'verschwunden', ',', 'da', 'ich', 'nicht', ',', 'so', 'oft', 'ich', 'sie', 'sehe', ',', 'erzittere', '.', 'Welche', 'Stiche', 'fühlt', 'mein', 'Herz', ',', 'wenn', 'sie', 'mit', 'allen', 'ihren', 'einnehmenden', 'Liebkosungen', 'mir', 'für', 'die', 'Proben', 'der', 'Liebe', 'und', 'Freundlichkeit', 'schmeichelt', ',', 'die', 'sie', 'meiner', 'Güte', 'und', 'Menschenliebe', 'zuschreibt', ',', 'und', 'die', 'sie', '–', 'ach', 'Freund', '!', 'wem', '?', '–', 'dem', 'Laster', 'zu', 'danken', 'hat', '.', 'Alle', 'Lobsprüche', ',', 'mit', 'denen', 'mich', 'die', 'Unwissenheit', 'meiner', 'Freunde', 'und', 'Bekannten', 'erhebet', ',', 'verwandeln', 'sich', 'in', 'meiner', 'Seele', 'in', 'ebensoviel', 'Spöttereien', '.', 'Sie', 'sind', 'mir', 'ein', 'neuer', 'Beweis', 'von', 'der', 'Blindheit', 'und', 'Torheit', ',', 'mit', 'der', 'die', 'Welt', 'nur', 'gar', 'zu', 'oft', 'Leute', 'erhebet', ',', 'die', 'sie', 'nicht', 'kennet', ',', 'mit', 'der', 'sie', 'Handlungen', 'als', 'Tugenden', 'preist', ',', 'die', 'bei', 'allem', 'ihrem', 'äußerlichen', 'Glanze', 'Laster', 'sind', '.']"
9,,,,,,LS,negativ,4852,CATMA_95E63D28-B732-4046-989B-289C3C55AF5F,75,Emotionen des Leids,negativ,4349,Mitleid,"Warum erheben sie doch meine Menschenliebe, mit welcher ich mich eines
              unglücklichen Mädchens annehme, das von ihren Eltern weggesetzet, dem Verderben und
              dem Mitleid andrer war überlassen worden? Wüßten sie, daß alle diese Gütigkeiten nicht
              das Werk der Menschenliebe, sondern das Werk der Pflicht sind, und zwar einer Pflicht,
              die aus dem niedrigsten Laster entspringt, sie würden mich ebendeswegen verachten,
              warum sie mich loben.","['Warum', 'erheben', 'sie', 'doch', 'meine', 'Menschenliebe', ',', 'mit', 'welcher', 'ich', 'mich', 'eines', 'unglücklichen', 'Mädchens', 'annehme', ',', 'das', 'von', 'ihren', 'Eltern', 'weggesetzet', ',', 'dem', 'Verderben', 'und', 'dem', 'Mitleid', 'andrer', 'war', 'überlassen', 'worden', '?', 'Wüßten', 'sie', ',', 'daß', 'alle', 'diese', 'Gütigkeiten', 'nicht', 'das', 'Werk', 'der', 'Menschenliebe', ',', 'sondern', 'das', 'Werk', 'der', 'Pflicht', 'sind', ',', 'und', 'zwar', 'einer', 'Pflicht', ',', 'die', 'aus', 'dem', 'niedrigsten', 'Laster', 'entspringt', ',', 'sie', 'würden', 'mich', 'ebendeswegen', 'verachten', ',', 'warum', 'sie', 'mich', 'loben', '.']"
