,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,,,,,,,LSch,positiv,963,CATMA_F60362D8-B7CC-48A0-A0C1-C96F3E8C65BD,20,Emotionen der Zuneigung,positiv,865,Freundschaft,IHr liebsten Gespielen / ich lasse nicht von euch / Ihr machet mich ruhig / ihr machet mich reich.,"['IHr', 'liebsten', 'Gespielen', '/', 'ich', 'lasse', 'nicht', 'von', 'euch', '/', 'Ihr', 'machet', 'mich', 'ruhig', '/', 'ihr', 'machet', 'mich', 'reich', '.']"
1,,,,,,,LSch,positiv,1185,CATMA_431FD6EF-5C43-41A8-924E-302822A1A295,21,Emotionen der Zuneigung,positiv,1083,Verehrung,Ich bin des Himmels-Kind / wo mich die Vöcker ehren / Da wird man nichts von Furcht und Schaden hören.,"['Ich', 'bin', 'des', 'Himmels-Kind', '/', 'wo', 'mich', 'die', 'Vöcker', 'ehren', '/', 'Da', 'wird', 'man', 'nichts', 'von', 'Furcht', 'und', 'Schaden', 'hören', '.']"
2,,,,,,,LSch,negativ,1185,CATMA_23860C59-2F67-41BB-B8ED-8654607F6541,21,Emotionen des Leids,negativ,1083,Leid,Ich bin des Himmels-Kind / wo mich die Vöcker ehren / Da wird man nichts von Furcht und Schaden hören.,"['Ich', 'bin', 'des', 'Himmels-Kind', '/', 'wo', 'mich', 'die', 'Vöcker', 'ehren', '/', 'Da', 'wird', 'man', 'nichts', 'von', 'Furcht', 'und', 'Schaden', 'hören', '.']"
3,,pax,,,,,LSch,positiv,1285,CATMA_5C05C090-0E5C-4A78-B115-005A705B3DDC,19,Emotionen der Zuneigung,positiv,1186,Liebe,"Liebt den edlen Friede / Weil ihr lieben könnt / Der zum schönsten Liede Lust und Krafft vergönnt.
","['Liebt', 'den', 'edlen', 'Friede', '/', 'Weil', 'ihr', 'lieben', 'könnt', '/', 'Der', 'zum', 'schönsten', 'Liede', 'Lust', 'und', 'Krafft', 'vergönnt', '.']"
4,,opulentia,,,,,LSch,positiv,1497,CATMA_0F37F357-B058-4528-8AAD-DA99BA02C9E9,18,Emotionen der Zuneigung,positiv,1403,Liebe,Liebt den reichen Seegen Weil ihr lieben könnt / Der zu euren Wegen Licht und Krafft vergönnt.,"['Liebt', 'den', 'reichen', 'Seegen', 'Weil', 'ihr', 'lieben', 'könnt', '/', 'Der', 'zu', 'euren', 'Wegen', 'Licht', 'und', 'Krafft', 'vergönnt', '.']"
5,,,,,,,LSch,positiv,1561,CATMA_CF57D26E-8647-402F-9BAD-69161DB941B0,12,Emotionen der Zuneigung,positiv,1509,Liebe,Ich liebe / schaffet nur / daß ich stets lieben kan.,"['Ich', 'liebe', '/', 'schaffet', 'nur', '/', 'daß', 'ich', 'stets', 'lieben', 'kan', '.']"
6,,fatum,,,,,LSch,positiv,2142,CATMA_2461194D-905C-4D86-A9F3-5D0CBC045F70,18,Emotionen der Freude,positiv,2047,Freude,"Was die Menschen hoffen / Giebt der Himmel an / Sonst wird nichts getroffen Das vergnügen kan.
","['Was', 'die', 'Menschen', 'hoffen', '/', 'Giebt', 'der', 'Himmel', 'an', '/', 'Sonst', 'wird', 'nichts', 'getroffen', 'Das', 'vergnügen', 'kan', '.']"
7,,fatum,,,,,LSch,positiv,2613,CATMA_5D029FA3-5DBD-4675-A4D7-A4982F9974B9,48,Emotionen der Freude,positiv,2372,Freude,so denckt / daß ihr verknüpffet seyd / Wofern die Nympfe was zu ihrer Liebe findet / Daß sich ein Printz mit ihr verbindet / Sonst wancket die Zufriedenheit. Was ist ein Weib Darauff ein Liebster zielt? Es ist ein Leib Der keine Seele fühlt.,"['so', 'denckt', '/', 'daß', 'ihr', 'verknüpffet', 'seyd', '/', 'Wofern', 'die', 'Nympfe', 'was', 'zu', 'ihrer', 'Liebe', 'findet', '/', 'Daß', 'sich', 'ein', 'Printz', 'mit', 'ihr', 'verbindet', '/', 'Sonst', 'wancket', 'die', 'Zufriedenheit', '.', 'Was', 'ist', 'ein', 'Weib', 'Darauff', 'ein', 'Liebster', 'zielt', '?', 'Es', 'ist', 'ein', 'Leib', 'Der', 'keine', 'Seele', 'fühlt', '.']"
8,,fatum,,,,,LSch,positiv,2494,CATMA_AD4FD042-403A-456A-8E56-0A8D6851E7A7,16,Emotionen der Zuneigung,positiv,2411,Liebe,Wofern die Nympfe was zu ihrer Liebe findet / Daß sich ein Printz mit ihr verbindet,"['Wofern', 'die', 'Nympfe', 'was', 'zu', 'ihrer', 'Liebe', 'findet', '/', 'Daß', 'sich', 'ein', 'Printz', 'mit', 'ihr', 'verbindet']"
9,,fatum,,,,,LSch,positiv,2494,CATMA_E2465A34-C579-475A-9158-ADB56D47EFA3,7,Emotionen der Zuneigung,positiv,2457,Liebe,Daß sich ein Printz mit ihr verbindet,"['Daß', 'sich', 'ein', 'Printz', 'mit', 'ihr', 'verbindet']"
10,,fatum,,,,,LSch,positiv,3159,CATMA_F1C6A1F7-DFBD-4815-97BF-1560D99FE1EF,15,Emotionen der Zuneigung,positiv,3092,Liebe,Wer heist ich / wo wohnt der Feine / Liebt er sie und sonsten keine,"['Wer', 'heist', 'ich', '/', 'wo', 'wohnt', 'der', 'Feine', '/', 'Liebt', 'er', 'sie', 'und', 'sonsten', 'keine']"
11,amandus,,burgundia,,,,LSch,positiv,3177,CATMA_2F0B31F4-BDA7-4C32-9F82-15B1A02F66C0,2,Emotionen der Zuneigung,positiv,3170,Liebe,"Keine.
","['Keine', '.']"
12,fatum,,,,,,LSch,negativ,3435,CATMA_D7602B86-2C81-4058-9967-81FD2564291A,10,Emotionen der Ablehnung,negativ,3386,Ärger,Wer spottet unser Wort / heraus du falscher Hund?,"['Wer', 'spottet', 'unser', 'Wort', '/', 'heraus', 'du', 'falscher', 'Hund', '?']"
13,,,,,,,LSch,negativ,3484,CATMA_90F2A22C-B39E-41C2-87AA-45E5C03233B1,9,Emotionen des Leids,negativ,3443,Leid,"Ach schonet mein / ich bin gar ungesund.
","['Ach', 'schonet', 'mein', '/', 'ich', 'bin', 'gar', 'ungesund', '.']"
14,fatum,,fatuum,,,,LSch,negativ,3513,CATMA_3692C3C3-46D5-4ED3-9CC6-23626BD8954F,4,Emotionen der Ablehnung,negativ,3491,Ärger,Weswegen ruffstu nach?,"['Weswegen', 'ruffstu', 'nach', '?']"
15,,fatum,,,,,LSch,negativ,3599,CATMA_2CD1466D-F13B-445C-9AA1-5CACB04892D4,10,Emotionen des Leids,negativ,3552,Leid,"Wer Sünde thut / der soll auch Straffe leiden.
","['Wer', 'Sünde', 'thut', '/', 'der', 'soll', 'auch', 'Straffe', 'leiden', '.']"
