,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,,lisette,,,,LS,Emotionale Bewegtheit,1546,CATMA_FCA52F16-5497-49F7-9DB0-89FB3CE26C04,22,Emotionale Bewegtheit,Emotionale Bewegtheit,1434,Emotionale Bewegtheit,"Sie hat heut so vielerley
              Dinge im Kopfe, daß sie selbst nicht weiß, was sie will und nicht will. ","['Sie', 'hat', 'heut', 'so', 'vielerley', 'Dinge', 'im', 'Kopfe', ',', 'daß', 'sie', 'selbst', 'nicht', 'weiß', ',', 'was', 'sie', 'will', 'und', 'nicht', 'will', '.']"
1,lisette,,,,,LS,negativ,1617,CATMA_1C9402C6-5C60-42E8-A02C-7B4638F7EF15,9,Emotionen des Leids,negativ,1546,Leid,"Wenn wir doch
              diese Festivität schon überstanden hätten!
","['Wenn', 'wir', 'doch', 'diese', 'Festivität', 'schon', 'überstanden', 'hätten', '!']"
2,,,,,,LS,negativ,1833,CATMA_E74F3254-A951-41DB-86DE-550DB0EA6234,28,Emotionen der Ablehnung,negativ,1643,Ärger,"und Ich von meinem Interims-Haushofmeister-Amte wieder los wäre! Das ist
              nun diesen Morgen das zwölftemal, daß ich gerufen werde; achtmal bloß des Stalles
              wegen.
","['und', 'Ich', 'von', 'meinem', 'Interims-Haushofmeister-Amte', 'wieder', 'los', 'wäre', '!', 'Das', 'ist', 'nun', 'diesen', 'Morgen', 'das', 'zwölftemal', ',', 'daß', 'ich', 'gerufen', 'werde', ';', 'achtmal', 'bloß', 'des', 'Stalles', 'wegen', '.']"
3,,,,,,LS,negativ,2295,CATMA_717CBD5D-6F1F-4B59-A4EC-EFFD61EB457B,44,Emotionen der Ablehnung,negativ,2047,Abscheu,"So muß ich Ihnen also sagen, daß dieser Herr Bräutigam von unserm Fräulein, der
              größte, der berühmteste Pferdenarr im ganzen Lande ist – ein  Mensch, der
              nichts anders thut und denkt, als reiten, fahren, und halsbrechen.","['So', 'muß', 'ich', 'Ihnen', 'also', 'sagen', ',', 'daß', 'dieser', 'Herr', 'Bräutigam', 'von', 'unserm', 'Fräulein', ',', 'der', 'größte', ',', 'der', 'berühmteste', 'Pferdenarr', 'im', 'ganzen', 'Lande', 'ist', '–', 'ein', 'Mensch', ',', 'der', 'nichts', 'anders', 'thut', 'und', 'denkt', ',', 'als', 'reiten', ',', 'fahren', ',', 'und', 'halsbrechen', '.']"
4,,lisette,,,,LS,negativ,2215,CATMA_7F5D04AB-1B7E-44EE-B258-DC4F31BC03AF_0,20,Emotionen der Angst,negativ,2092,Angst,"Bräutigam von unserm Fräulein, der
              größte, der berühmteste Pferdenarr im ganzen Lande ist – ein  Mensch, der
","['Bräutigam', 'von', 'unserm', 'Fräulein', ',', 'der', 'größte', ',', 'der', 'berühmteste', 'Pferdenarr', 'im', 'ganzen', 'Lande', 'ist', '–', 'ein', 'Mensch', ',', 'der']"
5,,lisette,,,,LS,negativ,2489,CATMA_7F5D04AB-1B7E-44EE-B258-DC4F31BC03AF_1,31,Emotionen der Angst,negativ,2296,Angst,"Darum ist unsre
              Frau in Sorgen, es möchte wohl gar die ganze Heyrath in Trümmer gehen, wenn dem Grafen
              bey seiner Ankunft, von ungefähr unsre Stallordnung mißfiele.
","['Darum', 'ist', 'unsre', 'Frau', 'in', 'Sorgen', ',', 'es', 'möchte', 'wohl', 'gar', 'die', 'ganze', 'Heyrath', 'in', 'Trümmer', 'gehen', ',', 'wenn', 'dem', 'Grafen', 'bey', 'seiner', 'Ankunft', ',', 'von', 'ungefähr', 'unsre', 'Stallordnung', 'mißfiele', '.']"
6,der_verwalter,,,,,LS,negativ,2834,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_0,54,Emotionen der Ablehnung,negativ,2505,Ärger,"Ha nun begreif' ich! Denken Sie nur, Lisette! nebst den hochfreyherrlichen Pferden,
              mußt' ich alle unsre Mayerpferde, meine zween Braunen, und des Pfarrers Rappen in den
              herrschaftlichen Stall einstellen. Zum Glück ist nicht mehr Platz, sonst kämen wohl
              des Schulzens Hengste auch dazu.
","['Ha', 'nun', 'begreif', ""'"", 'ich', '!', 'Denken', 'Sie', 'nur', ',', 'Lisette', '!', 'nebst', 'den', 'hochfreyherrlichen', 'Pferden', ',', 'mußt', ""'"", 'ich', 'alle', 'unsre', 'Mayerpferde', ',', 'meine', 'zween', 'Braunen', ',', 'und', 'des', 'Pfarrers', 'Rappen', 'in', 'den', 'herrschaftlichen', 'Stall', 'einstellen', '.', 'Zum', 'Glück', 'ist', 'nicht', 'mehr', 'Platz', ',', 'sonst', 'kämen', 'wohl', 'des', 'Schulzens', 'Hengste', 'auch', 'dazu', '.']"
7,der_verwalter,,,,,LS,negativ,3056,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_1,11,Emotionen der Ablehnung,negativ,3004,Ärger,"Wenn Sie erst wüßten, wie heute der Stall aussieht!
","['Wenn', 'Sie', 'erst', 'wüßten', ',', 'wie', 'heute', 'der', 'Stall', 'aussieht', '!']"
8,der_verwalter,,,,,LS,negativ,3287,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_2,29,Emotionen der Ablehnung,negativ,3086,Ärger,"Seit Anbruch des Tages sind zwölf Frohnleute mit Putzen, Fegen und Polieren
              beschäftiget. Der Fußboden wurde mit weißem Sand ausgerieben, und dick mit Sägespähnen
              bestreut.
","['Seit', 'Anbruch', 'des', 'Tages', 'sind', 'zwölf', 'Frohnleute', 'mit', 'Putzen', ',', 'Fegen', 'und', 'Polieren', 'beschäftiget', '.', 'Der', 'Fußboden', 'wurde', 'mit', 'weißem', 'Sand', 'ausgerieben', ',', 'und', 'dick', 'mit', 'Sägespähnen', 'bestreut', '.']"
9,der_verwalter,,,,,LS,negativ,3595,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_3,34,Emotionen der Ablehnung,negativ,3359,Ärger,"Sie kennen ja die alten Familienportraits von den geharnischten Rittern, die alle das
              hochfreyherrliche Wappen neben der Schulter, oder zwischen den Füßen, und allmächtig
              große Perücken auf den Köpfen haben?
","['Sie', 'kennen', 'ja', 'die', 'alten', 'Familienportraits', 'von', 'den', 'geharnischten', 'Rittern', ',', 'die', 'alle', 'das', 'hochfreyherrliche', 'Wappen', 'neben', 'der', 'Schulter', ',', 'oder', 'zwischen', 'den', 'Füßen', ',', 'und', 'allmächtig', 'große', 'Perücken', 'auf', 'den', 'Köpfen', 'haben', '?']"
10,der_verwalter,,,,,LS,negativ,3726,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_4,9,Emotionen der Ablehnung,negativ,3687,Ärger,"Nicht mehr. Sie hängen alle im Stalle.
","['Nicht', 'mehr', '.', 'Sie', 'hängen', 'alle', 'im', 'Stalle', '.']"
11,lisette,,,,,LS,negativ,3343,CATMA_46C171F9-FFA6-49A2-B655-2147BD85A0D0,13,Emotionen der Ablehnung,negativ,3297,Ärger,"Nur? und nicht mit Rosenblättern? Ha! ha! ha!
","['Nur', '?', 'und', 'nicht', 'mit', 'Rosenblättern', '?', 'Ha', '!', 'ha', '!', 'ha', '!']"
