,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Emotionsbezug_falls_nötig
0,DER THRACISCHE BOSPHORUS,,,,,,LSch,negativ,17061,CATMA_F0D2B815-DFF2-4D6B-B2BD-3B7F3A91B912,14,Emotionen der Ablehnung,negativ,16977,Ärger,"Daß des erzürnten Bosphors Schlund
Den Strand verlässt / wo Thrax und Türcke wütten ","['Daß', 'des', 'erzürnten', 'Bosphors', 'Schlund', 'Den', 'Strand', 'verlässt', '/', 'wo', 'Thrax', 'und', 'Türcke', 'wütten']",
1,,DER THRACISCHE BOSPHORUS,,,,,LSch,positiv,17889,CATMA_A6B89A35-60E4-46F3-85AF-BECDDDEF07EE,21,Emotionen der Zuneigung,positiv,17794,Liebe,"Kein Felß / kein Stahl ist / der den hemmen kan /
Den Lieb und Furcht auf ihren Flügeln führet.","['Kein', 'Felß', '/', 'kein', 'Stahl', 'ist', '/', 'der', 'den', 'hemmen', 'kan', '/', 'Den', 'Lieb', 'und', 'Furcht', 'auf', 'ihren', 'Flügeln', 'führet', '.']",
2,,DER THRACISCHE BOSPHORUS,,,,,LSch,negativ,17889,CATMA_870CF639-0219-438F-8FCD-B9BA44E1A794,21,Emotionen der Angst,negativ,17794,Angst,"Kein Felß / kein Stahl ist / der den hemmen kan /
Den Lieb und Furcht auf ihren Flügeln führet.","['Kein', 'Felß', '/', 'kein', 'Stahl', 'ist', '/', 'der', 'den', 'hemmen', 'kan', '/', 'Den', 'Lieb', 'und', 'Furcht', 'auf', 'ihren', 'Flügeln', 'führet', '.']",
3,,,,,,,LSch,negativ,19290,CATMA_2BBA2AC3-A413-4A4F-A8E3-E305E9D326D3,241,Emotionen des Leids,negativ,17890,Leid,"Mein enger Strand/ auf dessen seichtem Rücken
Darius baute Brücken /
Durch den Zevs schwam verstellt in eine Kuh /
Wird durch geronnen Blut und Leichen gantz verschwemmet.
Der Todten-Knochen Last stopft meinen Einfluß zu /
Weil ieder Mord-Fürst hier darmit den Stuhl umbtämmet;
Ja heilge Thürm auß Menschen-Häuptern baut /4


Darzu man zu Spahan nur Ziegen-Köpfe brauchet.5


Und meine kalte Fluth vertrocknet und verrauchet /
Weil man in mich so viel nicht Wasser rinnen schaut /
Als Geilheits-Oel und Schwefel toller Brunst
Mit vollem Strom auß den Palästen schissen /
Die Mord und Unzucht als zwey Pforten schlüssen.
Der Grichen Laster sind bey ietzigen nur Dunst;
Wieviel in mir Geburths- und andre Glieder schwimmen /
Und Augen / die die Mutter selbst außrieß /
Wenn sie ihr Kind ins Kloster stieß;
Ob man der Fürsten Därm auf Pfählen noch sieht glimmen /
Die Mutter und der Sohn blutschändend seyn vermischt;
Ob bey gekochtem Kind ein Hencker-Vater tischt:
So gehen doch der Türcken Greuel-Thaten
Der Welt und Vorwelt Sünden für.
Byzanz hegt ietzt des Teufels giftge Saaten /
Beherbergt nur Wolf / Schlangen / Tygerthier!
Ich kan mehr den Gestanck der schwartzen Unzucht-Kertzen
Des Ibrahims vertragen nicht.
Es muß sich mein Chrystall von seiner Boßheit schwärtzen /
Stambuldens Glantz verliehrn ihr Licht.
Wie sol ich nun nicht mein Gestade fliehen /
Zu Ruh und Lust an frembdes Ufer ziehen?
","['Mein', 'enger', 'Strand/', 'auf', 'dessen', 'seichtem', 'Rücken', 'Darius', 'baute', 'Brücken', '/', 'Durch', 'den', 'Zevs', 'schwam', 'verstellt', 'in', 'eine', 'Kuh', '/', 'Wird', 'durch', 'geronnen', 'Blut', 'und', 'Leichen', 'gantz', 'verschwemmet', '.', 'Der', 'Todten-Knochen', 'Last', 'stopft', 'meinen', 'Einfluß', 'zu', '/', 'Weil', 'ieder', 'Mord-Fürst', 'hier', 'darmit', 'den', 'Stuhl', 'umbtämmet', ';', 'Ja', 'heilge', 'Thürm', 'auß', 'Menschen-Häuptern', 'baut', '/4', 'Darzu', 'man', 'zu', 'Spahan', 'nur', 'Ziegen-Köpfe', 'brauchet.5', 'Und', 'meine', 'kalte', 'Fluth', 'vertrocknet', 'und', 'verrauchet', '/', 'Weil', 'man', 'in', 'mich', 'so', 'viel', 'nicht', 'Wasser', 'rinnen', 'schaut', '/', 'Als', 'Geilheits-Oel', 'und', 'Schwefel', 'toller', 'Brunst', 'Mit', 'vollem', 'Strom', 'auß', 'den', 'Palästen', 'schissen', '/', 'Die', 'Mord', 'und', 'Unzucht', 'als', 'zwey', 'Pforten', 'schlüssen', '.', 'Der', 'Grichen', 'Laster', 'sind', 'bey', 'ietzigen', 'nur', 'Dunst', ';', 'Wieviel', 'in', 'mir', 'Geburths-', 'und', 'andre', 'Glieder', 'schwimmen', '/', 'Und', 'Augen', '/', 'die', 'die', 'Mutter', 'selbst', 'außrieß', '/', 'Wenn', 'sie', 'ihr', 'Kind', 'ins', 'Kloster', 'stieß', ';', 'Ob', 'man', 'der', 'Fürsten', 'Därm', 'auf', 'Pfählen', 'noch', 'sieht', 'glimmen', '/', 'Die', 'Mutter', 'und', 'der', 'Sohn', 'blutschändend', 'seyn', 'vermischt', ';', 'Ob', 'bey', 'gekochtem', 'Kind', 'ein', 'Hencker-Vater', 'tischt', ':', 'So', 'gehen', 'doch', 'der', 'Türcken', 'Greuel-Thaten', 'Der', 'Welt', 'und', 'Vorwelt', 'Sünden', 'für', '.', 'Byzanz', 'hegt', 'ietzt', 'des', 'Teufels', 'giftge', 'Saaten', '/', 'Beherbergt', 'nur', 'Wolf', '/', 'Schlangen', '/', 'Tygerthier', '!', 'Ich', 'kan', 'mehr', 'den', 'Gestanck', 'der', 'schwartzen', 'Unzucht-Kertzen', 'Des', 'Ibrahims', 'vertragen', 'nicht', '.', 'Es', 'muß', 'sich', 'mein', 'Chrystall', 'von', 'seiner', 'Boßheit', 'schwärtzen', '/', 'Stambuldens', 'Glantz', 'verliehrn', 'ihr', 'Licht', '.', 'Wie', 'sol', 'ich', 'nun', 'nicht', 'mein', 'Gestade', 'fliehen', '/', 'Zu', 'Ruh', 'und', 'Lust', 'an', 'frembdes', 'Ufer', 'ziehen', '?']",
4,,,,,,,LSch,negativ,18264,CATMA_AFC9CA9E-3CF8-4FF1-8245-1BE506F9CFB5_0,31,Emotionen der Ablehnung,negativ,18062,Abscheu,"Der Todten-Knochen Last stopft meinen Einfluß zu /
Weil ieder Mord-Fürst hier darmit den Stuhl umbtämmet;
Ja heilge Thürm auß Menschen-Häuptern baut /4


Darzu man zu Spahan nur Ziegen-Köpfe brauchet.5
","['Der', 'Todten-Knochen', 'Last', 'stopft', 'meinen', 'Einfluß', 'zu', '/', 'Weil', 'ieder', 'Mord-Fürst', 'hier', 'darmit', 'den', 'Stuhl', 'umbtämmet', ';', 'Ja', 'heilge', 'Thürm', 'auß', 'Menschen-Häuptern', 'baut', '/4', 'Darzu', 'man', 'zu', 'Spahan', 'nur', 'Ziegen-Köpfe', 'brauchet.5']",
5,,,,,,,LSch,negativ,18509,CATMA_AFC9CA9E-3CF8-4FF1-8245-1BE506F9CFB5_1,42,Emotionen der Ablehnung,negativ,18266,Abscheu,"Und meine kalte Fluth vertrocknet und verrauchet /
Weil man in mich so viel nicht Wasser rinnen schaut /
Als Geilheits-Oel und Schwefel toller Brunst
Mit vollem Strom auß den Palästen schissen /
Die Mord und Unzucht als zwey Pforten schlüssen.","['Und', 'meine', 'kalte', 'Fluth', 'vertrocknet', 'und', 'verrauchet', '/', 'Weil', 'man', 'in', 'mich', 'so', 'viel', 'nicht', 'Wasser', 'rinnen', 'schaut', '/', 'Als', 'Geilheits-Oel', 'und', 'Schwefel', 'toller', 'Brunst', 'Mit', 'vollem', 'Strom', 'auß', 'den', 'Palästen', 'schissen', '/', 'Die', 'Mord', 'und', 'Unzucht', 'als', 'zwey', 'Pforten', 'schlüssen', '.']",
6,,,,,,,LSch,negativ,19105,CATMA_AFC9CA9E-3CF8-4FF1-8245-1BE506F9CFB5_2,96,Emotionen der Ablehnung,negativ,18558,Abscheu,"Wieviel in mir Geburths- und andre Glieder schwimmen /
Und Augen / die die Mutter selbst außrieß /
Wenn sie ihr Kind ins Kloster stieß;
Ob man der Fürsten Därm auf Pfählen noch sieht glimmen /
Die Mutter und der Sohn blutschändend seyn vermischt;
Ob bey gekochtem Kind ein Hencker-Vater tischt:
So gehen doch der Türcken Greuel-Thaten
Der Welt und Vorwelt Sünden für.
Byzanz hegt ietzt des Teufels giftge Saaten /
Beherbergt nur Wolf / Schlangen / Tygerthier!
Ich kan mehr den Gestanck der schwartzen Unzucht-Kertzen
Des Ibrahims vertragen nicht.
","['Wieviel', 'in', 'mir', 'Geburths-', 'und', 'andre', 'Glieder', 'schwimmen', '/', 'Und', 'Augen', '/', 'die', 'die', 'Mutter', 'selbst', 'außrieß', '/', 'Wenn', 'sie', 'ihr', 'Kind', 'ins', 'Kloster', 'stieß', ';', 'Ob', 'man', 'der', 'Fürsten', 'Därm', 'auf', 'Pfählen', 'noch', 'sieht', 'glimmen', '/', 'Die', 'Mutter', 'und', 'der', 'Sohn', 'blutschändend', 'seyn', 'vermischt', ';', 'Ob', 'bey', 'gekochtem', 'Kind', 'ein', 'Hencker-Vater', 'tischt', ':', 'So', 'gehen', 'doch', 'der', 'Türcken', 'Greuel-Thaten', 'Der', 'Welt', 'und', 'Vorwelt', 'Sünden', 'für', '.', 'Byzanz', 'hegt', 'ietzt', 'des', 'Teufels', 'giftge', 'Saaten', '/', 'Beherbergt', 'nur', 'Wolf', '/', 'Schlangen', '/', 'Tygerthier', '!', 'Ich', 'kan', 'mehr', 'den', 'Gestanck', 'der', 'schwartzen', 'Unzucht-Kertzen', 'Des', 'Ibrahims', 'vertragen', 'nicht', '.']",
7,DER THRACISCHE BOSPHORUS,,,,,,LSch,positiv,19462,CATMA_209AE75A-0E96-4FD5-9B31-1582537D36F1,20,Emotionen der Zuneigung,positiv,19332,Liebe,"Als ein die gantze Welt durchdringend Liebes-Blitz /
Auf die Saphiernen Friedens-Auen /
Wo der gekrönte Löw hat seinen Käyser-Sitz","['Als', 'ein', 'die', 'gantze', 'Welt', 'durchdringend', 'Liebes-Blitz', '/', 'Auf', 'die', 'Saphiernen', 'Friedens-Auen', '/', 'Wo', 'der', 'gekrönte', 'Löw', 'hat', 'seinen', 'Käyser-Sitz']",
8,,DER THRACISCHE BOSPHORUS,,,,,LSch,positiv,20060,CATMA_43855F80-EB38-436D-93A9-81C005118DD9,99,Emotionen der Freude,positiv,19465,Freude,"Wo die starcken Adler sich gütiger als Tauben zeigen /
Und Stambuldens Monden sich für der Teutschen Sonne neigen.
Glückseligs Land! Glückselger Fluß!
Die kein unschuldig Blut beflecket!
Wo niemals ein Tyrannen-Fuß
Den Palmenreichen Sand bedecket.
Wo den Christallinen-Strom nichts als Lorbern überschatten /
Wo die Spiese sich in Eegen / Schwerdter sich in Pflug-Schaarn kehrn /
Ja wo Löw und Lämmer sich in vertrauter Eintracht gatten /
Wo man sieht auf Lantzen wachsen Trauben und Oliven-Beern.
Glückseliges Reich! Glückselige Stadt!
Die ihr gethürmtes Haupt biß durch die Wolcken strecket /
","['Wo', 'die', 'starcken', 'Adler', 'sich', 'gütiger', 'als', 'Tauben', 'zeigen', '/', 'Und', 'Stambuldens', 'Monden', 'sich', 'für', 'der', 'Teutschen', 'Sonne', 'neigen', '.', 'Glückseligs', 'Land', '!', 'Glückselger', 'Fluß', '!', 'Die', 'kein', 'unschuldig', 'Blut', 'beflecket', '!', 'Wo', 'niemals', 'ein', 'Tyrannen-Fuß', 'Den', 'Palmenreichen', 'Sand', 'bedecket', '.', 'Wo', 'den', 'Christallinen-Strom', 'nichts', 'als', 'Lorbern', 'überschatten', '/', 'Wo', 'die', 'Spiese', 'sich', 'in', 'Eegen', '/', 'Schwerdter', 'sich', 'in', 'Pflug-Schaarn', 'kehrn', '/', 'Ja', 'wo', 'Löw', 'und', 'Lämmer', 'sich', 'in', 'vertrauter', 'Eintracht', 'gatten', '/', 'Wo', 'man', 'sieht', 'auf', 'Lantzen', 'wachsen', 'Trauben', 'und', 'Oliven-Beern', '.', 'Glückseliges', 'Reich', '!', 'Glückselige', 'Stadt', '!', 'Die', 'ihr', 'gethürmtes', 'Haupt', 'biß', 'durch', 'die', 'Wolcken', 'strecket', '/']",
9,,,,,,,LSch,positiv,21860,CATMA_69231958-70E7-45E3-A4DD-FF3CC7A417C6,345,Emotionen der Zuneigung,positiv,19963,Verehrung,"Glückseliges Reich! Glückselige Stadt!
Die ihr gethürmtes Haupt biß durch die Wolcken strecket /
In aller Welt den Vorsitz hat /
Mit Käyser-Kronen prangt / Bysantz und Caffa schrecket:
Mit was für neu und ungewohnten Strahlen
Seh aber ich Burg / Stadt und Land gekrönt?
Ja einen neuen Stuhl mit Purpur aufgethrönt?
Der Dohnau Haupt mit Myrten-Kräntzen prahlen?
Sich ihren Sand in Gold / sein Schilff in Zucker-Rohr /
Sein Schmeltz in Diamant / den Schaum in Perlen kehren?
Was leuchtet auß Tyrol für ein Gestirn hervor?
Kan sein Ertzt-reich Gebürg auch Sonnen nun gebehren?
Ist mir der Himmel so geneigt?
Sucht Er mit dem Bosphor heute seine Donau zu vermählen?
Weil man minder / alß die Sternen / kan die Hochzeit-Fackeln zehlen.
Der Himmel gebe / was er zeigt!
Daß das Schwartz- und Mittel-Meer Wien und seinen Adler ehre;
Und Stambuldens Käyserthum Leopoldens Krone mehre.
Ja! ja! ich sehe schon entzückt;
Wie der reinen Liebe Geist ihn mit Myrth- und Lorbern kräntzet /
Wenn Ibrahim im Unzucht-Dampf erstickt;
Wie des Römschen Reiches Löw mehr alß der gestirnte gläntzet.
Wie die Neutra und die Rabe sich mit Türckschen Leichen schwellt
Und selbst Ibrahims sein Eydam Ismael6

 zu Grunde fällt.
Durchlauchtest-Grosses Haus;
In dessen unumbgräntzbarn Reichen

Die Sternen nicht erbleichen /
Wie auch die Sonne nie lescht ihre Fackel auß;
Mein Eiß entglimmt von deinen keuschen Flammen /
Durch die der LÖWE weiht
Sich der GLÜCKSELIGKEIT /
Und beyder Hertz wie Wachs sich schmeltzt zusammen.
Ja ihre Liebe flösst mir die Begierden ein /
Der Dohnau Bräutigam und Unterthan zu seyn.
Ich weiß es: das Verhängniß sinne:
So oft in Oesterreich der keuschen Liebe Hand
Nur einen Zweig vermählt / wie sie das Braut-Gewand
Mit mehrern Kronen schmück / und neue Purpur spinne.
Der Bosphor und der Himmel wündschts. Wie sols nicht kräftig seyn?
Denn keusche Liebe baut die Thron / unkeusche reisst sie ein.
","['Glückseliges', 'Reich', '!', 'Glückselige', 'Stadt', '!', 'Die', 'ihr', 'gethürmtes', 'Haupt', 'biß', 'durch', 'die', 'Wolcken', 'strecket', '/', 'In', 'aller', 'Welt', 'den', 'Vorsitz', 'hat', '/', 'Mit', 'Käyser-Kronen', 'prangt', '/', 'Bysantz', 'und', 'Caffa', 'schrecket', ':', 'Mit', 'was', 'für', 'neu', 'und', 'ungewohnten', 'Strahlen', 'Seh', 'aber', 'ich', 'Burg', '/', 'Stadt', 'und', 'Land', 'gekrönt', '?', 'Ja', 'einen', 'neuen', 'Stuhl', 'mit', 'Purpur', 'aufgethrönt', '?', 'Der', 'Dohnau', 'Haupt', 'mit', 'Myrten-Kräntzen', 'prahlen', '?', 'Sich', 'ihren', 'Sand', 'in', 'Gold', '/', 'sein', 'Schilff', 'in', 'Zucker-Rohr', '/', 'Sein', 'Schmeltz', 'in', 'Diamant', '/', 'den', 'Schaum', 'in', 'Perlen', 'kehren', '?', 'Was', 'leuchtet', 'auß', 'Tyrol', 'für', 'ein', 'Gestirn', 'hervor', '?', 'Kan', 'sein', 'Ertzt-reich', 'Gebürg', 'auch', 'Sonnen', 'nun', 'gebehren', '?', 'Ist', 'mir', 'der', 'Himmel', 'so', 'geneigt', '?', 'Sucht', 'Er', 'mit', 'dem', 'Bosphor', 'heute', 'seine', 'Donau', 'zu', 'vermählen', '?', 'Weil', 'man', 'minder', '/', 'alß', 'die', 'Sternen', '/', 'kan', 'die', 'Hochzeit-Fackeln', 'zehlen', '.', 'Der', 'Himmel', 'gebe', '/', 'was', 'er', 'zeigt', '!', 'Daß', 'das', 'Schwartz-', 'und', 'Mittel-Meer', 'Wien', 'und', 'seinen', 'Adler', 'ehre', ';', 'Und', 'Stambuldens', 'Käyserthum', 'Leopoldens', 'Krone', 'mehre', '.', 'Ja', '!', 'ja', '!', 'ich', 'sehe', 'schon', 'entzückt', ';', 'Wie', 'der', 'reinen', 'Liebe', 'Geist', 'ihn', 'mit', 'Myrth-', 'und', 'Lorbern', 'kräntzet', '/', 'Wenn', 'Ibrahim', 'im', 'Unzucht-Dampf', 'erstickt', ';', 'Wie', 'des', 'Römschen', 'Reiches', 'Löw', 'mehr', 'alß', 'der', 'gestirnte', 'gläntzet', '.', 'Wie', 'die', 'Neutra', 'und', 'die', 'Rabe', 'sich', 'mit', 'Türckschen', 'Leichen', 'schwellt', 'Und', 'selbst', 'Ibrahims', 'sein', 'Eydam', 'Ismael6', 'zu', 'Grunde', 'fällt', '.', 'Durchlauchtest-Grosses', 'Haus', ';', 'In', 'dessen', 'unumbgräntzbarn', 'Reichen', 'Die', 'Sternen', 'nicht', 'erbleichen', '/', 'Wie', 'auch', 'die', 'Sonne', 'nie', 'lescht', 'ihre', 'Fackel', 'auß', ';', 'Mein', 'Eiß', 'entglimmt', 'von', 'deinen', 'keuschen', 'Flammen', '/', 'Durch', 'die', 'der', 'LÖWE', 'weiht', 'Sich', 'der', 'GLÜCKSELIGKEIT', '/', 'Und', 'beyder', 'Hertz', 'wie', 'Wachs', 'sich', 'schmeltzt', 'zusammen', '.', 'Ja', 'ihre', 'Liebe', 'flösst', 'mir', 'die', 'Begierden', 'ein', '/', 'Der', 'Dohnau', 'Bräutigam', 'und', 'Unterthan', 'zu', 'seyn', '.', 'Ich', 'weiß', 'es', ':', 'das', 'Verhängniß', 'sinne', ':', 'So', 'oft', 'in', 'Oesterreich', 'der', 'keuschen', 'Liebe', 'Hand', 'Nur', 'einen', 'Zweig', 'vermählt', '/', 'wie', 'sie', 'das', 'Braut-Gewand', 'Mit', 'mehrern', 'Kronen', 'schmück', '/', 'und', 'neue', 'Purpur', 'spinne', '.', 'Der', 'Bosphor', 'und', 'der', 'Himmel', 'wündschts', '.', 'Wie', 'sols', 'nicht', 'kräftig', 'seyn', '?', 'Denn', 'keusche', 'Liebe', 'baut', 'die', 'Thron', '/', 'unkeusche', 'reisst', 'sie', 'ein', '.']",
