,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Sprachebene
0,,,,,,ER,negativ,1732,CATMA_8D1C6720-0749-453C-876C-9EFBA9198CBF,177,Emotionen des Leids,negativ,777,Leid,"Hier bin ich gantz allein, niemand höret oder siehet mich, alß die grausammen Schmertzen, welche meine Seele ohne unterlaß ängstigen und plagen. Ach ihr Götter ist denn keine Pein und Marter in dieser grausammen Wüsten, die mir das leben nehmen kan. Erfüllet doch die Zahl meiner Jahre und Tage durch den todt. Ach Doris, Elende Doris, was thustu oder was gedenckestu? und will sich dir weder himmel noch Erde zum Mitleÿden deiner unendlichen Quaal bewegen laßen, so stürtze dich in den Euphrat, laß die brennende Flammen, welche dich tödten will am ersten sterben, verlaß die Erde und verbirge dich in diesen tiefen Abgrund. Ein Grab von kaltem Waßer schickt sich wohl vor die so grausamme Pein. Ihr Waßer Fluthen, höret und traget Erbarmen mit mir. Ihr Zauber Pforten, die ihr die Hölle verschlüßet, springet von einander zerbrecht eure Riegel und eröffnet euch mir, denn dieser unendliche Jammer ist nicht genug mich meines elenden Lebens zu berauben. ","['Hier', 'bin', 'ich', 'gantz', 'allein', ',', 'niemand', 'höret', 'oder', 'siehet', 'mich', ',', 'alß', 'die', 'grausammen', 'Schmertzen', ',', 'welche', 'meine', 'Seele', 'ohne', 'unterlaß', 'ängstigen', 'und', 'plagen', '.', 'Ach', 'ihr', 'Götter', 'ist', 'denn', 'keine', 'Pein', 'und', 'Marter', 'in', 'dieser', 'grausammen', 'Wüsten', ',', 'die', 'mir', 'das', 'leben', 'nehmen', 'kan.', 'Erfüllet', 'doch', 'die', 'Zahl', 'meiner', 'Jahre', 'und', 'Tage', 'durch', 'den', 'todt', '.', 'Ach', 'Doris', ',', 'Elende', 'Doris', ',', 'was', 'thustu', 'oder', 'was', 'gedenckestu', '?', 'und', 'will', 'sich', 'dir', 'weder', 'himmel', 'noch', 'Erde', 'zum', 'Mitleÿden', 'deiner', 'unendlichen', 'Quaal', 'bewegen', 'laßen', ',', 'so', 'stürtze', 'dich', 'in', 'den', 'Euphrat', ',', 'laß', 'die', 'brennende', 'Flammen', ',', 'welche', 'dich', 'tödten', 'will', 'am', 'ersten', 'sterben', ',', 'verlaß', 'die', 'Erde', 'und', 'verbirge', 'dich', 'in', 'diesen', 'tiefen', 'Abgrund', '.', 'Ein', 'Grab', 'von', 'kaltem', 'Waßer', 'schickt', 'sich', 'wohl', 'vor', 'die', 'so', 'grausamme', 'Pein', '.', 'Ihr', 'Waßer', 'Fluthen', ',', 'höret', 'und', 'traget', 'Erbarmen', 'mit', 'mir', '.', 'Ihr', 'Zauber', 'Pforten', ',', 'die', 'ihr', 'die', 'Hölle', 'verschlüßet', ',', 'springet', 'von', 'einander', 'zerbrecht', 'eure', 'Riegel', 'und', 'eröffnet', 'euch', 'mir', ',', 'denn', 'dieser', 'unendliche', 'Jammer', 'ist', 'nicht', 'genug', 'mich', 'meines', 'elenden', 'Lebens', 'zu', 'berauben', '.']",
1,,,,,,ER,negativ,1867,CATMA_AB67D6AA-0023-48EA-A479-6D1CF299A621,29,Emotionen der Angst,negativ,1732,Angst,"Es seÿ so, folge verzweÿffelnde Doris, jage die Furcht hinweg, und wer nicht mehr in den Feuer leben will, der sterbe in diesen Waßer.
","['Es', 'seÿ', 'so', ',', 'folge', 'verzweÿffelnde', 'Doris', ',', 'jage', 'die', 'Furcht', 'hinweg', ',', 'und', 'wer', 'nicht', 'mehr', 'in', 'den', 'Feuer', 'leben', 'will', ',', 'der', 'sterbe', 'in', 'diesen', 'Waßer', '.']",
2,arsetes,,,,,ER,negativ,2082,CATMA_44FABA99-D179-4256-843E-43D547A3CD00,27,Emotionen der Angst,negativ,1937,Verzweiflung,"Haltet ein Printzeßin, stehet still ihr verzweÿfelnde Füße, wohin Doris! Was vor Gedancken zeigen euch den Weg, zu einem so schnellen Untergang?
","['Haltet', 'ein', 'Printzeßin', ',', 'stehet', 'still', 'ihr', 'verzweÿfelnde', 'Füße', ',', 'wohin', 'Doris', '!', 'Was', 'vor', 'Gedancken', 'zeigen', 'euch', 'den', 'Weg', ',', 'zu', 'einem', 'so', 'schnellen', 'Untergang', '?']",
3,,,,,,ER,negativ,2234,CATMA_7FC1298B-646C-41D1-9C93-85BC49009F69,22,Emotionen des Leids,negativ,2103,Leid,"Vergönnet doch, daß ich durch einen freÿwilligen Todt, mich meines lebens berauben, und meiner unmenschlichen Quaal befreÿen möge.
","['Vergönnet', 'doch', ',', 'daß', 'ich', 'durch', 'einen', 'freÿwilligen', 'Todt', ',', 'mich', 'meines', 'lebens', 'berauben', ',', 'und', 'meiner', 'unmenschlichen', 'Quaal', 'befreÿen', 'möge', '.']",
4,,arsetes,,,,ER,negativ,2278,CATMA_372C6040-F3F7-4F05-B0EA-055D3BEEC43D,7,Emotionen der Angst,negativ,2244,Verzweiflung,"Seÿd ihr denn so gar verzweÿfelt?
","['Seÿd', 'ihr', 'denn', 'so', 'gar', 'verzweÿfelt', '?']",
5,,,,,,ER,negativ,2304,CATMA_9BCBA8C6-05F7-486C-A082-299BC259280D,4,Emotionen der Angst,negativ,2287,Verzweiflung,"ch will sterben.
","['ch', 'will', 'sterben', '.']",
6,arsetes,,,,,ER,negativ,2431,CATMA_3DF30191-46EB-4212-911E-1C566E36A88D_0,6,Emotionen der Angst,negativ,2394,Angst,"Verändert, verändert eure Gedancken.
","['Verändert', ',', 'verändert', 'eure', 'Gedancken', '.']",
7,arsetes,,,,,ER,negativ,2502,CATMA_3DF30191-46EB-4212-911E-1C566E36A88D_1,6,Emotionen der Angst,negativ,2477,Angst,"Und der Todt noch ärger.
","['Und', 'der', 'Todt', 'noch', 'ärger', '.']",
8,arsetes,,,,,ER,negativ,2613,CATMA_3DF30191-46EB-4212-911E-1C566E36A88D_2,10,Emotionen der Angst,negativ,2566,Angst,"Also reden die, so ihrer Sinnen beraubet seÿn.
","['Also', 'reden', 'die', ',', 'so', 'ihrer', 'Sinnen', 'beraubet', 'seÿn', '.']",
9,,,,,,ER,negativ,2466,CATMA_9AD95200-86F8-4CE7-AE77-EB20B384F013_0,7,Emotionen der Angst,negativ,2439,Verzweiflung,Das leben ist böß vor mich.,"['Das', 'leben', 'ist', 'böß', 'vor', 'mich', '.']",
10,,,,,,ER,negativ,2556,CATMA_9AD95200-86F8-4CE7-AE77-EB20B384F013_1,9,Emotionen der Angst,negativ,2510,Verzweiflung,"Es ist der Krancken Trost das leben verlaßen.
","['Es', 'ist', 'der', 'Krancken', 'Trost', 'das', 'leben', 'verlaßen', '.']",
11,,,,,,ER,negativ,2646,CATMA_9AD95200-86F8-4CE7-AE77-EB20B384F013_2,5,Emotionen der Angst,negativ,2621,Verzweiflung,"Die Weisen sterben auch.
","['Die', 'Weisen', 'sterben', 'auch', '.']",
12,,arsetes,,,,ER,negativ,2756,CATMA_E6FCFCE3-0A5C-4804-A587-D784B65CF863,5,Emotionen der Angst,negativ,2725,Verzweiflung,"Dieselbe ist närrisch gewesen.
","['Dieselbe', 'ist', 'närrisch', 'gewesen', '.']",
