,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,,,,,,CE,Emotionale Bewegtheit,915,CATMA_0C8E6FB4-2936-456B-BE59-64F5436011E1,10,Emotionale Bewegtheit,Emotionale Bewegtheit,861,Emotionale Bewegtheit,Welch ein unvermutheter Zufall! Was habe ich erblickt!,"['Welch', 'ein', 'unvermutheter', 'Zufall', '!', 'Was', 'habe', 'ich', 'erblickt', '!']"
1,,,,,,CE,negativ,994,CATMA_EADB275D-5F6F-48D1-AF7C-2FD73B97BA16,13,Emotionen des Leids,negativ,916,Leid,"Meine Anschläge, meine Rache,
              – alles ist hin! ich Unglücklicher","['Meine', 'Anschläge', ',', 'meine', 'Rache', ',', '–', 'alles', 'ist', 'hin', '!', 'ich', 'Unglücklicher']"
2,henley,,,,,CE,negativ,1116,CATMA_601E3431-7769-4965-88BA-D0FEB882E36D,5,Emotionen des Leids,negativ,1076,Leid,Ihre heftige Bestürzung beunruhiget mich,"['Ihre', 'heftige', 'Bestürzung', 'beunruhiget', 'mich']"
3,,,,,,CE,Emotionale Bewegtheit,1116,CATMA_A9429863-9A0D-4FA5-B422-E5C07E6B1EDA,5,Emotionale Bewegtheit,Emotionale Bewegtheit,1076,Emotionale Bewegtheit,Ihre heftige Bestürzung beunruhiget mich,"['Ihre', 'heftige', 'Bestürzung', 'beunruhiget', 'mich']"
4,,widston,,,,CE,negativ,1616,CATMA_979B8B4E-3205-4385-9DA2-AD371461A3A1,11,Emotionen des Leids,negativ,1552,Leid,Und seine Gegenwart kann in Ihnen so heftige Bewegungen erregen?,"['Und', 'seine', 'Gegenwart', 'kann', 'in', 'Ihnen', 'so', 'heftige', 'Bewegungen', 'erregen', '?']"
5,,,,,,CE,negativ,1946,CATMA_DF0AF7A1-3325-45CD-B27F-8DAAA21C6913,56,Emotionen des Leids,negativ,1626,Leid,"Sie ist für mich der widrigste Zufall, mit dem ein feindselig Geschick mich nur
              straffen konnte. Meine Rache, eine Rache, nach der meine Seele lechzet, steht in
              Gefahr hintergangen zu wer den. Du kennst mich, Widston, du mußt also die Qual kennen,
              die jetzt mein Herz zerfoltert","['Sie', 'ist', 'für', 'mich', 'der', 'widrigste', 'Zufall', ',', 'mit', 'dem', 'ein', 'feindselig', 'Geschick', 'mich', 'nur', 'straffen', 'konnte', '.', 'Meine', 'Rache', ',', 'eine', 'Rache', ',', 'nach', 'der', 'meine', 'Seele', 'lechzet', ',', 'steht', 'in', 'Gefahr', 'hintergangen', 'zu', 'wer', 'den', '.', 'Du', 'kennst', 'mich', ',', 'Widston', ',', 'du', 'mußt', 'also', 'die', 'Qual', 'kennen', ',', 'die', 'jetzt', 'mein', 'Herz', 'zerfoltert']"
6,,,,,,CE,negativ,3783,CATMA_3FE81BE2-E4B9-4A3D-B186-97E21A4C1876,117,Emotionen der Ablehnung,negativ,2986,Abscheu,"Sein schimmernder Charakter zog jedermanns Aufmerksamkeit auf sich. Der
              Christ, der rechtschaffene Mann, wie alle von ihm rühmten – – du wirst bald sehen, daß
              ich dieß zur Verherrlichung meines Triumphs wiederhole – – vereinigte sich in ihm mit
              den vorzüglichsten Gaben des Geistes.  Ueberall verdunkelte er alle seine
              Freunde, man vergaß ihrer oder kannte sie nur unter dem Charakter – seiner Freunde.
              Meine Eifersucht ward aufgebracht. Sie verdoppelte sich, da er bey verschiedenen
              Gelegenheiten, als wir uns um einerley Bedienungen bewarben, Hoffnungen erhielt, die
              man mir versagte. Ueberall mußten wir Nebenbuhler seyn, und überall siegte er. Ich
              ward sein unversöhnlichster Feind","['Sein', 'schimmernder', 'Charakter', 'zog', 'jedermanns', 'Aufmerksamkeit', 'auf', 'sich', '.', 'Der', 'Christ', ',', 'der', 'rechtschaffene', 'Mann', ',', 'wie', 'alle', 'von', 'ihm', 'rühmten', '–', '–', 'du', 'wirst', 'bald', 'sehen', ',', 'daß', 'ich', 'dieß', 'zur', 'Verherrlichung', 'meines', 'Triumphs', 'wiederhole', '–', '–', 'vereinigte', 'sich', 'in', 'ihm', 'mit', 'den', 'vorzüglichsten', 'Gaben', 'des', 'Geistes', '.', 'Ueberall', 'verdunkelte', 'er', 'alle', 'seine', 'Freunde', ',', 'man', 'vergaß', 'ihrer', 'oder', 'kannte', 'sie', 'nur', 'unter', 'dem', 'Charakter', '–', 'seiner', 'Freunde', '.', 'Meine', 'Eifersucht', 'ward', 'aufgebracht', '.', 'Sie', 'verdoppelte', 'sich', ',', 'da', 'er', 'bey', 'verschiedenen', 'Gelegenheiten', ',', 'als', 'wir', 'uns', 'um', 'einerley', 'Bedienungen', 'bewarben', ',', 'Hoffnungen', 'erhielt', ',', 'die', 'man', 'mir', 'versagte', '.', 'Ueberall', 'mußten', 'wir', 'Nebenbuhler', 'seyn', ',', 'und', 'überall', 'siegte', 'er', '.', 'Ich', 'ward', 'sein', 'unversöhnlichster', 'Feind']"
7,,henley,,,,CE,positiv,3129,CATMA_89D4FB42-9DE9-456A-B6C5-D53988AF8F60_0,21,Emotionen der Zuneigung,positiv,2986,Verehrung,"Sein schimmernder Charakter zog jedermanns Aufmerksamkeit auf sich. Der
              Christ, der rechtschaffene Mann, wie alle von ihm rühmten","['Sein', 'schimmernder', 'Charakter', 'zog', 'jedermanns', 'Aufmerksamkeit', 'auf', 'sich', '.', 'Der', 'Christ', ',', 'der', 'rechtschaffene', 'Mann', ',', 'wie', 'alle', 'von', 'ihm', 'rühmten']"
8,,henley,,,,CE,positiv,3310,CATMA_89D4FB42-9DE9-456A-B6C5-D53988AF8F60_1,11,Emotionen der Zuneigung,positiv,3231,Verehrung," vereinigte sich in ihm mit
              den vorzüglichsten Gaben des Geistes.","['vereinigte', 'sich', 'in', 'ihm', 'mit', 'den', 'vorzüglichsten', 'Gaben', 'des', 'Geistes', '.']"
9,,,,,,CE,negativ,3901,CATMA_274BE1B1-2CF5-4F4B-A055-1BB6A0F1EC91,19,Emotionen der Ablehnung,negativ,3785,Ärger,"Du weißt selbst, wie oft ich gegen dich meinen Zorn
              und Verdruß über dieß widrige Geschick aushauchte.","['Du', 'weißt', 'selbst', ',', 'wie', 'oft', 'ich', 'gegen', 'dich', 'meinen', 'Zorn', 'und', 'Verdruß', 'über', 'dieß', 'widrige', 'Geschick', 'aushauchte', '.']"
