,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,miller,impliziter Autor,,,,LS,Emotionale Bewegtheit,1611,CATMA_53DE28C4-2B7F-44F8-8BB0-10AB8479A5E1,6,Emotionale Bewegtheit,Emotionale Bewegtheit,1584,Emotionale Bewegtheit,"schnell auf und ab gehend.
","['schnell', 'auf', 'und', 'ab', 'gehend', '.']"
1,,,,,,LS,Emotionale Bewegtheit,1833,CATMA_B8A9FC7E-2870-4460-841C-CA151A23DD17,40,Emotionale Bewegtheit,Emotionale Bewegtheit,1611,Emotionale Bewegtheit,"Einmal für allemal. Der Handel wird ernsthaft. Meine Tochter kommt mit dem Baron ins
              Geschrei. Mein Haus wird verrufen. Der Präsident bekommt Wind, und – kurz und gut, ich
              biete dem Junker aus.
","['Einmal', 'für', 'allemal', '.', 'Der', 'Handel', 'wird', 'ernsthaft', '.', 'Meine', 'Tochter', 'kommt', 'mit', 'dem', 'Baron', 'ins', 'Geschrei', '.', 'Mein', 'Haus', 'wird', 'verrufen', '.', 'Der', 'Präsident', 'bekommt', 'Wind', ',', 'und', '–', 'kurz', 'und', 'gut', ',', 'ich', 'biete', 'dem', 'Junker', 'aus', '.']"
2,,,,,,LS,Emotionale Bewegtheit,2405,CATMA_21A7656E-B9C2-4A7E-8741-6340ACDBE341,77,Emotionale Bewegtheit,Emotionale Bewegtheit,1950,Emotionale Bewegtheit,"Hab ihn nicht in mein Haus geschwatzt – hab ihms Mädel nicht nachgeworfen; wer nimmt
              Notiz davon? – Ich war Herr im Haus. Ich hätt meine Tochter mehr koram nehmen sollen.
              Ich hätt dem Major besser auftrumpfen sollen – oder hätt gleich alles Seiner Exzellenz
              dem Herrn Papa stecken sollen. Der junge Baron bringts mit einem Wischer hinaus, das
              muß ich wissen, und alles Wetter kommt über den Geiger.
","['Hab', 'ihn', 'nicht', 'in', 'mein', 'Haus', 'geschwatzt', '–', 'hab', 'ihms', 'Mädel', 'nicht', 'nachgeworfen', ';', 'wer', 'nimmt', 'Notiz', 'davon', '?', '–', 'Ich', 'war', 'Herr', 'im', 'Haus', '.', 'Ich', 'hätt', 'meine', 'Tochter', 'mehr', 'koram', 'nehmen', 'sollen', '.', 'Ich', 'hätt', 'dem', 'Major', 'besser', 'auftrumpfen', 'sollen', '–', 'oder', 'hätt', 'gleich', 'alles', 'Seiner', 'Exzellenz', 'dem', 'Herrn', 'Papa', 'stecken', 'sollen', '.', 'Der', 'junge', 'Baron', 'bringts', 'mit', 'einem', 'Wischer', 'hinaus', ',', 'das', 'muß', 'ich', 'wissen', ',', 'und', 'alles', 'Wetter', 'kommt', 'über', 'den', 'Geiger', '.']"
3,,,,,,LS,Emotionale Bewegtheit,3459,CATMA_1094EDB4-F2CF-4ABE-9019-FC5C60AA96F2_0,153,Emotionale Bewegtheit,Emotionale Bewegtheit,2618,Emotionale Bewegtheit,"Aber, sag mir doch, was wird bei dem ganzen Kommerz auch herauskommen? – Nehmen kann
              er das Mädel nicht – Vom Nehmen ist gar die Rede nicht, und zu einer daß Gott erbarm?
              – Guten Morgen! – Gelt, wenn so ein Musje von
 sich da und dort, und dort
              und hier schon herumbeholfen hat, wenn er, der Henker weiß was als? gelöst hat,
              schmeckts meinem guten Schlucker freilich, einmal auf süß Wasser zu graben. Gib du
              acht! gib du acht! und wenn du aus jedem Astloch ein Auge strecktest und vor jedem
              Blutstropfen Schildwache ständest, er wird sie, dir auf der Nase, beschwatzen, dem
              Mädel eins hinsetzen und führt sich ab, und das  Mädel ist verschimpfiert
              auf ihr Leben lang, bleibt sitzen, oder hats Handwerk verschmeckt, treibts fort.
","['Aber', ',', 'sag', 'mir', 'doch', ',', 'was', 'wird', 'bei', 'dem', 'ganzen', 'Kommerz', 'auch', 'herauskommen', '?', '–', 'Nehmen', 'kann', 'er', 'das', 'Mädel', 'nicht', '–', 'Vom', 'Nehmen', 'ist', 'gar', 'die', 'Rede', 'nicht', ',', 'und', 'zu', 'einer', 'daß', 'Gott', 'erbarm', '?', '–', 'Guten', 'Morgen', '!', '–', 'Gelt', ',', 'wenn', 'so', 'ein', 'Musje', 'von', 'sich', 'da', 'und', 'dort', ',', 'und', 'dort', 'und', 'hier', 'schon', 'herumbeholfen', 'hat', ',', 'wenn', 'er', ',', 'der', 'Henker', 'weiß', 'was', 'als', '?', 'gelöst', 'hat', ',', 'schmeckts', 'meinem', 'guten', 'Schlucker', 'freilich', ',', 'einmal', 'auf', 'süß', 'Wasser', 'zu', 'graben', '.', 'Gib', 'du', 'acht', '!', 'gib', 'du', 'acht', '!', 'und', 'wenn', 'du', 'aus', 'jedem', 'Astloch', 'ein', 'Auge', 'strecktest', 'und', 'vor', 'jedem', 'Blutstropfen', 'Schildwache', 'ständest', ',', 'er', 'wird', 'sie', ',', 'dir', 'auf', 'der', 'Nase', ',', 'beschwatzen', ',', 'dem', 'Mädel', 'eins', 'hinsetzen', 'und', 'führt', 'sich', 'ab', ',', 'und', 'das', 'Mädel', 'ist', 'verschimpfiert', 'auf', 'ihr', 'Leben', 'lang', ',', 'bleibt', 'sitzen', ',', 'oder', 'hats', 'Handwerk', 'verschmeckt', ',', 'treibts', 'fort', '.']"
4,,,,,,LS,Emotionale Bewegtheit,3517,CATMA_1094EDB4-F2CF-4ABE-9019-FC5C60AA96F2_1,3,Emotionale Bewegtheit,Emotionale Bewegtheit,3501,Emotionale Bewegtheit,"Jesus Christus!
","['Jesus', 'Christus', '!']"
5,millerin,,,,,LS,Emotionale Bewegtheit,3550,CATMA_96E4D7E6-049D-4DB3-B802-28E80F639A3E,6,Emotionale Bewegtheit,Emotionale Bewegtheit,3524,Emotionale Bewegtheit,"Gott behüt uns in Gnaden!
","['Gott', 'behüt', 'uns', 'in', 'Gnaden', '!']"
6,,,,,,LS,Emotionale Bewegtheit,4202,CATMA_6C69BCEC-DFDF-46CD-8E40-923B2E6FA2F5,114,Emotionale Bewegtheit,Emotionale Bewegtheit,3559,Emotionale Bewegtheit,"Es hat sich zu behüten. Worauf kann so ein Windfuß wohl sonst sein Absehen richten? –
              Das Mädel ist schön – schlank – führt seinen netten Fuß. Unterm Dach mags aussehen,
              wies will. Darüber guckt man bei euch Weibsleuten weg, wenns nur der liebe Gott
              parterre nicht hat fehlen lassen – Stöbert mein Springinsfeld erst noch dieses Kapitel
              aus – heh da! geht ihm ein Licht auf, wie meinem Rodney, wenn er die Witterung eines
              Franzosen kriegt, und nun müssen alle Segel dran, und drauflos, und – ich verdenks ihm
              gar nicht. Mensch ist Mensch. Das muß ich wissen.
","['Es', 'hat', 'sich', 'zu', 'behüten', '.', 'Worauf', 'kann', 'so', 'ein', 'Windfuß', 'wohl', 'sonst', 'sein', 'Absehen', 'richten', '?', '–', 'Das', 'Mädel', 'ist', 'schön', '–', 'schlank', '–', 'führt', 'seinen', 'netten', 'Fuß', '.', 'Unterm', 'Dach', 'mags', 'aussehen', ',', 'wies', 'will', '.', 'Darüber', 'guckt', 'man', 'bei', 'euch', 'Weibsleuten', 'weg', ',', 'wenns', 'nur', 'der', 'liebe', 'Gott', 'parterre', 'nicht', 'hat', 'fehlen', 'lassen', '–', 'Stöbert', 'mein', 'Springinsfeld', 'erst', 'noch', 'dieses', 'Kapitel', 'aus', '–', 'heh', 'da', '!', 'geht', 'ihm', 'ein', 'Licht', 'auf', ',', 'wie', 'meinem', 'Rodney', ',', 'wenn', 'er', 'die', 'Witterung', 'eines', 'Franzosen', 'kriegt', ',', 'und', 'nun', 'müssen', 'alle', 'Segel', 'dran', ',', 'und', 'drauflos', ',', 'und', '–', 'ich', 'verdenks', 'ihm', 'gar', 'nicht', '.', 'Mensch', 'ist', 'Mensch', '.', 'Das', 'muß', 'ich', 'wissen', '.']"
7,millerin,,,,,LS,positiv,4436,CATMA_09328302-5A47-4C8A-911C-AD939E0F56D2,40,Emotionen der Freude,positiv,4209,Freude,"Solltest nur die wunderhübsche Billetter auch lesen, die der gnädige Herr an deine
              Tochter als schreiben tut. Guter Gott! Da sieht mans ja sonnenklar, wie es ihm pur um
              ihre schöne Seele zu tun ist.
","['Solltest', 'nur', 'die', 'wunderhübsche', 'Billetter', 'auch', 'lesen', ',', 'die', 'der', 'gnädige', 'Herr', 'an', 'deine', 'Tochter', 'als', 'schreiben', 'tut', '.', 'Guter', 'Gott', '!', 'Da', 'sieht', 'mans', 'ja', 'sonnenklar', ',', 'wie', 'es', 'ihm', 'pur', 'um', 'ihre', 'schöne', 'Seele', 'zu', 'tun', 'ist', '.']"
8,,,,,,LS,Emotionale Bewegtheit,4892,CATMA_73B6CC03-4C73-4DA2-8EDA-843A72DF3EE1,83,Emotionale Bewegtheit,Emotionale Bewegtheit,4445,Emotionale Bewegtheit,"Das ist die rechte Höhe! Auf den Sack schlagt man; den Esel meint man. Wer einen Gruß
              an das liebe Fleisch zu bestellen hat, darf nur das gute Herz Boten gehen lassen. Wie
              hab ichs gemacht? Hat mans nur erst so weit im reinen, daß die Gemüter topp machen,
              wutsch! nehmen die Körper ein Exempel; das Gesind machts der Herrschaft nach und der
              silberne Mond ist am End nur der Kuppler gewesen.
","['Das', 'ist', 'die', 'rechte', 'Höhe', '!', 'Auf', 'den', 'Sack', 'schlagt', 'man', ';', 'den', 'Esel', 'meint', 'man', '.', 'Wer', 'einen', 'Gruß', 'an', 'das', 'liebe', 'Fleisch', 'zu', 'bestellen', 'hat', ',', 'darf', 'nur', 'das', 'gute', 'Herz', 'Boten', 'gehen', 'lassen', '.', 'Wie', 'hab', 'ichs', 'gemacht', '?', 'Hat', 'mans', 'nur', 'erst', 'so', 'weit', 'im', 'reinen', ',', 'daß', 'die', 'Gemüter', 'topp', 'machen', ',', 'wutsch', '!', 'nehmen', 'die', 'Körper', 'ein', 'Exempel', ';', 'das', 'Gesind', 'machts', 'der', 'Herrschaft', 'nach', 'und', 'der', 'silberne', 'Mond', 'ist', 'am', 'End', 'nur', 'der', 'Kuppler', 'gewesen', '.']"
9,,,millerin,,,LS,positiv,5041,CATMA_A9FEB7AD-266E-47B5-938A-B3E23FF390A8,25,Emotionen der Freude,positiv,4899,Freude,"Sieh doch nur erst die prächtigen Bücher an, die der Herr Major ins Haus geschafft
              haben. Deine Tochter betet auch immer draus.
","['Sieh', 'doch', 'nur', 'erst', 'die', 'prächtigen', 'Bücher', 'an', ',', 'die', 'der', 'Herr', 'Major', 'ins', 'Haus', 'geschafft', 'haben', '.', 'Deine', 'Tochter', 'betet', 'auch', 'immer', 'draus', '.']"
