,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Sprachebene
0,,,,,,CE,positiv,1080,CATMA_4A5D3C1C-67F4-452E-B663-061F75A11AA4,28,Emotionen der Zuneigung,positiv,907,Verehrung,"Also müßen gleich diesem alle Könige der Welt, Attilae Sclauen werdten, also muß die gesamte Erden Kugel unsere Irrdische gottheit anbeten und ob unserer Tapfferkeit erbeben","['Also', 'müßen', 'gleich', 'diesem', 'alle', 'Könige', 'der', 'Welt', ',', 'Attilae', 'Sclauen', 'werdten', ',', 'also', 'muß', 'die', 'gesamte', 'Erden', 'Kugel', 'unsere', 'Irrdische', 'gottheit', 'anbeten', 'und', 'ob', 'unserer', 'Tapfferkeit', 'erbeben']",
1,theodoricus,,,,,CE,negativ,1526,CATMA_BBEA1572-341D-4E13-8A9F-0C2E71D90BA5,18,Emotionen der Ablehnung,negativ,1409,Abscheu,also auch die alleruerächtlichsten offt auß den Staub der Niedrigkeit biß an den höchsten Ehren gipffel empor steigen,"['also', 'auch', 'die', 'alleruerächtlichsten', 'offt', 'auß', 'den', 'Staub', 'der', 'Niedrigkeit', 'biß', 'an', 'den', 'höchsten', 'Ehren', 'gipffel', 'empor', 'steigen']",
2,,,,,,CE,negativ,1617,CATMA_0F6044CC-A2C7-4140-9584-F19062E519E0,14,Emotionen des Leids,negativ,1528,Leid,"hingegen die allerwürdigsten von den glückes thron in den abgrund alles Ellendes fallen.
","['hingegen', 'die', 'allerwürdigsten', 'von', 'den', 'glückes', 'thron', 'in', 'den', 'abgrund', 'alles', 'Ellendes', 'fallen', '.']",
3,,,,,,CE,negativ,1920,CATMA_CDFE1AD7-9ED0-4D66-A8E6-7492E4D2F1E4,34,Emotionen der Ablehnung,negativ,1723,Abscheu,"Ja tÿrann, und wenn die scharff stehende gerechtigkeit anstatt des blinden Glickes zwischen unß beÿden eine Richterin gewesen wäre, so würdestu anjetzo mein Sclave, und nicht ich der deinige seÿn.
","['Ja', 'tÿrann', ',', 'und', 'wenn', 'die', 'scharff', 'stehende', 'gerechtigkeit', 'anstatt', 'des', 'blinden', 'Glickes', 'zwischen', 'unß', 'beÿden', 'eine', 'Richterin', 'gewesen', 'wäre', ',', 'so', 'würdestu', 'anjetzo', 'mein', 'Sclave', ',', 'und', 'nicht', 'ich', 'der', 'deinige', 'seÿn', '.']",
4,,,,,,CE,positiv,2283,CATMA_9215B628-F5FF-484E-BB65-E8F4A4E97955,57,Emotionen der Freude,positiv,1929,Schadenfreude,"Deine vermesenheit ist groß, aber sie soll bald mit gleicher Straffe beleget werdten; indesen wirff dich alsobaldt mit diesen andern gecröneten Sclauen mit Ehrerbietigkeit zu meinen füsen, damit Eure gefässelte leiber mir zum fußschemel und Staffel diene. von diesen triumph wagen auf den von meiner tapfferkeit allzu wohl verdienten thron zu schreiten.
","['Deine', 'vermesenheit', 'ist', 'groß', ',', 'aber', 'sie', 'soll', 'bald', 'mit', 'gleicher', 'Straffe', 'beleget', 'werdten', ';', 'indesen', 'wirff', 'dich', 'alsobaldt', 'mit', 'diesen', 'andern', 'gecröneten', 'Sclauen', 'mit', 'Ehrerbietigkeit', 'zu', 'meinen', 'füsen', ',', 'damit', 'Eure', 'gefässelte', 'leiber', 'mir', 'zum', 'fußschemel', 'und', 'Staffel', 'diene', '.', 'von', 'diesen', 'triumph', 'wagen', 'auf', 'den', 'von', 'meiner', 'tapfferkeit', 'allzu', 'wohl', 'verdienten', 'thron', 'zu', 'schreiten', '.']",
5,,,,,,CE,negativ,2423,CATMA_52A214DC-4BD8-49AB-8DC2-9EDC12398549,19,Emotionen der Ablehnung,negativ,2297,Abscheu,"Nimmermehr wirstu dich nicht wüterich rühmen können, das Theodoricus seinen Rücken dir zu einen fußschemel unterbreitet habe.
","['Nimmermehr', 'wirstu', 'dich', 'nicht', 'wüterich', 'rühmen', 'können', ',', 'das', 'Theodoricus', 'seinen', 'Rücken', 'dir', 'zu', 'einen', 'fußschemel', 'unterbreitet', 'habe', '.']",
6,attila,,theodoricus,,,CE,Emotionale Bewegtheit,2618,CATMA_0ACF93E4-CC45-4177-BE6D-32EFF27FA7A0,34,Emotionale Bewegtheit,Emotionale Bewegtheit,2432,Emotionale Bewegtheit,"Holla. Redet man also dem Jenigen, welcher bloßer anblick länder und König Reiche, ja dessen bloß angehörter Nahm alle theile der Welt und fast den Himmel selbst mit schrecken anfüllet.
","['Holla', '.', 'Redet', 'man', 'also', 'dem', 'Jenigen', ',', 'welcher', 'bloßer', 'anblick', 'länder', 'und', 'König', 'Reiche', ',', 'ja', 'dessen', 'bloß', 'angehörter', 'Nahm', 'alle', 'theile', 'der', 'Welt', 'und', 'fast', 'den', 'Himmel', 'selbst', 'mit', 'schrecken', 'anfüllet', '.']",
7,,attila,,,,CE,negativ,2618,CATMA_25C60410-8DCD-466A-B69A-FB22791C89BF,32,Emotionen der Angst,negativ,2439,Angst,"Redet man also dem Jenigen, welcher bloßer anblick länder und König Reiche, ja dessen bloß angehörter Nahm alle theile der Welt und fast den Himmel selbst mit schrecken anfüllet.
","['Redet', 'man', 'also', 'dem', 'Jenigen', ',', 'welcher', 'bloßer', 'anblick', 'länder', 'und', 'König', 'Reiche', ',', 'ja', 'dessen', 'bloß', 'angehörter', 'Nahm', 'alle', 'theile', 'der', 'Welt', 'und', 'fast', 'den', 'Himmel', 'selbst', 'mit', 'schrecken', 'anfüllet', '.']",
8,,,,,,CE,negativ,2958,CATMA_3E54B1CE-A648-416C-A583-F5052ED29B63,53,Emotionen der Ablehnung,negativ,2632,Abscheu,"Also rede ich mit dem jenigen, welcher mit beÿhülff eines aufrührischen Pöbelß nicht alß ein Soldat, sondern alß ein Raub gieriger Tÿrann frembder Völcker herrschafften und länder sich bemächtigt und gegen die überwundene nicht alß ein sieges held, sondern alß ein unuernünfftig und unmittleÿden loses thier zu wütden pflegt.
","['Also', 'rede', 'ich', 'mit', 'dem', 'jenigen', ',', 'welcher', 'mit', 'beÿhülff', 'eines', 'aufrührischen', 'Pöbelß', 'nicht', 'alß', 'ein', 'Soldat', ',', 'sondern', 'alß', 'ein', 'Raub', 'gieriger', 'Tÿrann', 'frembder', 'Völcker', 'herrschafften', 'und', 'länder', 'sich', 'bemächtigt', 'und', 'gegen', 'die', 'überwundene', 'nicht', 'alß', 'ein', 'sieges', 'held', ',', 'sondern', 'alß', 'ein', 'unuernünfftig', 'und', 'unmittleÿden', 'loses', 'thier', 'zu', 'wütden', 'pflegt', '.']",
9,attila,,,,,CE,negativ,3205,CATMA_95D0AEF9-7463-4DA2-8DFA-EC370A1ABB60,41,Emotionen der Ablehnung,negativ,2967,Ärger,"Eÿ dieses ist zuuiell gesaget von einem Sclauen gegen einen König aller könige, man bringe ihm alsobald von hinnen, und lasse ihn lebendig verbrennen, allen,  welche unsere geboth wiederstreben wollen, zu einer Erschrökung und beÿspiell.
","['Eÿ', 'dieses', 'ist', 'zuuiell', 'gesaget', 'von', 'einem', 'Sclauen', 'gegen', 'einen', 'König', 'aller', 'könige', ',', 'man', 'bringe', 'ihm', 'alsobald', 'von', 'hinnen', ',', 'und', 'lasse', 'ihn', 'lebendig', 'verbrennen', ',', 'allen', ',', 'welche', 'unsere', 'geboth', 'wiederstreben', 'wollen', ',', 'zu', 'einer', 'Erschrökung', 'und', 'beÿspiell', '.']",
