,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,WELLBACH_Lindenthal,,,,,ER,negativ,1239,CATMA_93822C52-81C9-4599-B76B-2D9D81171B81,4,Emotionen der Ablehnung,negativ,1217,Ärger, Wirst du schreiben! ,"['Wirst', 'du', 'schreiben', '!']"
1,PAUL,,WELLBACH_Lindenthal,,,ER,positiv,1268,CATMA_1B5CDA6E-13A2-44B8-9348-46CB9DE19AD2,4,Emotionen der Zuneigung,positiv,1248,Verehrung,In des Himmelsnamen!,"['In', 'des', 'Himmelsnamen', '!']"
2,,,unbekannt,,,ER,positiv,1409,CATMA_E869C1D5-48F6-413E-B01B-4C2D648F2950,17,Emotionen der Zuneigung,positiv,1333,Verehrung," ich will nur in ihren Wünschen leben“ hohl mich der Teufel, ja das will ich","['ich', 'will', 'nur', 'in', 'ihren', 'Wünschen', 'leben', '“', 'hohl', 'mich', 'der', 'Teufel', ',', 'ja', 'das', 'will', 'ich']"
3,,,unbekannt,,,ER,positiv,1493,CATMA_C4090537-5081-47F7-8CFB-C89D1454366A,9,Emotionen der Zuneigung,positiv,1440,Verehrung,Ewig bleib ich ihrer Neugung getreu und verschwiegen“,"['Ewig', 'bleib', 'ich', 'ihrer', 'Neugung', 'getreu', 'und', 'verschwiegen', '“']"
4,PAUL,,WELLBACH_Lindenthal,,,ER,positiv,1528,CATMA_ECCF2CD1-716C-4C10-8BB3-A7134A2BA66C,4,Emotionen der Freude,positiv,1503,Freude, Getreu und verschwiegen?,"['Getreu', 'und', 'verschwiegen', '?']"
5,WELLBACH_Lindenthal,,PAUL,,,ER,Emotionale Bewegtheit,1591,CATMA_2D7F8F51-F754-4C2B-971D-3E7BC40883D2,11,Emotionale Bewegtheit,Emotionale Bewegtheit,1540,Emotionale Bewegtheit,Getreu und verschwiegen! – sperr die Ohren auf!! ,"['Getreu', 'und', 'verschwiegen', '!', '–', 'sperr', 'die', 'Ohren', 'auf', '!', '!']"
6,,,,,,ER,positiv,1754,CATMA_36A51592-E5FB-42E6-BC1F-1A0F97C50D3D,34,Emotionen der Freude,positiv,1600,Freude,"Verschwiegen und getreu?[“] – nein gnädiger Herr verzeihens mir’s, das kann ich nicht schreiben – der Sünde wegen – getreu – getreu – Sie getreu! – ","['Verschwiegen', 'und', 'getreu', '?', '[', '“', ']', '–', 'nein', 'gnädiger', 'Herr', 'verzeihens', 'mir', '’', 's', ',', 'das', 'kann', 'ich', 'nicht', 'schreiben', '–', 'der', 'Sünde', 'wegen', '–', 'getreu', '–', 'getreu', '–', 'Sie', 'getreu', '!', '–']"
7,,,,,,ER,negativ,1787,CATMA_96086CDD-70D2-4398-87A5-3FAFB7D284B5,8,Emotionen der Ablehnung,negativ,1761,Ärger,. Soll ich dich’s lehren? ,"['.', 'Soll', 'ich', 'dich', '’', 's', 'lehren', '?']"
8,,,,,,ER,Emotionale Bewegtheit,1845,CATMA_698F3CA3-E432-40E6-97C2-7C4BE5F3AA64,11,Emotionale Bewegtheit,Emotionale Bewegtheit,1796,Emotionale Bewegtheit, Bemühen sie sich nicht!! – (er schreibt seufzend,"['Bemühen', 'sie', 'sich', 'nicht', '!', '!', '–', '(', 'er', 'schreibt', 'seufzend']"
9,WELLBACH_Lindenthal,,unbekannt,,,ER,positiv,1941,CATMA_4A74BC88-142A-42B3-8DD0-C8EADAE8836C,8,Emotionen der Zuneigung,positiv,1885,Verehrung,Nur der Tod soll ihren himmlischen Umarmungen entreissen,"['Nur', 'der', 'Tod', 'soll', 'ihren', 'himmlischen', 'Umarmungen', 'entreissen']"
10,,,unbekannt,,,ER,positiv,2034,CATMA_30B00014-4892-4F0E-91FB-7850CCBD0595,7,Emotionen der Zuneigung,positiv,1983,Verehrung,hren ewig zärtlich liebenden Freyherr v. Lindenthal,"['hren', 'ewig', 'zärtlich', 'liebenden', 'Freyherr', 'v.', 'Lindenthal']"
11,,,,,,ER,Emotionale Bewegtheit,2318,CATMA_F5B909CF-6B43-4067-B0B6-33B5657C4ABC,16,Emotionale Bewegtheit,Emotionale Bewegtheit,2224,Emotionale Bewegtheit,"Aber sag mir, wenn wirst du einmal aufhören, deine abgeschmackten Anmerkungen zu ma-chen? ","['Aber', 'sag', 'mir', ',', 'wenn', 'wirst', 'du', 'einmal', 'aufhören', ',', 'deine', 'abgeschmackten', 'Anmerkungen', 'zu', 'ma-chen', '?']"
12,PAUL,,,,,ER,positiv,2353,CATMA_1672EF2C-9E42-4A72-BE07-619D9105CC6A,5,Emotionen der Zuneigung,positiv,2325,Verehrung, Aber lieber gnädiger Herr! ,"['Aber', 'lieber', 'gnädiger', 'Herr', '!']"
13,,,,,,ER,Emotionale Bewegtheit,2514,CATMA_93F3583A-CFE7-4432-8B5D-F4467D34DF31,19,Emotionale Bewegtheit,Emotionale Bewegtheit,2430,Emotionale Bewegtheit," Kerl, du wirst mir so lange deine Moral vorsingen, bis ich dir den Tact dazu gebe! ","['Kerl', ',', 'du', 'wirst', 'mir', 'so', 'lange', 'deine', 'Moral', 'vorsingen', ',', 'bis', 'ich', 'dir', 'den', 'Tact', 'dazu', 'gebe', '!']"
14,PAUL,,,,,ER,positiv,2695,CATMA_EED323F2-6A87-42BB-8D6C-2AA29646835F_0,12,Emotionen der Zuneigung,positiv,2642,Verehrung,"Sie sind so ein braver, lieber, guter Herr – werth ","['Sie', 'sind', 'so', 'ein', 'braver', ',', 'lieber', ',', 'guter', 'Herr', '–', 'werth']"
15,PAUL,,,,,ER,positiv,2929,CATMA_EED323F2-6A87-42BB-8D6C-2AA29646835F_1,21,Emotionen der Zuneigung,positiv,2809,Verehrung,"ganz glücklich zu seyn – fähig ganz glücklich zu machen – Geburt, Erziehung, Vermögen, und tau-send günstige Umstände ","['ganz', 'glücklich', 'zu', 'seyn', '–', 'fähig', 'ganz', 'glücklich', 'zu', 'machen', '–', 'Geburt', ',', 'Erziehung', ',', 'Vermögen', ',', 'und', 'tau-send', 'günstige', 'Umstände']"
16,,,,Ereignis,,ER,Emotionale Bewegtheit,3088,CATMA_E31C686D-CEED-4334-B35F-AD8CAC8B2DB0,3,Emotionale Bewegtheit,Emotionale Bewegtheit,3074,Emotionale Bewegtheit, Hindert mich?,"['Hindert', 'mich', '?']"
