,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,unbekannter,,peter,,,ER,negativ,6160,CATMA_E6F80E58-D35D-4BBB-839F-858E97314472,2,Emotionen der Ablehnung,negativ,6154,Abscheu,"Narr!
","['Narr', '!']"
1,,,,,,ER,positiv,6520,CATMA_FD5C0523-048B-40E6-B0F9-D1AC34E3FBEE,16,Emotionen der Freude,positiv,6415,Schadenfreude,"Wie würden sie lachen, wenn sie mich
              einmal wieder zum Narren meines Herzens gemacht hätten","['Wie', 'würden', 'sie', 'lachen', ',', 'wenn', 'sie', 'mich', 'einmal', 'wieder', 'zum', 'Narren', 'meines', 'Herzens', 'gemacht', 'hätten']"
2,peter,,,,,ER,negativ,6958,CATMA_D82393CF-4592-4949-AAA7-517DB3D58B30,9,Emotionen der Ablehnung,negativ,6898,Abscheu,"Pfui, wer wird sich
              denn alles bezahlen lassen","['Pfui', ',', 'wer', 'wird', 'sich', 'denn', 'alles', 'bezahlen', 'lassen']"
3,,,,,,ER,positiv,7529,CATMA_947D6330-10E1-4DC0-8A8C-FFF04A9DDAA3,13,Emotionen der Freude,positiv,7443,Freude," Da wars mir gerade, als ob mich eine rotbackichte Bauerdirne
              kitzelte.
","['Da', 'wars', 'mir', 'gerade', ',', 'als', 'ob', 'mich', 'eine', 'rotbackichte', 'Bauerdirne', 'kitzelte', '.']"
4,franz,,,,,ER,positiv,8800,CATMA_CC725B00-65C9-42CE-B8B3-5894FB9277B3_0,3,Emotionen der Freude,positiv,8787,Schadenfreude,Ei der liebe ,"['Ei', 'der', 'liebe']"
5,franz,,,,,ER,positiv,8803,CATMA_CC725B00-65C9-42CE-B8B3-5894FB9277B3_1,4,Emotionen der Freude,positiv,8787,Schadenfreude,Ei der liebe Pap,"['Ei', 'der', 'liebe', 'Pap']"
6,franz,,,,,ER,positiv,8806,CATMA_CC725B00-65C9-42CE-B8B3-5894FB9277B3_2,2,Emotionen der Freude,positiv,8800,Schadenfreude,"Papa!
","['Papa', '!']"
7,,,,,,ER,positiv,8851,CATMA_1B1C944C-04B3-4F87-B1B5-62A83EE0E6E8,8,Emotionen der Freude,positiv,8814,Schadenfreude,Aber Madam Müller lacht den Papa aus.,"['Aber', 'Madam', 'Müller', 'lacht', 'den', 'Papa', 'aus', '.']"
8,peter,,,,,ER,negativ,9172,CATMA_657FB554-570F-4903-97C5-35A9CD046573,5,Emotionen der Angst,negativ,9140,Angst,denn es hatte damals geglatteist,"['denn', 'es', 'hatte', 'damals', 'geglatteist']"
9,peter,,,,,ER,negativ,9227,CATMA_1A39642C-D53D-4BCE-8BE3-D23ADFC4FB62,8,Emotionen der Ablehnung,negativ,9174,Abscheu,"und die
              Kinder sahen so schmutzig aus.
","['und', 'die', 'Kinder', 'sahen', 'so', 'schmutzig', 'aus', '.']"
10,peter,,,,,ER,negativ,9424,CATMA_D81BCEE4-50A1-4CAA-B622-BCC2713EDD76,25,Emotionen der Ablehnung,negativ,9307,Abscheu,"Ha! ha! ha! und da hat sie sich mit den schmutzigen
              Kindern so viel abgegeben und geschwatzt ha ha! ha!","['Ha', '!', 'ha', '!', 'ha', '!', 'und', 'da', 'hat', 'sie', 'sich', 'mit', 'den', 'schmutzigen', 'Kindern', 'so', 'viel', 'abgegeben', 'und', 'geschwatzt', 'ha', 'ha', '!', 'ha', '!']"
11,franz,,,,,ER,negativ,9455,CATMA_99080169-E9D3-4D5B-AA28-5FEFE36055B4,4,Emotionen der Ablehnung,negativ,9433,Abscheu,"Eine sonderbare Frau.
","['Eine', 'sonderbare', 'Frau', '.']"
12,,,,,,ER,negativ,9727,CATMA_6C474A51-CA99-453E-9C91-E9A7A931E7A3,21,Emotionen des Leids,negativ,9618,Mitleid,"aber wenn sie weint, so
              schmeckt mir kein Bissen; ich muß mitweinen, ich mag wollen oder nicht.","['aber', 'wenn', 'sie', 'weint', ',', 'so', 'schmeckt', 'mir', 'kein', 'Bissen', ';', 'ich', 'muß', 'mitweinen', ',', 'ich', 'mag', 'wollen', 'oder', 'nicht', '.']"
13,,,,,,ER,negativ,9828,CATMA_5457BC5D-68CA-4856-95C9-79DE8F113700,7,Emotionen der Ablehnung,negativ,9792,Ärger,"Schaff mir den Schwätzer vom Halse!
","['Schaff', 'mir', 'den', 'Schwätzer', 'vom', 'Halse', '!']"
14,peter,,,,,ER,positiv,9984,CATMA_92B88848-EB2E-445E-8E00-0893E20FC282,8,Emotionen der Freude,positiv,9953,Freude,Ach der Geier! Sie haben recht.,"['Ach', 'der', 'Geier', '!', 'Sie', 'haben', 'recht', '.']"
15,,peter,,,,ER,negativ,10177,CATMA_C323D03C-1ECE-409D-95C4-9478D8C08944,12,Emotionen der Ablehnung,negativ,10121,Ärger,"Der ist gewiß böse, daß er nichts von mir herauskriegt?
","['Der', 'ist', 'gewiß', 'böse', ',', 'daß', 'er', 'nichts', 'von', 'mir', 'herauskriegt', '?']"
16,,,,,,ER,negativ,10590,CATMA_09CD00B6-3066-4B92-AE84-BE529B77D442,33,Emotionen der Ablehnung,negativ,10430,Ärger,"Ich will nichts mehr hören. Diese Madam Müller; wer ist sie? warum find ich sie immer
              auf meinem Wege? Wo ich hinkomme, da ist sie schon gewesen.
","['Ich', 'will', 'nichts', 'mehr', 'hören', '.', 'Diese', 'Madam', 'Müller', ';', 'wer', 'ist', 'sie', '?', 'warum', 'find', 'ich', 'sie', 'immer', 'auf', 'meinem', 'Wege', '?', 'Wo', 'ich', 'hinkomme', ',', 'da', 'ist', 'sie', 'schon', 'gewesen', '.']"
17,unbekannter,,eulalia,,,ER,negativ,10651,CATMA_1B3C2ADC-E61F-4864-ADBF-375779ACC710,2,Emotionen der Ablehnung,negativ,10644,Ärger,Freuen?,"['Freuen', '?']"
18,franz,,,,,ER,positiv,10727,CATMA_EF40C3E0-7D7D-40F8-9F09-B877CB543769,13,Emotionen der Zuneigung,positiv,10660,Verehrung,"Daß es der guten wohltätigen Seelen noch mehrere in der Welt gibt.
","['Daß', 'es', 'der', 'guten', 'wohltätigen', 'Seelen', 'noch', 'mehrere', 'in', 'der', 'Welt', 'gibt', '.']"
19,unbekannter,,,,,ER,positiv,10747,CATMA_F18C864B-4D9E-4F49-A081-A70FCB5DC19E_0,3,Emotionen der Freude,positiv,10741,Schadenfreude,"O ja.
","['O', 'ja', '.']"
20,unbekannter,,,,,ER,positiv,10851,CATMA_F18C864B-4D9E-4F49-A081-A70FCB5DC19E_1,6,Emotionen der Freude,positiv,10818,Schadenfreude,"Warum nicht lieber sie heuraten?
","['Warum', 'nicht', 'lieber', 'sie', 'heuraten', '?']"
21,,,eulalia,,,ER,positiv,10747,CATMA_4A78F86F-35CB-4FD5-9C3E-A14CC1A17CD8,3,Emotionen der Freude,positiv,10741,Schadenfreude,"O ja.
","['O', 'ja', '.']"
