,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,fraeulein_amalie,,,,,ER,positiv,1620,CATMA_27B5B476-BB75-4C01-8D93-01E7CEEB204D,21,Emotionen der Freude,positiv,1495,Freude,"wenn doch nur heute unsrer Frau Muhme keine Verhinderung in den
              Weg käme; daß sie das Testament machen könnte!
","['wenn', 'doch', 'nur', 'heute', 'unsrer', 'Frau', 'Muhme', 'keine', 'Verhinderung', 'in', 'den', 'Weg', 'käme', ';', 'daß', 'sie', 'das', 'Testament', 'machen', 'könnte', '!']"
1,fraeulein_karoline,,,,,ER,Emotionale Bewegtheit,1656,CATMA_8B8C60BD-7FD1-4C58-89F9-1A25E727DE3D,4,Emotionale Bewegtheit,Emotionale Bewegtheit,1640,Emotionale Bewegtheit,"Warum denn das?
","['Warum', 'denn', 'das', '?']"
2,fraeulein_karoline,,,,,ER,negativ,1947,CATMA_7DBEFB68-A867-4F28-822C-2E1D27B15872,8,Emotionen des Leids,negativ,1902,Mitleid,"Hast du denn eine Not
              bei ihr?
","['Hast', 'du', 'denn', 'eine', 'Not', 'bei', 'ihr', '?']"
3,,,,,,ER,positiv,2182,CATMA_C64ED8FF-AA1C-403C-B161-06A823B78A8D,26,Emotionen der Freude,positiv,2039,Freude,"mich dünkt, solange wir noch bei einer Muhme im Hause sind, wo wir weder dursten
              noch hungern, noch elend gekleidet gehen dörfen:","['mich', 'dünkt', ',', 'solange', 'wir', 'noch', 'bei', 'einer', 'Muhme', 'im', 'Hause', 'sind', ',', 'wo', 'wir', 'weder', 'dursten', 'noch', 'hungern', ',', 'noch', 'elend', 'gekleidet', 'gehen', 'dörfen', ':']"
4,fraeulein_karoline,,,,,ER,positiv,2445,CATMA_F54EBCB9-DFF5-4E13-A3DF-1A65746327CD,18,Emotionen der Zuneigung,positiv,2324,Verehrung,"Es wird nicht eine jede Schwester ihrer Schwester Kinder so liebreich verpflegen, als
              es uns hier geschieht","['Es', 'wird', 'nicht', 'eine', 'jede', 'Schwester', 'ihrer', 'Schwester', 'Kinder', 'so', 'liebreich', 'verpflegen', ',', 'als', 'es', 'uns', 'hier', 'geschieht']"
5,fraeulein_karoline,,,,,ER,Emotionale Bewegtheit,2495,CATMA_EE349454-EF31-46F5-9258-F442B1EA1DC8,9,Emotionale Bewegtheit,Emotionale Bewegtheit,2447,Emotionale Bewegtheit,Zwar die Frau Oberstin ist ein wenig wunderlich.,"['Zwar', 'die', 'Frau', 'Oberstin', 'ist', 'ein', 'wenig', 'wunderlich', '.']"
6,fraeulein_karoline,,,,,ER,Emotionale Bewegtheit,2826,CATMA_DDC464F4-2862-4D32-B84F-DE8E8EC708D3,6,Emotionale Bewegtheit,Emotionale Bewegtheit,2807,Emotionale Bewegtheit,"Wie? Was sagst du?
","['Wie', '?', 'Was', 'sagst', 'du', '?']"
7,fraeulein_amalie,,,,,ER,positiv,2963,CATMA_BF3DC828-6BD0-48FF-AFC8-AC9B4C872A55,18,Emotionen der Freude,positiv,2851,Freude," wer reich ist und andere Leute glücklich machen kann, vor dem müssen sich die
              anderen schmiegen.
","['wer', 'reich', 'ist', 'und', 'andere', 'Leute', 'glücklich', 'machen', 'kann', ',', 'vor', 'dem', 'müssen', 'sich', 'die', 'anderen', 'schmiegen', '.']"
8,fraeulein_karoline,,,,,ER,negativ,3217,CATMA_91BF8BAB-1835-4AE5-96C9-DF75633091ED_0,2,Emotionen der Ablehnung,negativ,3206,Abscheu,"spöttisch.
","['spöttisch', '.']"
9,fraeulein_karoline,,,,,ER,negativ,3344,CATMA_91BF8BAB-1835-4AE5-96C9-DF75633091ED_1,25,Emotionen der Ablehnung,negativ,3207,Abscheu,"pöttisch.
Du darfst eben nicht wir sagen. Es gibt noch Leute im Hause, die auch ohne dies
              Testament zufrieden sein können.
","['pöttisch', '.', 'Du', 'darfst', 'eben', 'nicht', 'wir', 'sagen', '.', 'Es', 'gibt', 'noch', 'Leute', 'im', 'Hause', ',', 'die', 'auch', 'ohne', 'dies', 'Testament', 'zufrieden', 'sein', 'können', '.']"
10,,,,,,ER,positiv,3441,CATMA_4ECC648E-3FDD-4F01-9AF4-216E4167ACD0,14,Emotionen der Freude,positiv,3361,Schadenfreude,"höhnisch.
Willst du mir deinen Anteil auf der Oberstin ihre Erbschaft schenken?
","['höhnisch', '.', 'Willst', 'du', 'mir', 'deinen', 'Anteil', 'auf', 'der', 'Oberstin', 'ihre', 'Erbschaft', 'schenken', '?']"
11,,,,Ereignis,,ER,positiv,3598,CATMA_F5BE68F4-7F6D-4D20-9276-D105052AD3A5,27,Emotionen der Freude,positiv,3460,Freude,"lachend.
O herzlich gern! Mir wäre aber mit solchen Geschenken wenig gedient, die der, der sie
              gibt, noch selber nicht hat.
","['lachend', '.', 'O', 'herzlich', 'gern', '!', 'Mir', 'wäre', 'aber', 'mit', 'solchen', 'Geschenken', 'wenig', 'gedient', ',', 'die', 'der', ',', 'der', 'sie', 'gibt', ',', 'noch', 'selber', 'nicht', 'hat', '.']"
12,fraeulein_amalie,,,,,ER,Emotionale Bewegtheit,3732,CATMA_C08D4FBF-6D3C-4AE4-8E70-5F12BC27247A,21,Emotionale Bewegtheit,Emotionale Bewegtheit,3617,Emotionale Bewegtheit,"elber nicht hat? Wie? ist sie nicht unsrer Mutter Schwester? und sind wir nicht ihre
              nächsten Erben?
","['elber', 'nicht', 'hat', '?', 'Wie', '?', 'ist', 'sie', 'nicht', 'unsrer', 'Mutter', 'Schwester', '?', 'und', 'sind', 'wir', 'nicht', 'ihre', 'nächsten', 'Erben', '?']"
13,fraeulein_karoline,,,,,ER,negativ,4261,CATMA_48F883EA-1492-47B6-9C2C-DB9AF5CBFDF1,20,Emotionen der Ablehnung,negativ,4147,Abscheu," als daß sie es jungen, leichtsinnigen Leuten gibt, die ihr Glück selbst in
              der Welt suchen sollen.
","['als', 'daß', 'sie', 'es', 'jungen', ',', 'leichtsinnigen', 'Leuten', 'gibt', ',', 'die', 'ihr', 'Glück', 'selbst', 'in', 'der', 'Welt', 'suchen', 'sollen', '.']"
14,fraeulein_karoline,,,,,ER,positiv,4482,CATMA_C30650A0-2ED1-4E7B-94B3-4D5850CFC482,11,Emotionen der Freude,positiv,4429,Freude,"lachend.
Mußt du denn so notwendig einen Mann haben?
","['lachend', '.', 'Mußt', 'du', 'denn', 'so', 'notwendig', 'einen', 'Mann', 'haben', '?']"
