,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,unpersönlich,,,,,,VH,positiv,1619,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_0,25,Emotionen der Freude,positiv,1488,Freude,"SO scheinet heute neues Glücke / Das Gestern wunder-günstig war: Ach ja wir grüssen diese Blicke / Und stellen uns zum Dancke dar.
","['SO', 'scheinet', 'heute', 'neues', 'Glücke', '/', 'Das', 'Gestern', 'wunder-günstig', 'war', ':', 'Ach', 'ja', 'wir', 'grüssen', 'diese', 'Blicke', '/', 'Und', 'stellen', 'uns', 'zum', 'Dancke', 'dar', '.']"
1,unpersönlich,,,,,,VH,positiv,1671,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_1,8,Emotionen der Freude,positiv,1631,Freude,"Sie heben / was nach Tugend schmecket /
","['Sie', 'heben', '/', 'was', 'nach', 'Tugend', 'schmecket', '/']"
2,unpersönlich,,,,,,VH,positiv,1719,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_2,8,Emotionen der Freude,positiv,1683,Freude,"Und sehn / was uns gelehrter macht.
","['Und', 'sehn', '/', 'was', 'uns', 'gelehrter', 'macht', '.']"
3,unpersönlich,,,,,,VH,positiv,1767,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_3,6,Emotionen der Freude,positiv,1731,Freude,"Weil dieses manchen Geist erwecket:
","['Weil', 'dieses', 'manchen', 'Geist', 'erwecket', ':']"
4,unpersönlich,,,,,,VH,positiv,1813,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_4,6,Emotionen der Freude,positiv,1779,Freude,So wirds nicht allerdings veracht.,"['So', 'wirds', 'nicht', 'allerdings', 'veracht', '.']"
5,unpersönlich,,,,,,VH,positiv,1864,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_5,6,Emotionen der Freude,positiv,1826,Freude,"Wil sich die Kurtzweil untermischen /
","['Wil', 'sich', 'die', 'Kurtzweil', 'untermischen', '/']"
6,unpersönlich,,,,,,VH,positiv,1911,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_6,7,Emotionen der Freude,positiv,1876,Freude,"So bricht sie nicht die Erbarkeit.
","['So', 'bricht', 'sie', 'nicht', 'die', 'Erbarkeit', '.']"
7,unpersönlich,,,,,,VH,positiv,1954,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_7,7,Emotionen der Freude,positiv,1915,Freude,"Vielmehr kan sie den Fleiß erfrischen.
","['Vielmehr', 'kan', 'sie', 'den', 'Fleiß', 'erfrischen', '.']"
8,unpersönlich,,,,,,VH,positiv,1999,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_8,7,Emotionen der Freude,positiv,1966,Freude,"Drum lachet zu der rechten Zeit.
","['Drum', 'lachet', 'zu', 'der', 'rechten', 'Zeit', '.']"
9,unpersönlich,,,,,,VH,positiv,2182,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_9,30,Emotionen der Freude,positiv,2008,Freude,"Was helffen die rauhen und harten Geberden ? Ein frölicher Wechsel der machet gelehrt. Und welche durch Spielen befriediget werden / Die werden im Fleisse mit Segen verehrt.
","['Was', 'helffen', 'die', 'rauhen', 'und', 'harten', 'Geberden', '?', 'Ein', 'frölicher', 'Wechsel', 'der', 'machet', 'gelehrt', '.', 'Und', 'welche', 'durch', 'Spielen', 'befriediget', 'werden', '/', 'Die', 'werden', 'im', 'Fleisse', 'mit', 'Segen', 'verehrt', '.']"
