,start,end,id,tag_type_id,tag_type_speech,catma_markupauthor,catma_markuptimestamp,catma_displaycolor,path,text,base_polarity,main_emotion_class,tag_type,Drama
1,1258,1327,CATMA_76A6C8AA-1DEB-4002-ABD1-634004F252F6,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.293+0100,-13140244.0,/TEI/text/body/div/div/sp/stage,"jagt einem Schmetterling nach, den er endlich mit dem Hute erhascht.
",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
2,1327,3108,CATMA_82895F0D-7D98-44D3-A909-88BB92A9C267,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.293+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Aha! – dich hab ich erwischt. Ei, der ist gewaltig schön, rot und blau und gelb.
                Er spießt ihn an eine Nadel und steckt ihn auf den Hut.
 Sapperlot!
              ich bin doch ein gescheiter Junge, wenngleich mein Vater immer spricht: dummer Peter!
              Der Peter ist aber gar nicht dumm. Da hat er seinen Hut aufgedonnert, daß jeder
              Bauerdirne das Herz im Leibe lachen wird. – Der Vater will immer so gescheut sein,
              will immer alles besser wissen; bald red' ich zu viel, bald zu wenig, und wenn ich
              einmal mit mir selbst rede, so nennt er mich gar einen Narren: und ich rede doch am
              liebsten mit mir selbst, denn ich versteh' mich am besten; und ich selbst lache mich
              auch niemals aus, wie die andern wohl zu tun pflegen. Das Auslachen ist eine
              abscheulich ärgerliche Gewohnheit. Ja, wenn Madam Müller mich auslacht, das laß ich
              noch hingehn; die verzieht das Mäulchen dabei so süß und artig, daß man meint, sie
              lecke an einer Zuckerpuppe. – Im Begriff zu gehn und wieder umkehrend.

              Ach potz Velten! da hätt' ich beinahe vergessen, warum ich kam. Nun ja, da wäre wieder
              auf meine Kosten gelacht worden. Er zieht einen Beutel heraus.
 Das Geld
              soll ich dem alten Tobies bringen, und Madam Müller hat mir befohlen, nicht ein
              Wörtchen davon auszuplaudern. Nun, nun, da kann sie ganz ruhig sein: aus meinem Munde
              kommt keine Silbe. – Schön ist Madam Müller, sehr schön! aber dumm, entsetzlich dumm!
              denn mein Papa sagt: wer sein Geld vertut, der handelt unvernünftig; aber wer es gar
              verschenkt, den muß man je eher je lieber ins Tollhaus bringen.
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
17,3744,3756,CATMA_7FAFE948-5492-4698-92AA-7651A9479978,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.293+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Er ist arm.
",negativ,Emotionen des Leids,Leid,Menschenhass_Kotzebue
30,4136,4161,CATMA_077292B0-E751-4A8D-916C-D40F54F558B3,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.293+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Wohltaten erzeugen Dank.
",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
32,4203,4251,CATMA_5D4E0B62-8EB6-4009-A5DF-76172B996549,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.293+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Und beglücken mehr den Geber als den Empfänger.
",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
37,4399,4435,CATMA_35FA7D7B-14EA-4F14-B3A7-9349EFD52453,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ein wohltätiger Mensch ist ein Tor.
",negativ,Emotionen des Leids,Mitleid,Menschenhass_Kotzebue
41,4545,4559,CATMA_A71A32CA-5B14-447F-B6F0-FDADD1D5B8F8,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Sie heucheln.
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
42,4567,4581,CATMA_4D980DDD-6F3E-4137-ACA1-CBB67F005700,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Sie betrügen.
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
44,4629,4659,CATMA_B31E1416-D623-4F39-A6FA-15C4C3784058,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Und lachen hinter dem Rücken.
",positiv,Emotionen der Freude,Schadenfreude,Menschenhass_Kotzebue
45,4672,4680,CATMA_4555C58D-A43B-4363-913B-FEF8385ABD45,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.294+0100,-13140244.0,/TEI/text/body/div/div/sp/stage,"bitter.
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
