,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,0,Kasperl/Eberl_Limonadehuette.csv,"
      Ein schlecht meublirtes Zimmer.",0,38,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1,1,Kasperl/Eberl_Limonadehuette.csv,"
      Maria sitzt an einem Tische, biegelt; bald darauf kömmt Kaspar mit einem Papier in der Hand, geht einigemal stumm auf und ab, dann wirft er das Papier auf den Tisch, setzt sich in einen Stuhl, stopft sich eine Pfeife Tobak.",0,230,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
2,2,Kasperl/Eberl_Limonadehuette.csv,"
       Du Weib!",0,16,character_speech,1,1,,"
       KASPAR.
      ",#kaspar,1.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
3,3,Kasperl/Eberl_Limonadehuette.csv,"das ist die letzte Pfeife, die ich rauche.",17,59,character_speech,1,1,,"
       KASPAR.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
4,4,Kasperl/Eberl_Limonadehuette.csv,"
       Und warum?",0,18,character_speech,1,1,,"
       MARIA.
      ",#maria,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
5,5,Kasperl/Eberl_Limonadehuette.csv,"
       Weil ich hernach mein letztes Projekt ausführen will.",0,61,character_speech,1,1,,"
       KASPAR.
      ",#kaspar,3.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
6,6,Kasperl/Eberl_Limonadehuette.csv,"
       Und das wäre?",0,21,character_speech,1,1,,"
       MARIA.
      ",#maria,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
7,7,Kasperl/Eberl_Limonadehuette.csv,"
       Kurz und gut, ich häng mich auf.",0,40,character_speech,1,1,,"
       KASPAR.
      ",#kaspar,5.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
8,8,Kasperl/Eberl_Limonadehuette.csv,"
        (lacht)",0,16,stage_direction,1,1,inner_speech,,#maria,6.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
9,9,Kasperl/Eberl_Limonadehuette.csv,"
       Aufhängen?",0,18,character_speech,1,1,,"
       MARIA.
      ",#maria,6.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
10,10,Kasperl/Eberl_Limonadehuette.csv,"
       Mach du nur Spaß, du wirsts schon sehen: wenn du aber ein braves Weib seyn, und mir halten willst, was du mir geschworen hast, so hängst du dich mit mir auf; – schau – ich will dir noch die letzte Treue thun, und ich häng dich zu erst.",0,243,character_speech,1,1,,"
       KASPAR.
      ",#kaspar,7.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
11,11,Kasperl/Eberl_Limonadehuette.csv,"
       Ha!",0,11,character_speech,1,1,,"
       MARIA.
      ",#maria,8.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
12,12,Kasperl/Eberl_Limonadehuette.csv,ha!,12,15,character_speech,1,1,,"
       MARIA.
      ",#maria,8.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
13,13,Kasperl/Eberl_Limonadehuette.csv,ha!,16,19,character_speech,1,1,,"
       MARIA.
      ",#maria,8.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
14,14,Kasperl/Eberl_Limonadehuette.csv,"Nein mein liebes Närrchen, da gebühret mir der Vorzug, ich will dir die Augen zudrücken, und dann häng ich mich.",20,132,character_speech,1,1,,"
       MARIA.
      ",#maria,8.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
15,15,Kasperl/Eberl_Limonadehuette.csv,"
       Du selbst?",0,18,character_speech,1,1,,"
       KASPAR.
      ",#kaspar,9.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
16,16,Kasperl/Eberl_Limonadehuette.csv,wär das möglich?,19,35,character_speech,1,1,,"
       KASPAR.
      ",#kaspar,9.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
17,17,Kasperl/Eberl_Limonadehuette.csv,da wärst du ja die Krone von allen Weibern.,36,79,character_speech,1,1,,"
       KASPAR.
      ",#kaspar,9.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
18,18,Kasperl/Eberl_Limonadehuette.csv,"
       Nicht anders, sobald du todt bist, häng ich mich – an einen andern.",0,75,character_speech,1,1,,"
       MARIA.
      ",#maria,10.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
19,19,Kasperl/Eberl_Limonadehuette.csv,"
        (springt auf)",0,22,stage_direction,1,1,inner_speech,,#kaspar,11.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
