,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/schiller-wallensteins-tod.xml,"Ein Zimmer zu astrologischen Arbeiten eingerichtet und mit Sphären, Karten,
          Quadranten und anderm astronomischen Geräte versehen.",0,139,stage_direction,1,0,pre_scene,,,,,no_annotation,no_annotation,no_annotation
1,1,GerDracor/schiller-wallensteins-tod.xml,"Der Vorhang von einer Rotunde ist
          aufgezogen, in welcher die sieben Planetenbilder, jedes in einer Nische, seltsam
          beleuchtet, zu sehen sind.",140,301,stage_direction,1,0,pre_scene,,,,,no_annotation,no_annotation,no_annotation
2,2,GerDracor/schiller-wallensteins-tod.xml,"Seni beobachtet die Sterne, Wallenstein steht vor einer großen,
          schwarzen Tafel, auf welcher der Planeten Aspekt gezeichnet ist.",302,440,stage_direction,1,0,pre_scene,,,,,no_annotation,no_annotation,no_annotation
3,3,GerDracor/schiller-wallensteins-tod.xml,Wallenstein.,0,12,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
4,4,GerDracor/schiller-wallensteins-tod.xml,Seni.,13,18,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
5,5,GerDracor/schiller-wallensteins-tod.xml,"
              Laß es jetzt gut sein, Seni.",0,43,character_speech,1,1,,WALLENSTEIN.,#wallenstein,1.0,MALE,no_annotation,no_annotation,no_annotation
6,6,GerDracor/schiller-wallensteins-tod.xml,Komm herab.,44,55,character_speech,1,1,,WALLENSTEIN.,#wallenstein,1.0,MALE,no_annotation,no_annotation,no_annotation
7,7,GerDracor/schiller-wallensteins-tod.xml,"Der Tag bricht an, und Mars regiert die Stunde.",70,117,character_speech,1,1,,WALLENSTEIN.,#wallenstein,1.0,MALE,no_annotation,no_annotation,no_annotation
8,8,GerDracor/schiller-wallensteins-tod.xml,Es ist nicht gut mehr operieren.,132,164,character_speech,1,1,,WALLENSTEIN.,#wallenstein,1.0,MALE,suffering,negative,emotions of suffering and empathy
9,9,GerDracor/schiller-wallensteins-tod.xml,Komm!,165,170,character_speech,1,1,,WALLENSTEIN.,#wallenstein,1.0,MALE,no_annotation,no_annotation,no_annotation
10,10,GerDracor/schiller-wallensteins-tod.xml,Wir wissen gnug.,185,201,character_speech,1,1,,WALLENSTEIN.,#wallenstein,1.0,MALE,no_annotation,no_annotation,no_annotation
11,11,GerDracor/schiller-wallensteins-tod.xml,"
              Nur noch die Venus laß mich
              Betrachten, Hoheit.",0,76,character_speech,1,1,,SENI.,#seni,2.0,MALE,love,positive,emotions of affection
12,12,GerDracor/schiller-wallensteins-tod.xml,Eben geht sie auf.,77,95,character_speech,1,1,,SENI.,#seni,2.0,MALE,no_annotation,no_annotation,no_annotation
13,13,GerDracor/schiller-wallensteins-tod.xml,Wie eine Sonne glänzt sie in dem Osten.,110,149,character_speech,1,1,,SENI.,#seni,2.0,MALE,"admiration, reverence",positive,emotions of affection
14,14,GerDracor/schiller-wallensteins-tod.xml,"
              Ja, sie ist jetzt in ihrer Erdennäh
              Und wirkt herab mit allen ihren Stärken.",0,105,character_speech,1,1,,WALLENSTEIN.,#wallenstein,3.0,MALE,no_annotation,no_annotation,no_annotation
15,15,GerDracor/schiller-wallensteins-tod.xml,Die Figur auf der Tafel betrachtend.,0,36,stage_direction,1,1,speech_part,,#wallenstein,3.0,MALE,no_annotation,no_annotation,no_annotation
16,16,GerDracor/schiller-wallensteins-tod.xml,"
              Glückseliger Aspekt!",0,35,character_speech,1,1,,WALLENSTEIN.,#wallenstein,3.0,MALE,joy,positive,emotions of pleasure
17,17,GerDracor/schiller-wallensteins-tod.xml,"So stellt sich endlich
              Die große Drei verhängnisvoll zusammen,
              Und beide Segenssterne, Jupiter
              Und Venus, nehmen den verderblichen,
              Den tückschen Mars in ihre Mitte, zwingen
              Den alten Schadenstifter mir zu dienen.",36,319,character_speech,1,1,,WALLENSTEIN.,#wallenstein,3.0,MALE,no_annotation,no_annotation,no_annotation
18,18,GerDracor/schiller-wallensteins-tod.xml,"Denn lange war er feindlich mir gesinnt,
              Und schoß mit senkrecht- oder schräger Strahlung
              Bald im Gevierten, bald im Doppelschein
              Die roten Blitze meinen Sternen zu,
              Und störte ihre segenvollen Kräfte.",334,591,character_speech,1,1,,WALLENSTEIN.,#wallenstein,3.0,MALE,abhorrence,negative,emotions of rejection
19,19,GerDracor/schiller-wallensteins-tod.xml,"Jetzt haben sie den alten Feind besiegt,
              Und bringen ihn am Himmel mir gefangen.",606,700,character_speech,1,1,,WALLENSTEIN.,#wallenstein,3.0,MALE,joy,positive,emotions of pleasure
20,20,GerDracor/schiller-wallensteins-tod.xml,"
              Und beide große Lumina von keinem
              Malefico beleidigt!",0,82,character_speech,1,1,,SENI.,#seni,4.0,MALE,"admiration, reverence",positive,emotions of affection
