,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,0,Kasperl/Marinelli_Liebesgeschichte_korr.csv,"
     Gasse.",0,12,stage_direction,1,0,pre_scene,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1,1,Kasperl/Marinelli_Liebesgeschichte_korr.csv,"
      Kasper, hernach Jackel.",0,30,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
2,2,Kasperl/Marinelli_Liebesgeschichte_korr.csv,"
       schreit",0,15,stage_direction,1,1,speech_part,,#kaspar,1.0,UNKNOWN,fear,negative,emotions of anxiety,comedy,KK
3,3,Kasperl/Marinelli_Liebesgeschichte_korr.csv,"
       Scherr – Scherr – Scherrnschleifen!",0,43,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
4,4,Kasperl/Marinelli_Liebesgeschichte_korr.csv,"– hat dann kein Mensch was zu schleifen.|Barbier Messer, Feder Mesßer, Taschenmeßer, Kuchelmeßer, Transchier Messer|Pfriemen, Beißzangen, Hobelklingen.",44,195,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
5,5,Kasperl/Marinelli_Liebesgeschichte_korr.csv,Scherr – Scherr – Scherrschleifen –|Es giebt keine Arbeit.,196,254,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
6,6,Kasperl/Marinelli_Liebesgeschichte_korr.csv,Es will kein Mensch was schleiffen lassen.,255,297,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
7,7,Kasperl/Marinelli_Liebesgeschichte_korr.csv,"Die Zungen seyn|jezt das schneidenste Instrument, womit einer dem andern die Ehre abschneidet,|und man braucht keinen Schleiffer dazu.",298,432,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
8,8,Kasperl/Marinelli_Liebesgeschichte_korr.csv,Auweh!,433,439,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
9,9,Kasperl/Marinelli_Liebesgeschichte_korr.csv,"wie viel Pfuscher giebts bey|meinen Handwerck, und ich darf mich nicht beklagen.",440,520,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
10,10,Kasperl/Marinelli_Liebesgeschichte_korr.csv,[Und] solang das Sprichwort|aufgekommen: Auweh!,521,568,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
11,11,Kasperl/Marinelli_Liebesgeschichte_korr.csv,"[Backts] Zieht Euch, wie ein Strudelteich!",569,611,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
12,12,Kasperl/Marinelli_Liebesgeschichte_korr.csv,"Ihr traut euch nicht zu|trincken, ihr traut euch nicht zu spielen, weil ihr keine Schneid habt.",612,707,character_speech,1,1,,"
       Kaspar.
      ",#kaspar,1.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
