,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,0,Kasperl/Hensler_Marionettenbude_korr.csv,"
      (Ein ländlicher Hof vor dem Wirthshaus zum goldenen Lamm.",0,64,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1,1,Kasperl/Hensler_Marionettenbude_korr.csv,"Im Hintergrund ein umzäunter Garten, der über das Gebürg af die Heerstrasse führt.",65,147,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
2,2,Kasperl/Hensler_Marionettenbude_korr.csv,"Röschen sitzt vor dem Haus, und spinnt am Rädchen, Kasper sägt Holz, der Verwalter schleicht verstohlen zur Gartenthür herein.)",148,275,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
3,3,Kasperl/Hensler_Marionettenbude_korr.csv,"
      Introduction.",0,20,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
4,4,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Schnurre, Rädchen!",0,35,character_speech,1,1,,"
       Röschen.
      ",#röschen,1.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
5,5,Kasperl/Hensler_Marionettenbude_korr.csv,"schnurre,
       
       
        Knurre, Spulchen knurre!",36,94,character_speech,1,1,,"
       Röschen.
      ",#röschen,1.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
6,6,Kasperl/Hensler_Marionettenbude_korr.csv,"Mit den Fingern zart und fein
       
       
        Muß das Garn gesponnen seyn.",119,201,character_speech,1,1,,"
       Röschen.
      ",#röschen,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
7,7,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Knarre, Säge!",0,30,character_speech,1,1,,"
       Kasper.
      ",#kasper,2.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
8,8,Kasperl/Hensler_Marionettenbude_korr.csv,knarre!,31,38,character_speech,1,1,,"
       Kasper.
      ",#kasper,2.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
9,9,Kasperl/Hensler_Marionettenbude_korr.csv,"Schnarre, schnarre, schnarre!",63,92,character_speech,1,1,,"
       Kasper.
      ",#kasper,2.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
10,10,Kasperl/Hensler_Marionettenbude_korr.csv,"Mit der Säge kurz und klein,
       
       
        Muß das Holz zerschnitten seyn.",117,201,character_speech,1,1,,"
       Kasper.
      ",#kasper,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
11,11,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Ihres Rädchens Schnurren,
       
       
        Ihrer Spule Knurren –
       
       
        Und ihr Füßchen winzig klein,
       
       
        Ladet mich zur Liebe ein.",0,192,character_speech,1,1,,"
       Verwalter.
      ",#verwalter,3.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
12,12,Kasperl/Hensler_Marionettenbude_korr.csv,"
       (zu Casper.)",0,20,stage_direction,1,1,speech_part,,#röschen,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
13,13,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Dort seh’ ich Herrn Krappel gehen,
       
       
        Leise schleicht er sich zu mir;",0,107,character_speech,1,1,,"
       Röschen.
      ",#röschen,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
14,14,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Laß den alten Narren stehen,
       
       
        Röschen!",0,78,character_speech,1,1,,"
       Casper.
      ",#casper,5.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
15,15,Kasperl/Hensler_Marionettenbude_korr.csv,dieses rath’ ich dir.,79,100,character_speech,1,1,,"
       Casper.
      ",#casper,5.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
16,16,Kasperl/Hensler_Marionettenbude_korr.csv,"
       (für sich.)",0,19,stage_direction,1,1,speech_part,,#röschen,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
17,17,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Er meint wohl gar, der arme Wicht
       
       
        Ha ha – ha ha, ich seh’ ihn nicht,",0,109,character_speech,1,1,,"
       Röschen.
      ",#röschen,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
18,18,Kasperl/Hensler_Marionettenbude_korr.csv,"
       (für sich.)",0,19,stage_direction,1,1,speech_part,,#kasper,7.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
19,19,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Ach!",0,21,character_speech,1,1,,"
       Kasper
      ",#kasper,7.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
20,20,Kasperl/Hensler_Marionettenbude_korr.csv,"dürft ich nur, wie wollt’ ich nicht,
       
       
        Ihm gleich zersetzen sein Gesicht.",22,117,character_speech,1,1,,"
       Kasper
      ",#kasper,7.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
21,21,Kasperl/Hensler_Marionettenbude_korr.csv,"
      (Verwalter hat sich hinter Röschen hingeschlichen, hält ihr das Rädchen auf.)",0,84,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
22,22,Kasperl/Hensler_Marionettenbude_korr.csv,"
       (springt auf.)",0,22,stage_direction,1,1,speech_part,,#röschen,8.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
23,23,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        He da!",0,23,character_speech,1,1,,"
       Röschen.
      ",#röschen,8.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
24,24,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Wer da!",0,24,character_speech,1,1,,"
       Kasper.
      ",#kasper,9.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
25,25,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Um dich zu sehen, eil’ ich hieher –",0,52,character_speech,1,1,,"
       Verwalter.
      ",#verwalter,10.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
26,26,Kasperl/Hensler_Marionettenbude_korr.csv,"
       (will sie umfassen.)",0,28,stage_direction,1,1,speech_part,,#verwalter,10.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
27,27,Kasperl/Hensler_Marionettenbude_korr.csv,"
       (spottend.)",0,19,stage_direction,1,1,speech_part,,#röschen,11.0,UNKNOWN,Schadenfreude,positive,emotions of pleasure,comedy,KK
28,28,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Dank für die Ehr, gnädiger Herr",0,48,character_speech,1,1,,"
       Röschen.
      ",#röschen,11.0,UNKNOWN,"admiration, reverence",positive,emotions of affection,comedy,KK
29,29,Kasperl/Hensler_Marionettenbude_korr.csv,"
       (hält die Säge in der Hand, tritt zwischen beyde.)",0,58,stage_direction,1,1,speech_part,,#kasper,12.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
30,30,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Was soll das Karessiren?",0,41,character_speech,1,1,,"
       Kasper.
      ",#kasper,12.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
31,31,Kasperl/Hensler_Marionettenbude_korr.csv,Was soll da das Scharmiren?,66,93,character_speech,1,1,,"
       Kasper.
      ",#kasper,12.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
32,32,Kasperl/Hensler_Marionettenbude_korr.csv,Herr Krappel!,118,131,character_speech,1,1,,"
       Kasper.
      ",#kasper,12.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
33,33,Kasperl/Hensler_Marionettenbude_korr.csv,"geh’ er seine Weeg,
       
       
        Sonst säg’ ich ihm die Nase weg.",132,208,character_speech,1,1,,"
       Kasper.
      ",#kasper,12.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
34,34,Kasperl/Hensler_Marionettenbude_korr.csv,"
       (drohend.)",0,18,stage_direction,1,1,speech_part,,#verwalter,13.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
35,35,Kasperl/Hensler_Marionettenbude_korr.csv,"
       
        Du Schlingel du!",0,33,character_speech,1,1,,"
       Verwalter
      ",#verwalter,13.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
36,36,Kasperl/Hensler_Marionettenbude_korr.csv,Ha!,34,37,character_speech,1,1,,"
       Verwalter
      ",#verwalter,13.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
37,37,Kasperl/Hensler_Marionettenbude_korr.csv,welch Geschrey!,38,53,character_speech,1,1,,"
       Verwalter
      ",#verwalter,13.0,UNKNOWN,"admiration, reverence",positive,emotions of affection,comedy,KK
38,38,Kasperl/Hensler_Marionettenbude_korr.csv,"
      (Man hört Helwig im Hause lärmen.)",0,41,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
