 ,file,author,title0,title1,title2,date,date_written,date_print,date_premiere,when_0_textgrid,when_1_textgrid,notAfter_0_textgrid,notBefore_0_textgrid,notAfter_1_textgrid,notBefore_1_textgrid,genretitle,genre classification,subgenre,Entstehung,Erstdruck,Sortierdatum,Uraufaufführung,UAOrt,UABühne,UATruppe,Dramatis_Personae,act_count,scene_count,l_count,lg_count,p_count
161,GerDracor/zschokke-abellino.xml,"Zschokke, Heinrich",Abellino,Schauspiel in 5 Aufzügen,"Heinrich Zschokke: Gesammelte Schriften. Zweite vermehrte Ausgabe, Aarau: H.R.
 Sauerländer, 1865.",1795,,1795,1795,,,,,,,Schauspiel,S,,,1795,1795,19.05.1795,Leipzig,,,no,5,39,5324,716,0
,TextGrid/-Absurda_Comica._Oder_Herr_Peter_Squenz.xml,"Gryphius, Andreas",Absurda Comica. Oder Herr Peter Squenz,"Andreas Gryphius: Werke in drei Bänden mit Ergänzungsband. Herausgegeben von Hermann Palm, Sonderausgabe mit Genehmigung des Verlages Anton Hiersemann (Stuttgart), Darmstadt: Wissenschaftliche Buchgesellschaft, 1961 [= Nachdruck der Ausgabe Tübingen 1878–1884]",,1647,,,,1961,,1650,1647,,,Schimpfspiel,K,,1648,1658,1658,,,,,yes,3,0,575,38,171
69,GerDracor/toerring-agnes-bernauerin.xml,"Törring, Josef August von",Agnes Bernauerin,Ein vaterländisches Trauerspiel,"Das Drama der klassischen Periode. Herausgegeben von Dr. Adolf Hauffen,
 Stuttgart: Union Deutsche Verlagsgesellschaft, [o.J.] [Deutsche National-Litteratur,
 herausgegeben von Joseph Kürschner, 138. Bd.].",1780,1780,1780,1781,,,,,,,Trauerspiel,T,,1780,1780,1780,,,,,no,5,36,0,0,570
,TextGrid/-Agnes_von_Hohenstaufen.xml,"Raupach, Ernst Benjamin Salomo",Agnes von Hohenstaufen,"Gaspare Spontini: Agnes von Hohenstaufen. Große historisch-romantische Oper in 3 Aufzügen von E. Raupach, neu bearbeitet von Frh. Von Lichtenstein, Berlin: [o. V.], 1837.",,1784,,,,1837,,1837,1784,,,Oper,,,,,1829,12.06.1829,Berlin,Königliches Opernhaus,,yes,3,0,1210,263,33
,TextGrid/-Agrippina.xml,"Lohenstein, Daniel Casper von",Agrippina,"Daniel Casper von Lohenstein: Römische Trauerspiele. Herausgegeben von Klaus Günther Just, Stuttgart: Anton Hiersemann, 1955.",,1635,,,,1955,,1683,1635,,,Trauerspiel,T,,,1665,1665,,,,,yes,5,0,3162,283,447
129,GerDracor/schlegel-alarcos.xml,"Schlegel, Friedrich",Alarcos,Ein Trauerspiel in zwei Aufzügen,"Friedrich von Schlegel: Ausgewählte Werke. Herausgegeben von Dr. Eberhard Sauer,
 Berlin: Dom-Verlag, 1922.",1801,1801,1802,1802,,,,,,,Trauerspiel,T,,1801,1802,1802,29.05.1802,Weimar,Hoftheater,,,,,,,
460,GerDracor/wieland-alceste.xml,"Wieland, Christoph Martin",Alceste,Ein Singspiel in fünf Aufzügen,"Christoph Martin Wieland: Alceste. Ein Singspiel in fünf Aufzügen, Leipzig:
 Weidmanns Erben und Reich, 1773.",1773,,1773,1773,,,,,,,Singspiel,K,,,1773,1773,28.05.1773,Weimar,Großherzogliches Hofheater,,yes,5,0,982,182,0
220,GerDracor/heine-almansor.xml,"Heine, Heinrich",Almansor,Eine Tragödie,"Heinrich Heine: Werke und Briefe in zehn Bänden. Herausgegeben von Hans Kaufmann,
 2. Auflage, Berlin und Weimar: Aufbau, 1972.",1823,,1821,1823,,,,,,,Tragödie,T,,,1821,1821,,,,,no,0,8,1815,243,0
383,GerDracor/kleist-amphitryon.xml,"Kleist, Heinrich von",Amphitryon,Ein Lustspiel nach Molière,"Heinrich von Kleist: Werke und Briefe in vier Bänden. Herausgegeben von Siegfried
 Streller in Zusammenarbeit mit Peter Goldammer und Wolfgang Barthel, Anita Golz,
 Rudolf Loch, Berlin und Weimar: Aufbau, 1978.",1803,1803,1807,1899,,,,,,,Lustspiel,K,,1803,1807,1807,08.04.1899,Berlin,Neues Theater,,no,3,22,2598,458,0
,"TextGrid/-Andreas_Hofer,_der_Sandwirt_von_Passeyer.xml","Immermann, Karl","Andreas Hofer, der Sandwirt von Passeyer","Karl Immermann: Andreas Hofer der Sandwirt von Passeier. Herausgegeben von Prof. Dr. Hermann Muchau, Bielefeld und Leipzig: Velhagen & Klasing, 1912.",,1826,,,,1912,1826,,,,,Eiin Trauerspiel,T,,,1826,1826,,,,,,,,,,
