,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,0,unpersönlich,,,,,,VH,positiv,1619.0,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_0,25,Emotionen der Freude,positiv,1488.0,Freude,"SO scheinet heute neues Glücke / Das Gestern wunder-günstig war: Ach ja wir grüssen diese Blicke / Und stellen uns zum Dancke dar.
","['SO', 'scheinet', 'heute', 'neues', 'Glücke', '/', 'Das', 'Gestern', 'wunder-günstig', 'war', ':', 'Ach', 'ja', 'wir', 'grüssen', 'diese', 'Blicke', '/', 'Und', 'stellen', 'uns', 'zum', 'Dancke', 'dar', '.']"
1,4,unpersönlich,,,,,,VH,positiv,1813.0,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_4,6,Emotionen der Freude,positiv,1779.0,Freude,So wirds nicht allerdings veracht.,"['So', 'wirds', 'nicht', 'allerdings', 'veracht', '.']"
2,5,unpersönlich,,,,,,VH,positiv,1864.0,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_5,6,Emotionen der Freude,positiv,1826.0,Freude,"Wil sich die Kurtzweil untermischen /
","['Wil', 'sich', 'die', 'Kurtzweil', 'untermischen', '/']"
3,6,unpersönlich,,,,,,VH,positiv,1911.0,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_6,7,Emotionen der Freude,positiv,1876.0,Freude,"So bricht sie nicht die Erbarkeit.
","['So', 'bricht', 'sie', 'nicht', 'die', 'Erbarkeit', '.']"
4,7,unpersönlich,,,,,,VH,positiv,1954.0,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_7,7,Emotionen der Freude,positiv,1915.0,Freude,"Vielmehr kan sie den Fleiß erfrischen.
","['Vielmehr', 'kan', 'sie', 'den', 'Fleiß', 'erfrischen', '.']"
5,8,unpersönlich,,,,,,VH,positiv,1999.0,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_8,7,Emotionen der Freude,positiv,1966.0,Freude,"Drum lachet zu der rechten Zeit.
","['Drum', 'lachet', 'zu', 'der', 'rechten', 'Zeit', '.']"
6,9,unpersönlich,,,,,,VH,positiv,2182.0,CATMA_F2197A74-8A11-41C2-A422-BBE9B3D0BE71_9,30,Emotionen der Freude,positiv,2008.0,Freude,"Was helffen die rauhen und harten Geberden ? Ein frölicher Wechsel der machet gelehrt. Und welche durch Spielen befriediget werden / Die werden im Fleisse mit Segen verehrt.
","['Was', 'helffen', 'die', 'rauhen', 'und', 'harten', 'Geberden', '?', 'Ein', 'frölicher', 'Wechsel', 'der', 'machet', 'gelehrt', '.', 'Und', 'welche', 'durch', 'Spielen', 'befriediget', 'werden', '/', 'Die', 'werden', 'im', 'Fleisse', 'mit', 'Segen', 'verehrt', '.']"
7,10,,,,,,,VH,negativ,2431.0,CATMA_35297FFA-00CD-4142-8ABA-2D3536397999,5,Emotionen der Angst,negativ,2403.0,Angst,"Ein Vice-Re entsetzet sich.
","['Ein', 'Vice-Re', 'entsetzet', 'sich', '.']"
8,12,,,,,,,VH,positiv,2715.0,CATMA_B2633A69-69AD-4533-9C5B-11713E12EBA7,8,Emotionen der Freude,positiv,2681.0,Freude,"Ach selig / wem der Sieg gefällt.
","['Ach', 'selig', '/', 'wem', 'der', 'Sieg', 'gefällt', '.']"
9,14,,,,,,,VH,negativ,3518.0,CATMA_87B75FDC-C851-4D63-AAC9-924CA07AAE3A,63,Emotionen der Angst,negativ,3155.0,Angst,"Ich wolte wünschen / daß meine Furcht aus Weiblicher Schwachheit entstanden wäre; allein / ich höre solche Zeitung / darüber ich vor Angst zerspringen möchte: ach wer wil dem rasenden Volcke wiederstehen! Ist uns und unserer Familie der unglückselige Tod zu Neapolis bestirnt / und sollen wir das jenige / was andere verschuldet haben / mit unserm Blute büssen ?
","['Ich', 'wolte', 'wünschen', '/', 'daß', 'meine', 'Furcht', 'aus', 'Weiblicher', 'Schwachheit', 'entstanden', 'wäre', ';', 'allein', '/', 'ich', 'höre', 'solche', 'Zeitung', '/', 'darüber', 'ich', 'vor', 'Angst', 'zerspringen', 'möchte', ':', 'ach', 'wer', 'wil', 'dem', 'rasenden', 'Volcke', 'wiederstehen', '!', 'Ist', 'uns', 'und', 'unserer', 'Familie', 'der', 'unglückselige', 'Tod', 'zu', 'Neapolis', 'bestirnt', '/', 'und', 'sollen', 'wir', 'das', 'jenige', '/', 'was', 'andere', 'verschuldet', 'haben', '/', 'mit', 'unserm', 'Blute', 'büssen', '?']"
10,17,,,,,,,VH,positiv,4425.0,CATMA_A70441E6-9166-4864-812A-0834AAE53D34,19,Emotionen der Zuneigung,positiv,4311.0,Liebe,Nun weiß ich wohl / wie mein Stand / meine Ehre und meine inbrünstige Liebe gegen den Hertzgeliebtesten Ehegemahl ,"['Nun', 'weiß', 'ich', 'wohl', '/', 'wie', 'mein', 'Stand', '/', 'meine', 'Ehre', 'und', 'meine', 'inbrünstige', 'Liebe', 'gegen', 'den', 'Hertzgeliebtesten', 'Ehegemahl']"
