,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,0,unbekannter,,peter,,,ER,negativ,6160.0,CATMA_E6F80E58-D35D-4BBB-839F-858E97314472,2,Emotionen der Ablehnung,negativ,6154.0,Abscheu,"Narr!
","['Narr', '!']"
1,1,,,,,,ER,positiv,6520.0,CATMA_FD5C0523-048B-40E6-B0F9-D1AC34E3FBEE,16,Emotionen der Freude,positiv,6415.0,Schadenfreude,"Wie würden sie lachen, wenn sie mich
              einmal wieder zum Narren meines Herzens gemacht hätten","['Wie', 'würden', 'sie', 'lachen', ',', 'wenn', 'sie', 'mich', 'einmal', 'wieder', 'zum', 'Narren', 'meines', 'Herzens', 'gemacht', 'hätten']"
2,2,peter,,,,,ER,negativ,6958.0,CATMA_D82393CF-4592-4949-AAA7-517DB3D58B30,9,Emotionen der Ablehnung,negativ,6898.0,Abscheu,"Pfui, wer wird sich
              denn alles bezahlen lassen","['Pfui', ',', 'wer', 'wird', 'sich', 'denn', 'alles', 'bezahlen', 'lassen']"
3,3,,,,,,ER,positiv,7529.0,CATMA_947D6330-10E1-4DC0-8A8C-FFF04A9DDAA3,13,Emotionen der Freude,positiv,7443.0,Freude," Da wars mir gerade, als ob mich eine rotbackichte Bauerdirne
              kitzelte.
","['Da', 'wars', 'mir', 'gerade', ',', 'als', 'ob', 'mich', 'eine', 'rotbackichte', 'Bauerdirne', 'kitzelte', '.']"
4,7,,,,,,ER,positiv,8851.0,CATMA_1B1C944C-04B3-4F87-B1B5-62A83EE0E6E8,8,Emotionen der Freude,positiv,8814.0,Schadenfreude,Aber Madam Müller lacht den Papa aus.,"['Aber', 'Madam', 'Müller', 'lacht', 'den', 'Papa', 'aus', '.']"
5,8,peter,,,,,ER,negativ,9172.0,CATMA_657FB554-570F-4903-97C5-35A9CD046573,5,Emotionen der Angst,negativ,9140.0,Angst,denn es hatte damals geglatteist,"['denn', 'es', 'hatte', 'damals', 'geglatteist']"
6,9,peter,,,,,ER,negativ,9227.0,CATMA_1A39642C-D53D-4BCE-8BE3-D23ADFC4FB62,8,Emotionen der Ablehnung,negativ,9174.0,Abscheu,"und die
              Kinder sahen so schmutzig aus.
","['und', 'die', 'Kinder', 'sahen', 'so', 'schmutzig', 'aus', '.']"
7,11,franz,,,,,ER,negativ,9455.0,CATMA_99080169-E9D3-4D5B-AA28-5FEFE36055B4,4,Emotionen der Ablehnung,negativ,9433.0,Abscheu,"Eine sonderbare Frau.
","['Eine', 'sonderbare', 'Frau', '.']"
8,13,,,,,,ER,negativ,9828.0,CATMA_5457BC5D-68CA-4856-95C9-79DE8F113700,7,Emotionen der Ablehnung,negativ,9792.0,Ärger,"Schaff mir den Schwätzer vom Halse!
","['Schaff', 'mir', 'den', 'Schwätzer', 'vom', 'Halse', '!']"
9,14,peter,,,,,ER,positiv,9984.0,CATMA_92B88848-EB2E-445E-8E00-0893E20FC282,8,Emotionen der Freude,positiv,9953.0,Freude,Ach der Geier! Sie haben recht.,"['Ach', 'der', 'Geier', '!', 'Sie', 'haben', 'recht', '.']"
