,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,2,arsetes,,,,,,ER,negativ,2082.0,CATMA_44FABA99-D179-4256-843E-43D547A3CD00,27,Emotionen der Angst,negativ,1937.0,Verzweiflung,"Haltet ein Printzeßin, stehet still ihr verzweÿfelnde Füße, wohin Doris! Was vor Gedancken zeigen euch den Weg, zu einem so schnellen Untergang?
","['Haltet', 'ein', 'Printzeßin', ',', 'stehet', 'still', 'ihr', 'verzweÿfelnde', 'Füße', ',', 'wohin', 'Doris', '!', 'Was', 'vor', 'Gedancken', 'zeigen', 'euch', 'den', 'Weg', ',', 'zu', 'einem', 'so', 'schnellen', 'Untergang', '?']"
1,4,,arsetes,,,,,ER,negativ,2278.0,CATMA_372C6040-F3F7-4F05-B0EA-055D3BEEC43D,7,Emotionen der Angst,negativ,2244.0,Verzweiflung,"Seÿd ihr denn so gar verzweÿfelt?
","['Seÿd', 'ihr', 'denn', 'so', 'gar', 'verzweÿfelt', '?']"
2,5,,,,,,,ER,negativ,2304.0,CATMA_9BCBA8C6-05F7-486C-A082-299BC259280D,4,Emotionen der Angst,negativ,2287.0,Verzweiflung,"ch will sterben.
","['ch', 'will', 'sterben', '.']"
3,6,arsetes,,,,,,ER,negativ,2431.0,CATMA_3DF30191-46EB-4212-911E-1C566E36A88D_0,6,Emotionen der Angst,negativ,2394.0,Angst,"Verändert, verändert eure Gedancken.
","['Verändert', ',', 'verändert', 'eure', 'Gedancken', '.']"
4,7,arsetes,,,,,,ER,negativ,2502.0,CATMA_3DF30191-46EB-4212-911E-1C566E36A88D_1,6,Emotionen der Angst,negativ,2477.0,Angst,"Und der Todt noch ärger.
","['Und', 'der', 'Todt', 'noch', 'ärger', '.']"
5,8,arsetes,,,,,,ER,negativ,2613.0,CATMA_3DF30191-46EB-4212-911E-1C566E36A88D_2,10,Emotionen der Angst,negativ,2566.0,Angst,"Also reden die, so ihrer Sinnen beraubet seÿn.
","['Also', 'reden', 'die', ',', 'so', 'ihrer', 'Sinnen', 'beraubet', 'seÿn', '.']"
6,9,,,,,,,ER,negativ,2466.0,CATMA_9AD95200-86F8-4CE7-AE77-EB20B384F013_0,7,Emotionen der Angst,negativ,2439.0,Verzweiflung,Das leben ist böß vor mich.,"['Das', 'leben', 'ist', 'böß', 'vor', 'mich', '.']"
7,10,,,,,,,ER,negativ,2556.0,CATMA_9AD95200-86F8-4CE7-AE77-EB20B384F013_1,9,Emotionen der Angst,negativ,2510.0,Verzweiflung,"Es ist der Krancken Trost das leben verlaßen.
","['Es', 'ist', 'der', 'Krancken', 'Trost', 'das', 'leben', 'verlaßen', '.']"
8,11,,,,,,,ER,negativ,2646.0,CATMA_9AD95200-86F8-4CE7-AE77-EB20B384F013_2,5,Emotionen der Angst,negativ,2621.0,Verzweiflung,"Die Weisen sterben auch.
","['Die', 'Weisen', 'sterben', 'auch', '.']"
9,12,,arsetes,,,,,ER,negativ,2756.0,CATMA_E6FCFCE3-0A5C-4804-A587-D784B65CF863,5,Emotionen der Angst,negativ,2725.0,Verzweiflung,"Dieselbe ist närrisch gewesen.
","['Dieselbe', 'ist', 'närrisch', 'gewesen', '.']"
10,15,,,,,,,ER,negativ,4162.0,CATMA_AD610EA2-A33C-4A46-8F81-28754B7783A2,82,Emotionen der Angst,negativ,3713.0,Verzweiflung,"ch bin überwunden Arsetes, ich weiche und behalte mir vor, euch auf eine andere Zeit, die unglückselige Ursache zu erzehlen, welche mich zur Verzweÿfelung und zum Sterben angereitzet. Ich will noch eine Zeitlang leben, woferne die jenige leben, welche alle Augenblücke, sterben. Wann ihr mir hernach mein verzweÿfeltes Vorhaben ins Werck zu setzen, nicht vergönnen wollet, so gebet aufs wenigste zu, das ich ohne unterlaß weinen und seuffzen möge.

","['ch', 'bin', 'überwunden', 'Arsetes', ',', 'ich', 'weiche', 'und', 'behalte', 'mir', 'vor', ',', 'euch', 'auf', 'eine', 'andere', 'Zeit', ',', 'die', 'unglückselige', 'Ursache', 'zu', 'erzehlen', ',', 'welche', 'mich', 'zur', 'Verzweÿfelung', 'und', 'zum', 'Sterben', 'angereitzet', '.', 'Ich', 'will', 'noch', 'eine', 'Zeitlang', 'leben', ',', 'woferne', 'die', 'jenige', 'leben', ',', 'welche', 'alle', 'Augenblücke', ',', 'sterben', '.', 'Wann', 'ihr', 'mir', 'hernach', 'mein', 'verzweÿfeltes', 'Vorhaben', 'ins', 'Werck', 'zu', 'setzen', ',', 'nicht', 'vergönnen', 'wollet', ',', 'so', 'gebet', 'aufs', 'wenigste', 'zu', ',', 'das', 'ich', 'ohne', 'unterlaß', 'weinen', 'und', 'seuffzen', 'möge', '.']"
11,16,,,,,,,ER,negativ,4765.0,CATMA_9B88E33C-D00E-4DF7-B355-59E43414F423_0,44,Emotionen des Leids,negativ,4536.0,Leid,"Waß vor einen Fehler habe ich armer Golo in meiner Jugend begangen, indem ich mich weit von meinen Vaterlandt in Dienstbarkeit gebracht habe. Ach meines großen Elends! Ich bin am hoff, leÿde täglich Straffe, und weiß nicht warum.","['Waß', 'vor', 'einen', 'Fehler', 'habe', 'ich', 'armer', 'Golo', 'in', 'meiner', 'Jugend', 'begangen', ',', 'indem', 'ich', 'mich', 'weit', 'von', 'meinen', 'Vaterlandt', 'in', 'Dienstbarkeit', 'gebracht', 'habe', '.', 'Ach', 'meines', 'großen', 'Elends', '!', 'Ich', 'bin', 'am', 'hoff', ',', 'leÿde', 'täglich', 'Straffe', ',', 'und', 'weiß', 'nicht', 'warum', '.']"
12,17,,,,,,,ER,negativ,5758.0,CATMA_9B88E33C-D00E-4DF7-B355-59E43414F423_1,195,Emotionen des Leids,negativ,4781.0,Leid," hast Ursache genug, dann mein eigen böses Gewißen hat mich zur Buße gerißen. Es ist eine große Plage an königlichen Höffen. Keine Freÿheit haben, und der hat den Teuffel am Halße der nicht zu streicheln und zu geben weiß. Ich kan indeß sagen, der Hoff ist ein Meer, voll von bittern Waßer der Dienstbarkeit. Hätte ich nicht ein so schwehres Gewißen, gleichwie es beÿ Hoffe der Gebrauch ist, ich wolte das Glück anklagen, daß es mir unrecht thue. Ich were sonst ein guter Narr, wann ich nur nicht ein gebundener Narr seÿn müste, ich fiele in Verzweÿffelung, wann ich nicht auch etliche Hoffgriffe wüste. Ich sehe, daß an den Höfen ein jeder sein Handwerck hat, aber ins gemein pflegt man denen Frembden Kappen zu schneiden; ich kan auch denen leuten übel nachreden, und sie stattlich zur Banck hauen, so einen Fehler begehen, über dieß Spiehle ich in den Ball Hauße, schieße nach dem Ziehl, und ob ich schon schändlich von Gesicht bin, so hab ich doch einen schönen Verstandt.
","['hast', 'Ursache', 'genug', ',', 'dann', 'mein', 'eigen', 'böses', 'Gewißen', 'hat', 'mich', 'zur', 'Buße', 'gerißen', '.', 'Es', 'ist', 'eine', 'große', 'Plage', 'an', 'königlichen', 'Höffen', '.', 'Keine', 'Freÿheit', 'haben', ',', 'und', 'der', 'hat', 'den', 'Teuffel', 'am', 'Halße', 'der', 'nicht', 'zu', 'streicheln', 'und', 'zu', 'geben', 'weiß', '.', 'Ich', 'kan', 'indeß', 'sagen', ',', 'der', 'Hoff', 'ist', 'ein', 'Meer', ',', 'voll', 'von', 'bittern', 'Waßer', 'der', 'Dienstbarkeit', '.', 'Hätte', 'ich', 'nicht', 'ein', 'so', 'schwehres', 'Gewißen', ',', 'gleichwie', 'es', 'beÿ', 'Hoffe', 'der', 'Gebrauch', 'ist', ',', 'ich', 'wolte', 'das', 'Glück', 'anklagen', ',', 'daß', 'es', 'mir', 'unrecht', 'thue', '.', 'Ich', 'were', 'sonst', 'ein', 'guter', 'Narr', ',', 'wann', 'ich', 'nur', 'nicht', 'ein', 'gebundener', 'Narr', 'seÿn', 'müste', ',', 'ich', 'fiele', 'in', 'Verzweÿffelung', ',', 'wann', 'ich', 'nicht', 'auch', 'etliche', 'Hoffgriffe', 'wüste', '.', 'Ich', 'sehe', ',', 'daß', 'an', 'den', 'Höfen', 'ein', 'jeder', 'sein', 'Handwerck', 'hat', ',', 'aber', 'ins', 'gemein', 'pflegt', 'man', 'denen', 'Frembden', 'Kappen', 'zu', 'schneiden', ';', 'ich', 'kan', 'auch', 'denen', 'leuten', 'übel', 'nachreden', ',', 'und', 'sie', 'stattlich', 'zur', 'Banck', 'hauen', ',', 'so', 'einen', 'Fehler', 'begehen', ',', 'über', 'dieß', 'Spiehle', 'ich', 'in', 'den', 'Ball', 'Hauße', ',', 'schieße', 'nach', 'dem', 'Ziehl', ',', 'und', 'ob', 'ich', 'schon', 'schändlich', 'von', 'Gesicht', 'bin', ',', 'so', 'hab', 'ich', 'doch', 'einen', 'schönen', 'Verstandt', '.']"
13,19,,,,,,,ER,negativ,5758.0,CATMA_04AC8159-428F-4B6F-9B20-76AF489BD65D_1,75,Emotionen der Ablehnung,negativ,5385.0,Abscheu,"Ich sehe, daß an den Höfen ein jeder sein Handwerck hat, aber ins gemein pflegt man denen Frembden Kappen zu schneiden; ich kan auch denen leuten übel nachreden, und sie stattlich zur Banck hauen, so einen Fehler begehen, über dieß Spiehle ich in den Ball Hauße, schieße nach dem Ziehl, und ob ich schon schändlich von Gesicht bin, so hab ich doch einen schönen Verstandt.
","['Ich', 'sehe', ',', 'daß', 'an', 'den', 'Höfen', 'ein', 'jeder', 'sein', 'Handwerck', 'hat', ',', 'aber', 'ins', 'gemein', 'pflegt', 'man', 'denen', 'Frembden', 'Kappen', 'zu', 'schneiden', ';', 'ich', 'kan', 'auch', 'denen', 'leuten', 'übel', 'nachreden', ',', 'und', 'sie', 'stattlich', 'zur', 'Banck', 'hauen', ',', 'so', 'einen', 'Fehler', 'begehen', ',', 'über', 'dieß', 'Spiehle', 'ich', 'in', 'den', 'Ball', 'Hauße', ',', 'schieße', 'nach', 'dem', 'Ziehl', ',', 'und', 'ob', 'ich', 'schon', 'schändlich', 'von', 'Gesicht', 'bin', ',', 'so', 'hab', 'ich', 'doch', 'einen', 'schönen', 'Verstandt', '.']"
14,24,,,,,,,ER,negativ,6341.0,CATMA_8730B9E3-A341-4564-A160-6DCF3B4C309E_1,16,Emotionen der Ablehnung,negativ,6265.0,Abscheu,"denn über dieß, daß du halb blind bist, bistu auch deines Gehöres beraubet.
","['denn', 'über', 'dieß', ',', 'daß', 'du', 'halb', 'blind', 'bist', ',', 'bistu', 'auch', 'deines', 'Gehöres', 'beraubet', '.']"
15,30,,,,,,,ER,negativ,7352.0,CATMA_4D93E204-C0F2-4018-B3AB-6D7494E71CA1,112,Emotionen der Ablehnung,negativ,6782.0,Abscheu,"In was solte man sich doch verlieben? deine Augen seÿnd dunckel; deine Stürne Runtzelicht, deine Nase triefft ohn unterlaß, dein Athem stincket, deine Zähne, so du noch etliche hast  seÿnd nur vor 50 Jahren weiß gewest, deine Hände zittern, deine Beine wacklen, und dein gantzer Leib ist nichts nutz; wolte sich jemand über deine Haare verwundern, so verwundere er sich lieber über den Reiff, dann sie haben einerleÿ Farb mit einander; und kürtzlich zu sagen, ich traue dir nicht, du bist betrügerisch, geil, häßlich und schändlich. Drum habe ich einen Abscheu vor dir.
","['In', 'was', 'solte', 'man', 'sich', 'doch', 'verlieben', '?', 'deine', 'Augen', 'seÿnd', 'dunckel', ';', 'deine', 'Stürne', 'Runtzelicht', ',', 'deine', 'Nase', 'triefft', 'ohn', 'unterlaß', ',', 'dein', 'Athem', 'stincket', ',', 'deine', 'Zähne', ',', 'so', 'du', 'noch', 'etliche', 'hast', 'seÿnd', 'nur', 'vor', '50', 'Jahren', 'weiß', 'gewest', ',', 'deine', 'Hände', 'zittern', ',', 'deine', 'Beine', 'wacklen', ',', 'und', 'dein', 'gantzer', 'Leib', 'ist', 'nichts', 'nutz', ';', 'wolte', 'sich', 'jemand', 'über', 'deine', 'Haare', 'verwundern', ',', 'so', 'verwundere', 'er', 'sich', 'lieber', 'über', 'den', 'Reiff', ',', 'dann', 'sie', 'haben', 'einerleÿ', 'Farb', 'mit', 'einander', ';', 'und', 'kürtzlich', 'zu', 'sagen', ',', 'ich', 'traue', 'dir', 'nicht', ',', 'du', 'bist', 'betrügerisch', ',', 'geil', ',', 'häßlich', 'und', 'schändlich', '.', 'Drum', 'habe', 'ich', 'einen', 'Abscheu', 'vor', 'dir', '.']"
