,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,0,,unbekannt,,,,LS,negativ,2419.0,CATMA_E4D56824-B431-4B41-8E8D-DF0BA9C8A5EC,17,Emotionen des Leids,negativ,2328.0,Leid,"Ihr naht euch wieder, schwankende Gestalten,
Die früh sich einst dem trüben Blick gezeigt.
","['Ihr', 'naht', 'euch', 'wieder', ',', 'schwankende', 'Gestalten', ',', 'Die', 'früh', 'sich', 'einst', 'dem', 'trüben', 'Blick', 'gezeigt', '.']"
1,2,unpersönlich,,,,,LS,negativ,3036.0,CATMA_8E597BE6-B96A-4E95-878D-01B1010E9841,33,Emotionen des Leids,negativ,2862.0,Leid,"Der Schmerz wird neu, es wiederholt die Klage
Des Lebens labyrinthisch irren Lauf,
Und nennt die Guten, die, um schöne Stunden
Vom Glück getäuscht, vor mir hinweggeschwunden.","['Der', 'Schmerz', 'wird', 'neu', ',', 'es', 'wiederholt', 'die', 'Klage', 'Des', 'Lebens', 'labyrinthisch', 'irren', 'Lauf', ',', 'Und', 'nennt', 'die', 'Guten', ',', 'die', ',', 'um', 'schöne', 'Stunden', 'Vom', 'Glück', 'getäuscht', ',', 'vor', 'mir', 'hinweggeschwunden', '.']"
2,4,unbekannt,,,,,LS,negativ,3372.0,CATMA_18B5518D-22B4-4BD1-8B43-A816633E5B0D,35,Emotionen der Angst,negativ,3195.0,Angst,"Mein Lied ertönt der unbekannten Menge,
Ihr Beifall selbst macht meinem Herzen bang,
Und was sich sonst an meinem Lied erfreuet,
Wenn es noch lebt, irrt in der Welt zerstreuet.
","['Mein', 'Lied', 'ertönt', 'der', 'unbekannten', 'Menge', ',', 'Ihr', 'Beifall', 'selbst', 'macht', 'meinem', 'Herzen', 'bang', ',', 'Und', 'was', 'sich', 'sonst', 'an', 'meinem', 'Lied', 'erfreuet', ',', 'Wenn', 'es', 'noch', 'lebt', ',', 'irrt', 'in', 'der', 'Welt', 'zerstreuet', '.']"
3,5,unbekannt,,,,,LS,positiv,3324.0,CATMA_7ECAD5ED-0ECA-46E6-893F-F821FAD19488,9,Emotionen der Freude,positiv,3280.0,Freude,"Und was sich sonst an meinem Lied erfreuet,
","['Und', 'was', 'sich', 'sonst', 'an', 'meinem', 'Lied', 'erfreuet', ',']"
4,6,unbekannt,,,,,LS,negativ,3372.0,CATMA_D3FC5B12-D815-43CA-8B83-574950A5AB6E,11,Emotionen des Leids,negativ,3324.0,Leid,"Wenn es noch lebt, irrt in der Welt zerstreuet.
","['Wenn', 'es', 'noch', 'lebt', ',', 'irrt', 'in', 'der', 'Welt', 'zerstreuet', '.']"
5,7,,,,,,LS,negativ,3726.0,CATMA_9962E9B6-CF71-43A3-B176-B115BD7F66C3,41,Emotionen des Leids,negativ,3542.0,Leid,"Ein Schauer faßt mich, Träne folgt den Tränen,
Das strenge Herz, es fühlt sich mild und weich;
Was ich besitze, seh' ich wie im Weiten,
Und was verschwand, wird mir zu Wirklichkeiten.
","['Ein', 'Schauer', 'faßt', 'mich', ',', 'Träne', 'folgt', 'den', 'Tränen', ',', 'Das', 'strenge', 'Herz', ',', 'es', 'fühlt', 'sich', 'mild', 'und', 'weich', ';', 'Was', 'ich', 'besitze', ',', 'seh', ""'"", 'ich', 'wie', 'im', 'Weiten', ',', 'Und', 'was', 'verschwand', ',', 'wird', 'mir', 'zu', 'Wirklichkeiten', '.']"
6,9,,direktor,,,,LS,positiv,4105.0,CATMA_42B49128-3CD9-436E-9ACC-E5E397D17560,15,Emotionen der Freude,positiv,4022.0,Freude,"Die Pfosten sind, die Bretter aufgeschlagen,
Und jedermann erwartet sich ein Fest.
","['Die', 'Pfosten', 'sind', ',', 'die', 'Bretter', 'aufgeschlagen', ',', 'Und', 'jedermann', 'erwartet', 'sich', 'ein', 'Fest', '.']"
7,11,,,,,,LS,negativ,5027.0,CATMA_357D9124-6078-4573-A2CE-58DF2569F85A,31,Emotionen der Angst,negativ,4866.0,Angst,"O sprich mir nicht von jener bunten Menge,
Bei deren Anblick uns der Geist entflieht.
Verhülle mir das wogende Gedränge,
Das wider Willen uns zum Strudel zieht.
","['O', 'sprich', 'mir', 'nicht', 'von', 'jener', 'bunten', 'Menge', ',', 'Bei', 'deren', 'Anblick', 'uns', 'der', 'Geist', 'entflieht', '.', 'Verhülle', 'mir', 'das', 'wogende', 'Gedränge', ',', 'Das', 'wider', 'Willen', 'uns', 'zum', 'Strudel', 'zieht', '.']"
8,14,unbekannt,dichter,,,,LS,positiv,5542.0,CATMA_6F40108D-2E6E-4E62-85E7-79A3D46851EC,16,Emotionen der Freude,positiv,5456.0,Freude,"Was glänzt, ist für den Augenblick geboren,
Das Echte bleibt der Nachwelt unverloren.
","['Was', 'glänzt', ',', 'ist', 'für', 'den', 'Augenblick', 'geboren', ',', 'Das', 'Echte', 'bleibt', 'der', 'Nachwelt', 'unverloren', '.']"
9,15,,lustige_person,,,,LS,negativ,5880.0,CATMA_579FACAE-38A1-485E-8525-AA22399FFEC4,14,Emotionen der Ablehnung,negativ,5800.0,Ärger,"Wer sich behaglich mitzuteilen weiß,
Den wird des Volkes Laune nicht erbittern;
","['Wer', 'sich', 'behaglich', 'mitzuteilen', 'weiß', ',', 'Den', 'wird', 'des', 'Volkes', 'Laune', 'nicht', 'erbittern', ';']"
10,16,unpersönlich,direktor,,,,LS,positiv,6379.0,CATMA_37A12D36-2B34-48F0-972C-24B90416A1D2,15,Emotionen der Zuneigung,positiv,6303.0,Verehrung,"Da habt Ihr in der Breite gleich gewonnen,
Ihr seid ein vielgeliebter Mann.
","['Da', 'habt', 'Ihr', 'in', 'der', 'Breite', 'gleich', 'gewonnen', ',', 'Ihr', 'seid', 'ein', 'vielgeliebter', 'Mann', '.']"
11,17,,direktor,,,,LS,positiv,6555.0,CATMA_BBA7AFAC-654C-436C-BDEA-B1BFB738469C,17,Emotionen der Freude,positiv,6469.0,Freude,"Wer vieles bringt, wird manchem etwas bringen;
Und jeder geht zufrieden aus dem Haus.
","['Wer', 'vieles', 'bringt', ',', 'wird', 'manchem', 'etwas', 'bringen', ';', 'Und', 'jeder', 'geht', 'zufrieden', 'aus', 'dem', 'Haus', '.']"
12,18,,direktor,,,,LS,negativ,6785.0,CATMA_E72684A9-F703-43D5-947B-E690B6B1163B,18,Emotionen der Ablehnung,negativ,6695.0,Ärger,"Was hilft's, wenn Ihr ein Ganzes dargebracht,
Das Publikum wird es Euch doch zerpflücken.
","['Was', 'hilft', ""'s"", ',', 'wenn', 'Ihr', 'ein', 'Ganzes', 'dargebracht', ',', 'Das', 'Publikum', 'wird', 'es', 'Euch', 'doch', 'zerpflücken', '.']"
