,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,0,miller,impliziter Autor,,,,LS,Emotionale Bewegtheit,1611.0,CATMA_53DE28C4-2B7F-44F8-8BB0-10AB8479A5E1,6,Emotionale Bewegtheit,Emotionale Bewegtheit,1584.0,Emotionale Bewegtheit,"schnell auf und ab gehend.
","['schnell', 'auf', 'und', 'ab', 'gehend', '.']"
1,1,,,,,,LS,Emotionale Bewegtheit,1833.0,CATMA_B8A9FC7E-2870-4460-841C-CA151A23DD17,40,Emotionale Bewegtheit,Emotionale Bewegtheit,1611.0,Emotionale Bewegtheit,"Einmal für allemal. Der Handel wird ernsthaft. Meine Tochter kommt mit dem Baron ins
              Geschrei. Mein Haus wird verrufen. Der Präsident bekommt Wind, und – kurz und gut, ich
              biete dem Junker aus.
","['Einmal', 'für', 'allemal', '.', 'Der', 'Handel', 'wird', 'ernsthaft', '.', 'Meine', 'Tochter', 'kommt', 'mit', 'dem', 'Baron', 'ins', 'Geschrei', '.', 'Mein', 'Haus', 'wird', 'verrufen', '.', 'Der', 'Präsident', 'bekommt', 'Wind', ',', 'und', '–', 'kurz', 'und', 'gut', ',', 'ich', 'biete', 'dem', 'Junker', 'aus', '.']"
2,4,,,,,,LS,Emotionale Bewegtheit,3517.0,CATMA_1094EDB4-F2CF-4ABE-9019-FC5C60AA96F2_1,3,Emotionale Bewegtheit,Emotionale Bewegtheit,3501.0,Emotionale Bewegtheit,"Jesus Christus!
","['Jesus', 'Christus', '!']"
3,5,millerin,,,,,LS,Emotionale Bewegtheit,3550.0,CATMA_96E4D7E6-049D-4DB3-B802-28E80F639A3E,6,Emotionale Bewegtheit,Emotionale Bewegtheit,3524.0,Emotionale Bewegtheit,"Gott behüt uns in Gnaden!
","['Gott', 'behüt', 'uns', 'in', 'Gnaden', '!']"
4,11,,,,Zustand,,LS,negativ,6260.0,CATMA_4E03F55D-2795-445D-8119-50D1750B2CA0_1,32,Emotionen der Ablehnung,negativ,6088.0,Ärger,"Gleich muß
              die Pastete auf den Herd, und dem Major – ja ja dem Major will ich weisen, wo Meister
              Zimmermann das Loch gemacht hat. Er will fort.
","['Gleich', 'muß', 'die', 'Pastete', 'auf', 'den', 'Herd', ',', 'und', 'dem', 'Major', '–', 'ja', 'ja', 'dem', 'Major', 'will', 'ich', 'weisen', ',', 'wo', 'Meister', 'Zimmermann', 'das', 'Loch', 'gemacht', 'hat', '.', 'Er', 'will', 'fort', '.']"
5,12,millerin,,,,,LS,positiv,6348.0,CATMA_4D1FF033-4C4E-494C-9F98-81E0A39707D1,16,Emotionen der Freude,positiv,6268.0,Freude,"Sei artig, Miller. Wie manchen schönen Groschen haben uns nur die Präsenter – –
","['Sei', 'artig', ',', 'Miller', '.', 'Wie', 'manchen', 'schönen', 'Groschen', 'haben', 'uns', 'nur', 'die', 'Präsenter', '–', '–']"
6,14,,millerin,,,,LS,negativ,7217.0,CATMA_000A90DE-549E-4552-A74B-CB2C8E1E1E53,11,Emotionen der Ablehnung,negativ,7147.0,Ärger,"Wie du doch den Augenblick in Feuer und
              Flammen stehst! ","['Wie', 'du', 'doch', 'den', 'Augenblick', 'in', 'Feuer', 'und', 'Flammen', 'stehst', '!']"
7,16,miller,impliziter Autor,,,,LS,negativ,8861.0,CATMA_10391A0E-6B29-43CA-8BDD-D07FA6322BD1,8,Emotionen der Ablehnung,negativ,8821.0,Ärger,"ärgerlich, stößt sie mit dem Ellnbogen.
","['ärgerlich', ',', 'stößt', 'sie', 'mit', 'dem', 'Ellnbogen', '.']"
8,17,miller,,,,,LS,negativ,8867.0,CATMA_51F0E57E-411A-4E17-BBEF-910EE09DE4DE,2,Emotionen der Ablehnung,negativ,8861.0,Ärger,"Weib!
","['Weib', '!']"
9,19,miller,,,,,LS,negativ,9229.0,CATMA_801B9847-4707-443F-9BC1-004EFDB6F6B1,2,Emotionen der Ablehnung,negativ,9223.0,Ärger,"Weib!
","['Weib', '!']"
