,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,1,,,,,,LS,negativ,1518.0,CATMA_F3C12DB9-ADB9-45C2-92D2-07FB5ECEE45A,7,Emotionen des Leids,negativ,1488.0,Mitleid,"Papa, warum bedauern Sie mich?","['Papa', ',', 'warum', 'bedauern', 'Sie', 'mich', '?']"
1,2,lottchen,,,,,LS,positiv,1912.0,CATMA_7AC265D5-7B8B-42AD-884C-7E074C816EA9,39,Emotionen der Zuneigung,positiv,1669.0,Verehrung,"Ein
              Mann, der so vernünftig, so reich und so galant ist als Herr Damis und doch ein armes
              Frauenzimmer heiratet, kann in seiner Wahl mit Recht auf diejenige sehen, die die
              meisten Annehmlichkeiten hat.","['Ein', 'Mann', ',', 'der', 'so', 'vernünftig', ',', 'so', 'reich', 'und', 'so', 'galant', 'ist', 'als', 'Herr', 'Damis', 'und', 'doch', 'ein', 'armes', 'Frauenzimmer', 'heiratet', ',', 'kann', 'in', 'seiner', 'Wahl', 'mit', 'Recht', 'auf', 'diejenige', 'sehen', ',', 'die', 'die', 'meisten', 'Annehmlichkeiten', 'hat', '.']"
2,3,,,,,,LS,positiv,2087.0,CATMA_9CF581A6-BB92-4EB0-AF07-473F57611C86,25,Emotionen der Freude,positiv,1913.0,Freude,"Ich mache mir eine Ehre daraus, mich an dem günstigen
              Schicksale meiner Schwester aufrichtig zu vergnügen und mit dem meinigen zufrieden zu
              sein.
","['Ich', 'mache', 'mir', 'eine', 'Ehre', 'daraus', ',', 'mich', 'an', 'dem', 'günstigen', 'Schicksale', 'meiner', 'Schwester', 'aufrichtig', 'zu', 'vergnügen', 'und', 'mit', 'dem', 'meinigen', 'zufrieden', 'zu', 'sein', '.']"
3,4,,,,,,LS,positiv,2243.0,CATMA_53B3554E-890D-4038-8A83-FDBE5BD01187_0,29,Emotionen der Zuneigung,positiv,2095.0,Verehrung,"Kind, wenn das alles dein Ernst ist: so verdienst du zehn Männer. Du redst fast so
              klug als dein Bruder und hast doch nicht studiert.
","['Kind', ',', 'wenn', 'das', 'alles', 'dein', 'Ernst', 'ist', ':', 'so', 'verdienst', 'du', 'zehn', 'Männer', '.', 'Du', 'redst', 'fast', 'so', 'klug', 'als', 'dein', 'Bruder', 'und', 'hast', 'doch', 'nicht', 'studiert', '.']"
4,5,,,,,,LS,positiv,2552.0,CATMA_53B3554E-890D-4038-8A83-FDBE5BD01187_1,30,Emotionen der Zuneigung,positiv,2413.0,Verehrung,"Nun, nun, ich muß wissen, was an dir ist. Du hast ein Herz, dessen sich die Tugend
              selbst nicht schämen dürfte. Höre nur ...
","['Nun', ',', 'nun', ',', 'ich', 'muß', 'wissen', ',', 'was', 'an', 'dir', 'ist', '.', 'Du', 'hast', 'ein', 'Herz', ',', 'dessen', 'sich', 'die', 'Tugend', 'selbst', 'nicht', 'schämen', 'dürfte', '.', 'Höre', 'nur', '...']"
5,7,,,,,,LS,negativ,2725.0,CATMA_8DD7D517-3929-46E9-BE37-E5C8BA15D2B7,31,Emotionen des Leids,negativ,2563.0,Leid,"Oh, mein Gott, wie demütigen Sie mich! Ein Lobspruch, den ich mir wegen meiner Größe
              nicht zueignen kann, tut mir weher als ein verdienter Verweis.
","['Oh', ',', 'mein', 'Gott', ',', 'wie', 'demütigen', 'Sie', 'mich', '!', 'Ein', 'Lobspruch', ',', 'den', 'ich', 'mir', 'wegen', 'meiner', 'Größe', 'nicht', 'zueignen', 'kann', ',', 'tut', 'mir', 'weher', 'als', 'ein', 'verdienter', 'Verweis', '.']"
6,8,cleon,,,,,LS,positiv,3070.0,CATMA_F5778FF7-5D6D-4B24-A669-2872913FFA2C,16,Emotionen der Zuneigung,positiv,2975.0,Verehrung,"Höre nur, du bist verständiger als
              deine Schwester, wenn jene gleich schöner ist.","['Höre', 'nur', ',', 'du', 'bist', 'verständiger', 'als', 'deine', 'Schwester', ',', 'wenn', 'jene', 'gleich', 'schöner', 'ist', '.']"
7,11,,,,,,LS,negativ,3749.0,CATMA_866FB290-9543-4050-B3B8-644AF4C62B7D_1,20,Emotionen des Leids,negativ,3634.0,Leid,"Sage Julchen, daß ich nicht ruhig sterben würde, wenn
              ich sie nicht bei meinem Leben versorgt wüßte.
","['Sage', 'Julchen', ',', 'daß', 'ich', 'nicht', 'ruhig', 'sterben', 'würde', ',', 'wenn', 'ich', 'sie', 'nicht', 'bei', 'meinem', 'Leben', 'versorgt', 'wüßte', '.']"
8,12,,lottchen,,,,LS,positiv,4005.0,CATMA_68E1AE28-4850-4BB4-B878-2D276ED758A1,21,Emotionen der Zuneigung,positiv,3874.0,Liebe,"Julchen hat Ursachen genug in ihrem eigenen Herzen und in dem Werte
              ihres Geliebten, die sie zur Liebe bewegen können","['Julchen', 'hat', 'Ursachen', 'genug', 'in', 'ihrem', 'eigenen', 'Herzen', 'und', 'in', 'dem', 'Werte', 'ihres', 'Geliebten', ',', 'die', 'sie', 'zur', 'Liebe', 'bewegen', 'können']"
9,13,lottchen,cleon,,,,LS,positiv,4319.0,CATMA_02E8C1E7-A403-4E98-818D-99CE59218AF8,16,Emotionen der Zuneigung,positiv,4220.0,Verehrung,"Rühme den Herrn Damis. Sage
              Julchen, daß er funfzigtausend Taler bares Geld hätte und","['Rühme', 'den', 'Herrn', 'Damis', '.', 'Sage', 'Julchen', ',', 'daß', 'er', 'funfzigtausend', 'Taler', 'bares', 'Geld', 'hätte', 'und']"
10,16,,,,,,LS,negativ,4712.0,CATMA_5C301320-FFA3-4337-9871-AFF4E7F4E239,30,Emotionen des Leids,negativ,4549.0,Leid,"Der Himmel weiß, daß ich bloß deswegen betrübt bin, weil Sie mein Herz für so niedrig
              halten, daß es meiner Schwester ihr Glück nicht gönnen sollte. ","['Der', 'Himmel', 'weiß', ',', 'daß', 'ich', 'bloß', 'deswegen', 'betrübt', 'bin', ',', 'weil', 'Sie', 'mein', 'Herz', 'für', 'so', 'niedrig', 'halten', ',', 'daß', 'es', 'meiner', 'Schwester', 'ihr', 'Glück', 'nicht', 'gönnen', 'sollte', '.']"
11,18,,cleon,,,,LS,negativ,5497.0,CATMA_63AB5A5C-8BE2-41ED-A4D4-108435C6FCFE,30,Emotionen des Leids,negativ,5297.0,Leid,"dein Siegmund, dein guter Freund, oder wenn du es lieber hörst, dein Liebhaber,
              ist freilich durch den unglückseligen Prozeß seines seligen Vaters um sein Vermögen
              gekommen","['dein', 'Siegmund', ',', 'dein', 'guter', 'Freund', ',', 'oder', 'wenn', 'du', 'es', 'lieber', 'hörst', ',', 'dein', 'Liebhaber', ',', 'ist', 'freilich', 'durch', 'den', 'unglückseligen', 'Prozeß', 'seines', 'seligen', 'Vaters', 'um', 'sein', 'Vermögen', 'gekommen']"
12,19,lottchen,,cleon,,,LS,positiv,5587.0,CATMA_E1EC3C87-14D5-4845-85A4-06393EC05113,15,Emotionen der Freude,positiv,5499.0,Freude,"aber er hat etwas gelernt und wird sein Glück und das deine gewiß
              machen.
","['aber', 'er', 'hat', 'etwas', 'gelernt', 'und', 'wird', 'sein', 'Glück', 'und', 'das', 'deine', 'gewiß', 'machen', '.']"
13,20,,,,,,LS,positiv,6077.0,CATMA_70833D7F-AB2D-42FA-AAD7-340CFA5EE10C,83,Emotionen der Zuneigung,positiv,5598.0,Liebe,"Ach lieber Papa, Herr Siegmund ist mir itzt noch ebenso schätzbar als vor einem
              Jahre, da er viel Vermögen hatte. Ich  weiß, daß Sie unsere Liebe
              billigen. Ich will für die Verdienste einer Frau sorgen, er wird schon auf die Ruhe
              derselben bedacht sein. Er hat so viel Vorzüge in meinen Augen, daß er sich keine
              Untreue von mir befürchten darf, und wenn ich auch noch zehn Jahre auf seine Hand
              warten sollte. ","['Ach', 'lieber', 'Papa', ',', 'Herr', 'Siegmund', 'ist', 'mir', 'itzt', 'noch', 'ebenso', 'schätzbar', 'als', 'vor', 'einem', 'Jahre', ',', 'da', 'er', 'viel', 'Vermögen', 'hatte', '.', 'Ich', 'weiß', ',', 'daß', 'Sie', 'unsere', 'Liebe', 'billigen', '.', 'Ich', 'will', 'für', 'die', 'Verdienste', 'einer', 'Frau', 'sorgen', ',', 'er', 'wird', 'schon', 'auf', 'die', 'Ruhe', 'derselben', 'bedacht', 'sein', '.', 'Er', 'hat', 'so', 'viel', 'Vorzüge', 'in', 'meinen', 'Augen', ',', 'daß', 'er', 'sich', 'keine', 'Untreue', 'von', 'mir', 'befürchten', 'darf', ',', 'und', 'wenn', 'ich', 'auch', 'noch', 'zehn', 'Jahre', 'auf', 'seine', 'Hand', 'warten', 'sollte', '.']"
14,22,,cleon,,,,LS,positiv,6775.0,CATMA_D7FFFEDE-5628-4AC9-AC49-EE4B0D49728A,8,Emotionen der Zuneigung,positiv,6737.0,Liebe,"Also hast du ihn recht herzlich lieb?
","['Also', 'hast', 'du', 'ihn', 'recht', 'herzlich', 'lieb', '?']"
15,23,,,,,,LS,positiv,6999.0,CATMA_5BA71A22-EB08-464A-BD57-876D784B7D33_0,39,Emotionen der Zuneigung,positiv,6786.0,Liebe,"Ja, Papa, so lieb, daß, wenn ich die Wahl hätte, ob ich ihn mit einem geringen
              Auskommen oder den Vornehmsten mit allem Überflusse zum Manne haben wollte, ich ihn
              allemal wählen würde.
","['Ja', ',', 'Papa', ',', 'so', 'lieb', ',', 'daß', ',', 'wenn', 'ich', 'die', 'Wahl', 'hätte', ',', 'ob', 'ich', 'ihn', 'mit', 'einem', 'geringen', 'Auskommen', 'oder', 'den', 'Vornehmsten', 'mit', 'allem', 'Überflusse', 'zum', 'Manne', 'haben', 'wollte', ',', 'ich', 'ihn', 'allemal', 'wählen', 'würde', '.']"
16,24,,,,,,LS,positiv,7341.0,CATMA_5BA71A22-EB08-464A-BD57-876D784B7D33_1,37,Emotionen der Zuneigung,positiv,7118.0,Liebe,"Ich würde unruhig sein, wenn ich nicht so zärtlich
              liebte, denn dies ist es alles, wodurch ich die Zuneigung belohnen kann, die mir Herr
              Siegmund vor so vielen andern Frauenzimmern geschenkt hat.","['Ich', 'würde', 'unruhig', 'sein', ',', 'wenn', 'ich', 'nicht', 'so', 'zärtlich', 'liebte', ',', 'denn', 'dies', 'ist', 'es', 'alles', ',', 'wodurch', 'ich', 'die', 'Zuneigung', 'belohnen', 'kann', ',', 'die', 'mir', 'Herr', 'Siegmund', 'vor', 'so', 'vielen', 'andern', 'Frauenzimmern', 'geschenkt', 'hat', '.']"
17,26,,,,,,LS,positiv,7583.0,CATMA_4429FBEE-92DF-4449-B89C-B2D0ABDE6344,40,Emotionen der Zuneigung,positiv,7342.0,Liebe,"Bedenken Sie nur, ich bin
              nicht schön, nicht reich, ich habe sonst keine Vorzüge als meine Unschuld, und er
              liebt mich doch so vollkommen, als wenn ich die liebenswürdigste Person von der Welt
              wäre.
","['Bedenken', 'Sie', 'nur', ',', 'ich', 'bin', 'nicht', 'schön', ',', 'nicht', 'reich', ',', 'ich', 'habe', 'sonst', 'keine', 'Vorzüge', 'als', 'meine', 'Unschuld', ',', 'und', 'er', 'liebt', 'mich', 'doch', 'so', 'vollkommen', ',', 'als', 'wenn', 'ich', 'die', 'liebenswürdigste', 'Person', 'von', 'der', 'Welt', 'wäre', '.']"
18,27,,cleon,,,,LS,positiv,7657.0,CATMA_CC6EB4B5-BE76-4CBE-B998-B4005E2EAFDF,15,Emotionen der Zuneigung,positiv,7591.0,Liebe,"Aber sagst du's ihm denn selbst, daß du ihn so ausnehmend liebst?
","['Aber', 'sagst', 'du', ""'s"", 'ihm', 'denn', 'selbst', ',', 'daß', 'du', 'ihn', 'so', 'ausnehmend', 'liebst', '?']"
19,28,,,,,,LS,positiv,7813.0,CATMA_906671A1-2AA1-4DAB-803A-EA89047DF7F9,16,Emotionen der Zuneigung,positiv,7714.0,Verehrung,"Er ist so bescheiden, daß er kein
              ordentliches Bekenntnis der Liebe von mir verlangt.","['Er', 'ist', 'so', 'bescheiden', ',', 'daß', 'er', 'kein', 'ordentliches', 'Bekenntnis', 'der', 'Liebe', 'von', 'mir', 'verlangt', '.']"
20,29,,,,,,LS,positiv,8251.0,CATMA_188503A1-95AC-49D2-ABD4-54AB579A4953,11,Emotionen der Freude,positiv,8174.0,Freude,"Ich habe in meinem Leben nichts
              Vorteilhafters für mich gehört.","['Ich', 'habe', 'in', 'meinem', 'Leben', 'nichts', 'Vorteilhafters', 'für', 'mich', 'gehört', '.']"
21,31,,,,,,LS,positiv,8754.0,CATMA_0DA7B96A-67D8-480B-90E2-A481ED8F5570,3,Emotionen der Zuneigung,positiv,8741.0,Liebe,Ich liebe Sie,"['Ich', 'liebe', 'Sie']"
22,33,,cleon,,,,LS,Emotionale Bewegtheit,9197.0,CATMA_75C7FD86-B3AC-4FFE-8B48-1B67C445D359,7,Emotionale Bewegtheit,Emotionale Bewegtheit,9160.0,Emotionale Bewegtheit,"Sie sind ganz bestürzt, Herr Siegmund","['Sie', 'sind', 'ganz', 'bestürzt', ',', 'Herr', 'Siegmund']"
23,34,,,,,,LS,positiv,9631.0,CATMA_1597F047-7D29-43F4-BB50-2B6B91A28890,5,Emotionen der Freude,positiv,9600.0,Freude,Gewünscht habe ich's tausendmal,"['Gewünscht', 'habe', 'ich', ""'s"", 'tausendmal']"
24,38,,,,,,LS,positiv,10487.0,CATMA_B5138176-4F6A-4219-90C2-E6C61C55C6E7,21,Emotionen der Zuneigung,positiv,10373.0,Liebe,"Und ich würde des Hasses der ganzen Welt wert sein, wenn ich jemals
              aufhören könnte, Sie zu lieben.
","['Und', 'ich', 'würde', 'des', 'Hasses', 'der', 'ganzen', 'Welt', 'wert', 'sein', ',', 'wenn', 'ich', 'jemals', 'aufhören', 'könnte', ',', 'Sie', 'zu', 'lieben', '.']"
25,40,siegmund,lottchen,lottchen,,,LS,positiv,10597.0,CATMA_1681C7FE-E926-45D6-9AAE-A5801CA98780,11,Emotionen der Zuneigung,positiv,10530.0,Verehrung,"daß ich Sie so viel zu meinem Ruhme habe sagen
              lassen","['daß', 'ich', 'Sie', 'so', 'viel', 'zu', 'meinem', 'Ruhme', 'habe', 'sagen', 'lassen']"
26,42,,,,,,LS,positiv,11575.0,CATMA_50323F1E-DD77-42FE-A04B-FDFFCB748CF7,9,Emotionen der Freude,positiv,11532.0,Freude,"Julchen ist nicht glücklicher, als ich bin.","['Julchen', 'ist', 'nicht', 'glücklicher', ',', 'als', 'ich', 'bin', '.']"
