,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,0,fraeulein_amalie,,,,,ER,positiv,1620.0,CATMA_27B5B476-BB75-4C01-8D93-01E7CEEB204D,21,Emotionen der Freude,positiv,1495.0,Freude,"wenn doch nur heute unsrer Frau Muhme keine Verhinderung in den
              Weg käme; daß sie das Testament machen könnte!
","['wenn', 'doch', 'nur', 'heute', 'unsrer', 'Frau', 'Muhme', 'keine', 'Verhinderung', 'in', 'den', 'Weg', 'käme', ';', 'daß', 'sie', 'das', 'Testament', 'machen', 'könnte', '!']"
1,1,fraeulein_karoline,,,,,ER,Emotionale Bewegtheit,1656.0,CATMA_8B8C60BD-7FD1-4C58-89F9-1A25E727DE3D,4,Emotionale Bewegtheit,Emotionale Bewegtheit,1640.0,Emotionale Bewegtheit,"Warum denn das?
","['Warum', 'denn', 'das', '?']"
2,2,fraeulein_karoline,,,,,ER,negativ,1947.0,CATMA_7DBEFB68-A867-4F28-822C-2E1D27B15872,8,Emotionen des Leids,negativ,1902.0,Mitleid,"Hast du denn eine Not
              bei ihr?
","['Hast', 'du', 'denn', 'eine', 'Not', 'bei', 'ihr', '?']"
3,4,fraeulein_karoline,,,,,ER,positiv,2445.0,CATMA_F54EBCB9-DFF5-4E13-A3DF-1A65746327CD,18,Emotionen der Zuneigung,positiv,2324.0,Verehrung,"Es wird nicht eine jede Schwester ihrer Schwester Kinder so liebreich verpflegen, als
              es uns hier geschieht","['Es', 'wird', 'nicht', 'eine', 'jede', 'Schwester', 'ihrer', 'Schwester', 'Kinder', 'so', 'liebreich', 'verpflegen', ',', 'als', 'es', 'uns', 'hier', 'geschieht']"
4,5,fraeulein_karoline,,,,,ER,Emotionale Bewegtheit,2495.0,CATMA_EE349454-EF31-46F5-9258-F442B1EA1DC8,9,Emotionale Bewegtheit,Emotionale Bewegtheit,2447.0,Emotionale Bewegtheit,Zwar die Frau Oberstin ist ein wenig wunderlich.,"['Zwar', 'die', 'Frau', 'Oberstin', 'ist', 'ein', 'wenig', 'wunderlich', '.']"
5,6,fraeulein_karoline,,,,,ER,Emotionale Bewegtheit,2826.0,CATMA_DDC464F4-2862-4D32-B84F-DE8E8EC708D3,6,Emotionale Bewegtheit,Emotionale Bewegtheit,2807.0,Emotionale Bewegtheit,"Wie? Was sagst du?
","['Wie', '?', 'Was', 'sagst', 'du', '?']"
6,7,fraeulein_amalie,,,,,ER,positiv,2963.0,CATMA_BF3DC828-6BD0-48FF-AFC8-AC9B4C872A55,18,Emotionen der Freude,positiv,2851.0,Freude," wer reich ist und andere Leute glücklich machen kann, vor dem müssen sich die
              anderen schmiegen.
","['wer', 'reich', 'ist', 'und', 'andere', 'Leute', 'glücklich', 'machen', 'kann', ',', 'vor', 'dem', 'müssen', 'sich', 'die', 'anderen', 'schmiegen', '.']"
7,8,fraeulein_karoline,,,,,ER,negativ,3217.0,CATMA_91BF8BAB-1835-4AE5-96C9-DF75633091ED_0,2,Emotionen der Ablehnung,negativ,3206.0,Abscheu,"spöttisch.
","['spöttisch', '.']"
8,9,fraeulein_karoline,,,,,ER,negativ,3344.0,CATMA_91BF8BAB-1835-4AE5-96C9-DF75633091ED_1,25,Emotionen der Ablehnung,negativ,3207.0,Abscheu,"pöttisch.
Du darfst eben nicht wir sagen. Es gibt noch Leute im Hause, die auch ohne dies
              Testament zufrieden sein können.
","['pöttisch', '.', 'Du', 'darfst', 'eben', 'nicht', 'wir', 'sagen', '.', 'Es', 'gibt', 'noch', 'Leute', 'im', 'Hause', ',', 'die', 'auch', 'ohne', 'dies', 'Testament', 'zufrieden', 'sein', 'können', '.']"
9,10,,,,,,ER,positiv,3441.0,CATMA_4ECC648E-3FDD-4F01-9AF4-216E4167ACD0,14,Emotionen der Freude,positiv,3361.0,Schadenfreude,"höhnisch.
Willst du mir deinen Anteil auf der Oberstin ihre Erbschaft schenken?
","['höhnisch', '.', 'Willst', 'du', 'mir', 'deinen', 'Anteil', 'auf', 'der', 'Oberstin', 'ihre', 'Erbschaft', 'schenken', '?']"
