,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
1574,1574,1574,GerDracor/schiller-die-braut-von-messina.xml,Beatrice erscheint am Eingange der Szene.,0,41,stage_direction,4,10,pre_speech,,,,,no_annotation,T,,1803.0,no_annotation,no_annotation
1575,1575,1575,GerDracor/schiller-die-braut-von-messina.xml,Donna Isabella.,42,57,stage_direction,4,10,pre_speech,,,,,no_annotation,T,,1803.0,no_annotation,no_annotation
1576,1576,1576,GerDracor/schiller-die-braut-von-messina.xml,"Don Cesar und der
            Chor.",58,93,stage_direction,4,10,pre_speech,,,,,no_annotation,T,,1803.0,no_annotation,no_annotation
1577,1577,1577,GerDracor/schiller-die-braut-von-messina.xml,bei ihrem Anblick heftig bewegt sich verhüllend.,0,48,stage_direction,4,10,speech_part,,#don_cesar,495.0,MALE,being moved,T,,1803.0,being moved,being moved
1578,1578,1578,GerDracor/schiller-die-braut-von-messina.xml,O Mutter!,0,9,character_speech,4,10,,DON CESAR,#don_cesar,495.0,MALE,being moved,T,,1803.0,being moved,being moved
1579,1579,1579,GerDracor/schiller-die-braut-von-messina.xml,Mutter!,10,17,character_speech,4,10,,DON CESAR,#don_cesar,495.0,MALE,being moved,T,,1803.0,being moved,being moved
1580,1580,1580,GerDracor/schiller-die-braut-von-messina.xml,Was ersannest du?,18,35,character_speech,4,10,,DON CESAR,#don_cesar,495.0,MALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1581,1581,1581,GerDracor/schiller-die-braut-von-messina.xml,führt sie vorwärts.,0,19,stage_direction,4,10,speech_part,,#isabella,496.0,FEMALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1582,1582,1582,GerDracor/schiller-die-braut-von-messina.xml,"
              Die Mutter hat umsonst zu ihm gefleht,
              Beschwöre du, erfleh ihn, daß er lebe.",0,106,character_speech,4,10,,ISABELLA,#isabella,496.0,FEMALE,despair,T,,1803.0,negative,emotions of anxiety
1583,1583,1583,GerDracor/schiller-die-braut-von-messina.xml,"
              Arglistge Mutter!",0,32,character_speech,4,10,,DON CESAR.,#don_cesar,497.0,MALE,being moved,T,,1803.0,being moved,being moved
1584,1584,1584,GerDracor/schiller-die-braut-von-messina.xml,Also prüfst du mich!,33,53,character_speech,4,10,,DON CESAR.,#don_cesar,497.0,MALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1585,1585,1585,GerDracor/schiller-die-braut-von-messina.xml,In neuen Kampf willst du zurück mich stürzen?,68,113,character_speech,4,10,,DON CESAR.,#don_cesar,497.0,MALE,abhorrence,T,,1803.0,negative,emotions of rejection
1586,1586,1586,GerDracor/schiller-die-braut-von-messina.xml,"Das Licht der Sonne mir noch teuer machen
              Auf meinem Wege zu der ewgen Nacht?",128,219,character_speech,4,10,,DON CESAR.,#don_cesar,497.0,MALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1587,1587,1587,GerDracor/schiller-die-braut-von-messina.xml,"– Da steht der holde Lebensengel mächtig
              Vor mir und tausend Blumen schüttet er
              Und tausend goldne Früchte lebenduftend
              Aus reichem Füllhorn strömend vor mir aus,
              Das Herz geht auf im warmen Strahl der Sonne,
              Und neu erwacht in der erstorbnen Brust
              Die Hoffnung wieder und die Lebenslust.",234,606,character_speech,4,10,,DON CESAR.,#don_cesar,497.0,MALE,joy,T,,1803.0,positive,emotions of pleasure
1588,1588,1588,GerDracor/schiller-die-braut-von-messina.xml,"
              Fleh ihn, dich oder niemand wird er hören,
              Daß er den Stab nicht raube dir und mir.",0,112,character_speech,4,10,,ISABELLA.,#isabella,498.0,FEMALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1589,1589,1589,GerDracor/schiller-die-braut-von-messina.xml,"
              Ein Opfer fodert der geliebte Tote,
              Es soll ihm werden, Mutter – Aber mich
              Laß dieses Opfer sein!",0,140,character_speech,4,10,,BEATRICE.,#beatrice,499.0,FEMALE,love,T,,1803.0,positive,emotions of affection
1590,1590,1590,GerDracor/schiller-die-braut-von-messina.xml,"Dem Tode war ich
              Geweiht, eh ich das Leben sah.",141,202,character_speech,4,10,,BEATRICE.,#beatrice,499.0,FEMALE,despair,T,,1803.0,negative,emotions of anxiety
1591,1591,1591,GerDracor/schiller-die-braut-von-messina.xml,"Mich fodert
              Der Fluch, der dieses Haus verfolgt, und Raub
              Am Himmel ist das Leben, das ich lebe.",203,327,character_speech,4,10,,BEATRICE.,#beatrice,499.0,FEMALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
1592,1592,1592,GerDracor/schiller-die-braut-von-messina.xml,"Ich bins, die ihn gemordet, eures Streits
              Entschlafne Furien gewecket – Mir
              Gebührt es, seine Manen zu versöhnen!",342,483,character_speech,4,10,,BEATRICE.,#beatrice,499.0,FEMALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1593,1593,1593,GerDracor/schiller-die-braut-von-messina.xml,"
              O jammervolle Mutter!",0,36,character_speech,4,10,,CHOR.,#chor,500.0,MALE,compassion,T,,1803.0,negative,emotions of suffering and empathy
1594,1594,1594,GerDracor/schiller-die-braut-von-messina.xml,"Hin zum Tod
              Drängen sich eifernd alle deine Kinder,
              Und lassen dich allein, verlassen, stehen
              Im freudlos öden, liebeleeren Leben.",37,209,character_speech,4,10,,CHOR.,#chor,500.0,MALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
1595,1595,1595,GerDracor/schiller-die-braut-von-messina.xml,"
              Du, Bruder, rette dein geliebtes Haupt,
              Für deine Mutter lebe!",0,91,character_speech,4,10,,BEATRICE.,#beatrice,501.0,FEMALE,love,T,,1803.0,positive,emotions of affection
1596,1596,1596,GerDracor/schiller-die-braut-von-messina.xml,"Sie bedarf
              Des Sohns, erst heute fand sie eine Tochter,
              Und leicht entbehrt sie, was sie nie besaß.",92,219,character_speech,4,10,,BEATRICE.,#beatrice,501.0,FEMALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1597,1597,1597,GerDracor/schiller-die-braut-von-messina.xml,mit tief verwundeter Seele.,0,27,stage_direction,4,10,speech_part,,#don_cesar,502.0,MALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
1598,1598,1598,GerDracor/schiller-die-braut-von-messina.xml,"
              Wir mögen leben, Mutter, oder sterben,
              Wenn sie nur dem Geliebten sich vereinigt!",0,110,character_speech,4,10,,DON CESAR,#don_cesar,502.0,MALE,love,T,,1803.0,positive,emotions of affection
1599,1599,1599,GerDracor/schiller-die-braut-von-messina.xml,Beneidest du des Bruders toten Staub?,0,37,character_speech,4,10,,BEATRICE.,#beatrice,503.0,FEMALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1600,1600,1600,GerDracor/schiller-die-braut-von-messina.xml,"
              Er lebt in deinem Schmerz ein selig Leben,
              Ich werde ewig tot sein bei den Toten.",0,110,character_speech,4,10,,DON CESAR.,#don_cesar,504.0,MALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
1601,1601,1601,GerDracor/schiller-die-braut-von-messina.xml,O Bruder!,0,9,character_speech,4,10,,BEATRICE.,#beatrice,505.0,FEMALE,love,T,,1803.0,positive,emotions of affection
1602,1602,1602,GerDracor/schiller-die-braut-von-messina.xml,mit dem Ausdruck der heftigsten Leidenschaft.,0,45,stage_direction,4,10,speech_part,,#don_cesar,506.0,MALE,being moved,T,,1803.0,being moved,being moved
1603,1603,1603,GerDracor/schiller-die-braut-von-messina.xml,"Schwester, weinest du um mich?",0,30,character_speech,4,10,,DON CESAR,#don_cesar,506.0,MALE,compassion,T,,1803.0,negative,emotions of suffering and empathy
1604,1604,1604,GerDracor/schiller-die-braut-von-messina.xml,Lebe für unsre Mutter!,0,22,character_speech,4,10,,BEATRICE.,#beatrice,507.0,FEMALE,love,T,,1803.0,positive,emotions of affection
1605,1605,1605,GerDracor/schiller-die-braut-von-messina.xml,"läßt ihre Hand los, zurücktretend.",0,34,stage_direction,4,10,speech_part,,#don_cesar,508.0,MALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1606,1606,1606,GerDracor/schiller-die-braut-von-messina.xml,Für die Mutter?,0,15,character_speech,4,10,,DON CESAR,#don_cesar,508.0,MALE,being moved,T,,1803.0,being moved,being moved
1607,1607,1607,GerDracor/schiller-die-braut-von-messina.xml,neigt sich an seine Brust.,0,26,stage_direction,4,10,speech_part,,#beatrice,509.0,FEMALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
1608,1608,1608,GerDracor/schiller-die-braut-von-messina.xml,Lebe für sie und tröste deine Schwester.,0,40,character_speech,4,10,,BEATRICE,#beatrice,509.0,FEMALE,compassion,T,,1803.0,negative,emotions of suffering and empathy
1609,1609,1609,GerDracor/schiller-die-braut-von-messina.xml,"
              Sie hat gesiegt!",0,31,character_speech,4,10,,CHOR.,#chor,510.0,MALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1610,1610,1610,GerDracor/schiller-die-braut-von-messina.xml,"Dem rührenden Flehen
              Der Schwester konnt er nicht widerstehen.",32,108,character_speech,4,10,,CHOR.,#chor,510.0,MALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
1611,1611,1611,GerDracor/schiller-die-braut-von-messina.xml,Trostlose Mutter!,123,140,character_speech,4,10,,CHOR.,#chor,510.0,MALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
1612,1612,1612,GerDracor/schiller-die-braut-von-messina.xml,"Gib Raum der Hoffnung,
              Er erwählt das Leben, dir bleibt dein Sohn!",141,221,character_speech,4,10,,CHOR.,#chor,510.0,MALE,joy,T,,1803.0,positive,emotions of pleasure
1613,1613,1613,GerDracor/schiller-die-braut-von-messina.xml,"In diesem Augenblick läßt sich ein Chorgesang hören, die Flügeltüre wird
              geöffnet, man sieht in der Kirche den Katafalk aufgerichtet und den Sarg von
              Kandelabern umgeben.",0,198,stage_direction,4,10,speech_part,,#chor,510.0,MALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1614,1614,1614,GerDracor/schiller-die-braut-von-messina.xml,gegen den Sarg gewendet.,0,24,stage_direction,4,10,speech_part,,#don_cesar,511.0,MALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1615,1615,1615,GerDracor/schiller-die-braut-von-messina.xml,"
              Nein, Bruder!",0,28,character_speech,4,10,,DON CESAR,#don_cesar,511.0,MALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1616,1616,1616,GerDracor/schiller-die-braut-von-messina.xml,"Nicht dein Opfer will ich dir
              Entziehen – deine Stimme aus dem Sarg
              Ruft mächtger dringend als der Mutter Tränen
              Und mächtger als der Liebe Flehn – Ich halte
              In meinen Armen, was das irdsche Leben
              Zu einem Los der Götter machen kann –
              Doch ich, der Mörder, sollte glücklich sein,
              Und deine heilge Unschuld ungerächet
              Im tiefen Grabe liegen – das verhüte
              Der allgerechte Lenker unsrer Tage,
              Daß solche Teilung sei in seiner Welt –
              – Die Tränen sah ich, die auch mir geflossen,
              Befriedigt ist mein Herz, ich folge dir.",29,713,character_speech,4,10,,DON CESAR,#don_cesar,511.0,MALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
1617,1617,1617,GerDracor/schiller-die-braut-von-messina.xml,"Er durchsticht sich mit einem Dolch und gleitet sterbend an seiner Schwester
              nieder, die sich der Mutter in die Arme wirft.",0,137,stage_direction,4,10,speech_part,,#don_cesar,511.0,MALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
1618,1618,1618,GerDracor/schiller-die-braut-von-messina.xml,nach einem tiefen Schweigen.,0,28,stage_direction,4,10,speech_part,,#chor,512.0,MALE,no_annotation,T,,1803.0,no_annotation,no_annotation
1619,1619,1619,GerDracor/schiller-die-braut-von-messina.xml,"
              Erschüttert steh ich, weiß nicht, ob ich ihn
              Bejammern oder preisen soll sein Los.",0,111,character_speech,4,10,,CHOR,#chor,512.0,MALE,being moved,T,,1803.0,being moved,being moved
1620,1620,1620,GerDracor/schiller-die-braut-von-messina.xml,"Dies eine fühl ich und erkenn es klar,
              Das Leben ist der Güter höchstes nicht,
              Der Übel größtes aber ist die Schuld.",126,270,character_speech,4,10,,CHOR,#chor,512.0,MALE,suffering,T,,1803.0,negative,emotions of suffering and empathy
