,Unnamed: 0,pre1_tag_type_cp,pre1_tag_type_percentage_cp,pre1_tag_type_sd,pre1_tag_type_percentage_sd
0,Schadenfreude,1475,1.282831796834232,188,1.820823244552058
1,abhorrence,11537,10.033918942424773,422,4.087167070217919
2,"admiration, reverence",8228,7.156027135153941,501,4.852300242130751
3,anger,14732,12.812663071838582,1402,13.57869249394673
4,being moved,16071,13.977213428422331,2560,24.794188861985468
5,compassion,2784,2.421290659245086,42,0.4067796610169492
6,desire,96,0.08349278135327882,20,0.1937046004842615
7,despair,2932,2.550008697164724,155,1.5012106537530263
8,fear,6898,5.999304226822057,967,9.365617433414043
9,friendship,1711,1.488084884327709,37,0.3583535108958838
10,joy,16444,14.301617672638722,1500,14.527845036319613
11,love,12920,11.236736823795443,726,7.031476997578692
12,suffering,19152,16.656809879979125,1805,17.4818401937046
