,_1650_1730_pre1_tag_type,_1650_1730_pre1_tag_type_percentage,_1730_1770_pre1_tag_type,_1730_1770_pre1_tag_type_percentage,_1770_1815_pre1_tag_type,_1770_1815_pre1_tag_type_percentage
Schadenfreude,367,0.7248809970570227,383,0.5057507691901385,1475,0.5846956411435458
abhorrence,3670,7.2488099705702265,3664,4.838305008649262,11537,4.573310923303788
"admiration, reverence",2987,5.89978075806356,2633,3.4768714759207175,8228,3.261610668019725
anger,2895,5.71806672065417,4638,6.124470150140633,14732,5.839821142594383
being moved,1843,3.6402062059294082,4620,6.100701184486788,16071,6.3706058636053715
compassion,388,0.7663592012482965,963,1.2716396624806878,2784,1.1035882474194112
desire,41,0.08098125580201071,9,0.011884482826922315,96,0.03805476715239349
despair,355,0.7011791660905805,802,1.0590394696879664,2932,1.1622560134460178
fear,1849,3.652057121412629,1919,2.5340358383182138,6898,2.734393581429274
friendship,230,0.4542850935234747,718,0.9481176299700247,1711,0.6782469437265131
joy,3094,6.1111220841810034,4356,5.7520896882304005,16444,6.5184644901454005
love,2832,5.5936321080803495,3988,5.2661463904184656,12920,5.121537412592956
no_annotation,22820,45.07298188785084,40545,53.53959513528503,137288,54.421488258518714
suffering,7258,14.335657429536433,6491,8.57135311439475,19152,7.5919260469025005
