,Unnamed: 0,Emotionsbezug_falls_nötig,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,0,,DER THRACISCHE BOSPHORUS,,,,,,LSch,negativ,17061.0,CATMA_F0D2B815-DFF2-4D6B-B2BD-3B7F3A91B912,14,Emotionen der Ablehnung,negativ,16977.0,Ärger,"Daß des erzürnten Bosphors Schlund
Den Strand verlässt / wo Thrax und Türcke wütten ","['Daß', 'des', 'erzürnten', 'Bosphors', 'Schlund', 'Den', 'Strand', 'verlässt', '/', 'wo', 'Thrax', 'und', 'Türcke', 'wütten']"
1,4,,,,,,,,LSch,negativ,18264.0,CATMA_AFC9CA9E-3CF8-4FF1-8245-1BE506F9CFB5_0,31,Emotionen der Ablehnung,negativ,18062.0,Abscheu,"Der Todten-Knochen Last stopft meinen Einfluß zu /
Weil ieder Mord-Fürst hier darmit den Stuhl umbtämmet;
Ja heilge Thürm auß Menschen-Häuptern baut /4


Darzu man zu Spahan nur Ziegen-Köpfe brauchet.5
","['Der', 'Todten-Knochen', 'Last', 'stopft', 'meinen', 'Einfluß', 'zu', '/', 'Weil', 'ieder', 'Mord-Fürst', 'hier', 'darmit', 'den', 'Stuhl', 'umbtämmet', ';', 'Ja', 'heilge', 'Thürm', 'auß', 'Menschen-Häuptern', 'baut', '/4', 'Darzu', 'man', 'zu', 'Spahan', 'nur', 'Ziegen-Köpfe', 'brauchet.5']"
2,6,,,,,,,,LSch,negativ,19105.0,CATMA_AFC9CA9E-3CF8-4FF1-8245-1BE506F9CFB5_2,96,Emotionen der Ablehnung,negativ,18558.0,Abscheu,"Wieviel in mir Geburths- und andre Glieder schwimmen /
Und Augen / die die Mutter selbst außrieß /
Wenn sie ihr Kind ins Kloster stieß;
Ob man der Fürsten Därm auf Pfählen noch sieht glimmen /
Die Mutter und der Sohn blutschändend seyn vermischt;
Ob bey gekochtem Kind ein Hencker-Vater tischt:
So gehen doch der Türcken Greuel-Thaten
Der Welt und Vorwelt Sünden für.
Byzanz hegt ietzt des Teufels giftge Saaten /
Beherbergt nur Wolf / Schlangen / Tygerthier!
Ich kan mehr den Gestanck der schwartzen Unzucht-Kertzen
Des Ibrahims vertragen nicht.
","['Wieviel', 'in', 'mir', 'Geburths-', 'und', 'andre', 'Glieder', 'schwimmen', '/', 'Und', 'Augen', '/', 'die', 'die', 'Mutter', 'selbst', 'außrieß', '/', 'Wenn', 'sie', 'ihr', 'Kind', 'ins', 'Kloster', 'stieß', ';', 'Ob', 'man', 'der', 'Fürsten', 'Därm', 'auf', 'Pfählen', 'noch', 'sieht', 'glimmen', '/', 'Die', 'Mutter', 'und', 'der', 'Sohn', 'blutschändend', 'seyn', 'vermischt', ';', 'Ob', 'bey', 'gekochtem', 'Kind', 'ein', 'Hencker-Vater', 'tischt', ':', 'So', 'gehen', 'doch', 'der', 'Türcken', 'Greuel-Thaten', 'Der', 'Welt', 'und', 'Vorwelt', 'Sünden', 'für', '.', 'Byzanz', 'hegt', 'ietzt', 'des', 'Teufels', 'giftge', 'Saaten', '/', 'Beherbergt', 'nur', 'Wolf', '/', 'Schlangen', '/', 'Tygerthier', '!', 'Ich', 'kan', 'mehr', 'den', 'Gestanck', 'der', 'schwartzen', 'Unzucht-Kertzen', 'Des', 'Ibrahims', 'vertragen', 'nicht', '.']"
3,7,,DER THRACISCHE BOSPHORUS,,,,,,LSch,positiv,19462.0,CATMA_209AE75A-0E96-4FD5-9B31-1582537D36F1,20,Emotionen der Zuneigung,positiv,19332.0,Liebe,"Als ein die gantze Welt durchdringend Liebes-Blitz /
Auf die Saphiernen Friedens-Auen /
Wo der gekrönte Löw hat seinen Käyser-Sitz","['Als', 'ein', 'die', 'gantze', 'Welt', 'durchdringend', 'Liebes-Blitz', '/', 'Auf', 'die', 'Saphiernen', 'Friedens-Auen', '/', 'Wo', 'der', 'gekrönte', 'Löw', 'hat', 'seinen', 'Käyser-Sitz']"
4,16,,,,,,,nur auf Sprachebene,LSch,positiv,21859.0,CATMA_6E238AFC-7B52-4807-81B6-6DCCB471164F,12,Emotionen der Zuneigung,positiv,21798.0,Liebe,Denn keusche Liebe baut die Thron / unkeusche reisst sie ein.,"['Denn', 'keusche', 'Liebe', 'baut', 'die', 'Thron', '/', 'unkeusche', 'reisst', 'sie', 'ein', '.']"
5,17,,SISIGAMBIS,,,,,,LSch,negativ,22066.0,CATMA_63E876C9-F0CA-4E34-9DC6-63B30C6C83CC,9,Emotionen der Angst,negativ,22016.0,Angst,Hilf Himmel! wer erbricht Uns unser Schlaffgemach?,"['Hilf', 'Himmel', '!', 'wer', 'erbricht', 'Uns', 'unser', 'Schlaffgemach', '?']"
6,19,,IBRAHIM,,,,,,LSch,positiv,22257.0,CATMA_229091F2-0F6C-49FB-8849-D5AFB7B48774_1,11,Emotionen der Zuneigung,positiv,22203.0,Verehrung,Nein! Weyrauch aufs Altar dir / Göttin / aufzustreuen.,"['Nein', '!', 'Weyrauch', 'aufs', 'Altar', 'dir', '/', 'Göttin', '/', 'aufzustreuen', '.']"
7,24,,IBRAHIM,,,,,,LSch,positiv,22547.0,CATMA_4BF4903B-42C2-4BFF-B846-49E5D9A3FBEB_1,11,Emotionen der Zuneigung,positiv,22488.0,Verehrung,Man sieht der Sterne Gold bey Nacht am schönsten schimmern.,"['Man', 'sieht', 'der', 'Sterne', 'Gold', 'bey', 'Nacht', 'am', 'schönsten', 'schimmern', '.']"
8,25,,SISIGAMBIS,,,,,,LSch,negativ,22477.0,CATMA_E8A92F42-68FC-4EE0-BB6C-281002127017_0,10,Emotionen des Leids,negativ,22417.0,Leid,Was sucht der Fürst für Liecht in schwartzen Trauer-Zimmern?,"['Was', 'sucht', 'der', 'Fürst', 'für', 'Liecht', 'in', 'schwartzen', 'Trauer-Zimmern', '?']"
9,26,,SISIGAMBIS,,,,,,LSch,negativ,22608.0,CATMA_E8A92F42-68FC-4EE0-BB6C-281002127017_1,10,Emotionen des Leids,negativ,22561.0,Leid,Mit Amurathen fiel mein Stern schon in die See.,"['Mit', 'Amurathen', 'fiel', 'mein', 'Stern', 'schon', 'in', 'die', 'See', '.']"
