,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,0,,,,,,ER,negativ,10657.0,CATMA_231FD788-51F6-482F-8808-B8C1EC675602,72,Emotionen der Ablehnung,negativ,10296.0,Abscheu,"Erwarte weiter nichts. Dein Wunsch ist dir gewährt.
Ich habe dich geführt, wohin du es begehrt.
Du siehst nun Dännemarks berühmte Hauptstadt wieder.
Geh, wirf dich, wenn du willst, vor deinem Bruder nieder;
Ersuche den Canut um gnädiges Verzeihn;
Bereu, entschuldige, ja, mische Thränen ein;
Heiß meine That vor ihm ein übereilt Verbrechen,
Erniedrige dich nur:","['Erwarte', 'weiter', 'nichts', '.', 'Dein', 'Wunsch', 'ist', 'dir', 'gewährt', '.', 'Ich', 'habe', 'dich', 'geführt', ',', 'wohin', 'du', 'es', 'begehrt', '.', 'Du', 'siehst', 'nun', 'Dännemarks', 'berühmte', 'Hauptstadt', 'wieder', '.', 'Geh', ',', 'wirf', 'dich', ',', 'wenn', 'du', 'willst', ',', 'vor', 'deinem', 'Bruder', 'nieder', ';', 'Ersuche', 'den', 'Canut', 'um', 'gnädiges', 'Verzeihn', ';', 'Bereu', ',', 'entschuldige', ',', 'ja', ',', 'mische', 'Thränen', 'ein', ';', 'Heiß', 'meine', 'That', 'vor', 'ihm', 'ein', 'übereilt', 'Verbrechen', ',', 'Erniedrige', 'dich', 'nur', ':']"
1,1,,ulfo,,,,ER,negativ,10656.0,CATMA_A7332902-9D88-44CC-BB80-067EE823421A,43,Emotionen des Leids,negativ,10445.0,Leid,"Geh, wirf dich, wenn du willst, vor deinem Bruder nieder;
Ersuche den Canut um gnädiges Verzeihn;
Bereu, entschuldige, ja, mische Thränen ein;
Heiß meine That vor ihm ein übereilt Verbrechen,
Erniedrige dich nur","['Geh', ',', 'wirf', 'dich', ',', 'wenn', 'du', 'willst', ',', 'vor', 'deinem', 'Bruder', 'nieder', ';', 'Ersuche', 'den', 'Canut', 'um', 'gnädiges', 'Verzeihn', ';', 'Bereu', ',', 'entschuldige', ',', 'ja', ',', 'mische', 'Thränen', 'ein', ';', 'Heiß', 'meine', 'That', 'vor', 'ihm', 'ein', 'übereilt', 'Verbrechen', ',', 'Erniedrige', 'dich', 'nur']"
2,2,,,,,,ER,negativ,10848.0,CATMA_A20A6E8A-6DE1-4277-9FFF-1ACB642519EB,32,Emotionen des Leids,negativ,10700.0,Leid,"Ach! Ulfo! kannst du mich so grausam hintergehn?
Hast du mich hergeführt, hier deinen Tod zu sehn?
Bedenke, was du schon für deinen Trutz gelitten.
","['Ach', '!', 'Ulfo', '!', 'kannst', 'du', 'mich', 'so', 'grausam', 'hintergehn', '?', 'Hast', 'du', 'mich', 'hergeführt', ',', 'hier', 'deinen', 'Tod', 'zu', 'sehn', '?', 'Bedenke', ',', 'was', 'du', 'schon', 'für', 'deinen', 'Trutz', 'gelitten', '.']"
3,4,,,,,,ER,positiv,11070.0,CATMA_89F9E9EF-1C65-44AD-979C-ECFD332EDE1E,11,Emotionen der Zuneigung,positiv,11026.0,Liebe,": seit mein Herz, da ich es dir geschenket,
","[':', 'seit', 'mein', 'Herz', ',', 'da', 'ich', 'es', 'dir', 'geschenket', ',']"
4,6,,,,,,ER,negativ,11654.0,CATMA_97A3F27E-7CBD-42BC-B58C-4CBBE59415E2_0,14,Emotionen der Ablehnung,negativ,11581.0,Abscheu,"Es schwimmen in der Fluth
Durch meine List ersäufft die Völker des Canut.","['Es', 'schwimmen', 'in', 'der', 'Fluth', 'Durch', 'meine', 'List', 'ersäufft', 'die', 'Völker', 'des', 'Canut', '.']"
5,10,,,,,,ER,positiv,12285.0,CATMA_37EFA2C1-7CA2-466C-93CD-33CE0E419AB2,45,Emotionen der Zuneigung,positiv,12076.0,Liebe,"Hab ich nicht, seit Canut mein Herz dir übergeben,
Mir zum Gesetz gemacht, nach deinem Wink zu leben?
Wie willig floh ich mit zu Nordens tiefstem Schnee?
Durch Wälder folgt ich dir, und gieng mit dir zur See.
","['Hab', 'ich', 'nicht', ',', 'seit', 'Canut', 'mein', 'Herz', 'dir', 'übergeben', ',', 'Mir', 'zum', 'Gesetz', 'gemacht', ',', 'nach', 'deinem', 'Wink', 'zu', 'leben', '?', 'Wie', 'willig', 'floh', 'ich', 'mit', 'zu', 'Nordens', 'tiefstem', 'Schnee', '?', 'Durch', 'Wälder', 'folgt', 'ich', 'dir', ',', 'und', 'gieng', 'mit', 'dir', 'zur', 'See', '.']"
6,11,,,,,,ER,negativ,12383.0,CATMA_6D0ACA60-62A7-4C63-8A38-192FF9DCBEDB,20,Emotionen des Leids,negativ,12286.0,Leid,"ch sah, um den Canut undankbar zu bestreiten,
Die Schiffe fertig stehn, die Heere sich bereiten:
","['ch', 'sah', ',', 'um', 'den', 'Canut', 'undankbar', 'zu', 'bestreiten', ',', 'Die', 'Schiffe', 'fertig', 'stehn', ',', 'die', 'Heere', 'sich', 'bereiten', ':']"
7,15,,,,,,ER,negativ,13910.0,CATMA_1F2EBEEE-B025-45F9-90C0-DFD7053572FE,9,Emotionen des Leids,negativ,13861.0,Leid,"Wie qvälest du mich nicht mit deiner Ruhmbegier?
","['Wie', 'qvälest', 'du', 'mich', 'nicht', 'mit', 'deiner', 'Ruhmbegier', '?']"
8,19,ulfo,,,,,ER,negativ,14190.0,CATMA_69538E07-8004-482E-8EFA-3DC0E842699E,24,Emotionen des Leids,negativ,14087.0,Leid,"Das Unglück, daß er bringt, sey wichtig oder klein!
Kein Unglück ist so groß, als lebend todt zu seyn.
","['Das', 'Unglück', ',', 'daß', 'er', 'bringt', ',', 'sey', 'wichtig', 'oder', 'klein', '!', 'Kein', 'Unglück', 'ist', 'so', 'groß', ',', 'als', 'lebend', 'todt', 'zu', 'seyn', '.']"
9,20,,,,,,ER,positiv,14497.0,CATMA_092D623F-BFC6-4E33-9314-C12336C3D485,42,Emotionen der Zuneigung,positiv,14292.0,Verehrung,"Zur Ehre hab ich schon den ersten Schritt gethan.
Die Welt sieht meinen Sieg schon mit Bewundrung an.
Man sagt schon daß Canut, den sonst nichts überwunden,
Am Ulfo einen Feind, der siegen kann, gefunden.
","['Zur', 'Ehre', 'hab', 'ich', 'schon', 'den', 'ersten', 'Schritt', 'gethan', '.', 'Die', 'Welt', 'sieht', 'meinen', 'Sieg', 'schon', 'mit', 'Bewundrung', 'an', '.', 'Man', 'sagt', 'schon', 'daß', 'Canut', ',', 'den', 'sonst', 'nichts', 'überwunden', ',', 'Am', 'Ulfo', 'einen', 'Feind', ',', 'der', 'siegen', 'kann', ',', 'gefunden', '.']"
