,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,1,,,,,,CE,negativ,994.0,CATMA_EADB275D-5F6F-48D1-AF7C-2FD73B97BA16,13,Emotionen des Leids,negativ,916.0,Leid,"Meine Anschläge, meine Rache,
              – alles ist hin! ich Unglücklicher","['Meine', 'Anschläge', ',', 'meine', 'Rache', ',', '–', 'alles', 'ist', 'hin', '!', 'ich', 'Unglücklicher']"
1,7,,henley,,,,CE,positiv,3129.0,CATMA_89D4FB42-9DE9-456A-B6C5-D53988AF8F60_0,21,Emotionen der Zuneigung,positiv,2986.0,Verehrung,"Sein schimmernder Charakter zog jedermanns Aufmerksamkeit auf sich. Der
              Christ, der rechtschaffene Mann, wie alle von ihm rühmten","['Sein', 'schimmernder', 'Charakter', 'zog', 'jedermanns', 'Aufmerksamkeit', 'auf', 'sich', '.', 'Der', 'Christ', ',', 'der', 'rechtschaffene', 'Mann', ',', 'wie', 'alle', 'von', 'ihm', 'rühmten']"
2,8,,henley,,,,CE,positiv,3310.0,CATMA_89D4FB42-9DE9-456A-B6C5-D53988AF8F60_1,11,Emotionen der Zuneigung,positiv,3231.0,Verehrung," vereinigte sich in ihm mit
              den vorzüglichsten Gaben des Geistes.","['vereinigte', 'sich', 'in', 'ihm', 'mit', 'den', 'vorzüglichsten', 'Gaben', 'des', 'Geistes', '.']"
3,10,,,,,,CE,positiv,4187.0,CATMA_0675F6D4-D532-472A-94A9-46BAB14450EF,20,Emotionen der Zuneigung,positiv,4061.0,Verehrung,"Wir strebten beide nach der Gunst der Schwester des Granville, einer
              Schönheit, die damals aller Wünsche reizte.","['Wir', 'strebten', 'beide', 'nach', 'der', 'Gunst', 'der', 'Schwester', 'des', 'Granville', ',', 'einer', 'Schönheit', ',', 'die', 'damals', 'aller', 'Wünsche', 'reizte', '.']"
4,11,,,,,,CE,negativ,4321.0,CATMA_CD387F44-E40F-4A39-8B36-E630ED97BA70,19,Emotionen der Ablehnung,negativ,4225.0,Abscheu,"doch
              verabscheuet sey das Lob, das ich ihr gebe, ihr, die ich itzt tödtlich hasse!","['doch', 'verabscheuet', 'sey', 'das', 'Lob', ',', 'das', 'ich', 'ihr', 'gebe', ',', 'ihr', ',', 'die', 'ich', 'itzt', 'tödtlich', 'hasse', '!']"
5,14,widston,,,,,CE,Emotionale Bewegtheit,4747.0,CATMA_6CCEA8E5-0A6C-47F2-AE00-FC55ABACCEE4,17,Emotionale Bewegtheit,Emotionale Bewegtheit,4649.0,Emotionale Bewegtheit,"Klerdon ist Ihr Nebenbuhler und, noch mehr, ein begünstigter? und Klerdon lebt
              noch?","['Klerdon', 'ist', 'Ihr', 'Nebenbuhler', 'und', ',', 'noch', 'mehr', ',', 'ein', 'begünstigter', '?', 'und', 'Klerdon', 'lebt', 'noch', '?']"
6,15,,,,,,CE,negativ,5517.0,CATMA_D3CFB2D1-823D-45E4-B4BA-1EB3EC4A5E3F,91,Emotionen der Ablehnung,negativ,4975.0,Abscheu,"Nein, eine empfindlichere, eine langwierige Strafe, eine Strafe,
              die mir selbst, da ich sie ausdachte, einen Schauer einjagte, soll meine Schmach
              ahnden. Eben diese glänzenden Vorzüge, diese so gerühmten Tugenden, durch die er mir
              überlegen ward, beschloß ich ihm zu rauben: aus dieser erhabenen Sphäre ihn
              herabzustoßen, ihn zum Lasterhaften, zum Frevler, ja, wo möglich, zum Ungeheuer zu
              erniedrigen, ihn mit eben so viel Schande zu überhäufen, als ihn zuvor Ehre krönte","['Nein', ',', 'eine', 'empfindlichere', ',', 'eine', 'langwierige', 'Strafe', ',', 'eine', 'Strafe', ',', 'die', 'mir', 'selbst', ',', 'da', 'ich', 'sie', 'ausdachte', ',', 'einen', 'Schauer', 'einjagte', ',', 'soll', 'meine', 'Schmach', 'ahnden', '.', 'Eben', 'diese', 'glänzenden', 'Vorzüge', ',', 'diese', 'so', 'gerühmten', 'Tugenden', ',', 'durch', 'die', 'er', 'mir', 'überlegen', 'ward', ',', 'beschloß', 'ich', 'ihm', 'zu', 'rauben', ':', 'aus', 'dieser', 'erhabenen', 'Sphäre', 'ihn', 'herabzustoßen', ',', 'ihn', 'zum', 'Lasterhaften', ',', 'zum', 'Frevler', ',', 'ja', ',', 'wo', 'möglich', ',', 'zum', 'Ungeheuer', 'zu', 'erniedrigen', ',', 'ihn', 'mit', 'eben', 'so', 'viel', 'Schande', 'zu', 'überhäufen', ',', 'als', 'ihn', 'zuvor', 'Ehre', 'krönte']"
7,23,,,,,,CE,Emotionale Bewegtheit,8846.0,CATMA_0B0C67A6-1336-4869-81CF-C7984848640F_0,1,Emotionale Bewegtheit,Emotionale Bewegtheit,8839.0,Emotionale Bewegtheit,unruhig,['unruhig']
8,24,,,,,,CE,Emotionale Bewegtheit,8999.0,CATMA_0B0C67A6-1336-4869-81CF-C7984848640F_1,14,Emotionale Bewegtheit,Emotionale Bewegtheit,8908.0,Emotionale Bewegtheit,"Eine tödtende Unruhe jagt
              mich überall herum; – meine ganze Seele ist Aufruhr","['Eine', 'tödtende', 'Unruhe', 'jagt', 'mich', 'überall', 'herum', ';', '–', 'meine', 'ganze', 'Seele', 'ist', 'Aufruhr']"
9,26,,,,,,CE,negativ,9474.0,CATMA_4ACE5AF5-0072-4C3B-A1FA-80C59F22C925,65,Emotionen des Leids,negativ,9080.0,Leid,"Nicht plötzliche, Henley! Schon seit einiger Zeit haben die oft erwachenden – – – wie
              soll ich sie nennen? – – Vorurtheile der Kindheit – – ja, diese mögen es zu meiner
              Beruhigung seyn! – – – mein Innres in eine qualvolle  Zerrüttung gesetzt;
              schon lange hat das Andenken meines unglücklichen Vaters alle Ruhe aus meiner Seele
              verwiesen.
","['Nicht', 'plötzliche', ',', 'Henley', '!', 'Schon', 'seit', 'einiger', 'Zeit', 'haben', 'die', 'oft', 'erwachenden', '–', '–', '–', 'wie', 'soll', 'ich', 'sie', 'nennen', '?', '–', '–', 'Vorurtheile', 'der', 'Kindheit', '–', '–', 'ja', ',', 'diese', 'mögen', 'es', 'zu', 'meiner', 'Beruhigung', 'seyn', '!', '–', '–', '–', 'mein', 'Innres', 'in', 'eine', 'qualvolle', 'Zerrüttung', 'gesetzt', ';', 'schon', 'lange', 'hat', 'das', 'Andenken', 'meines', 'unglücklichen', 'Vaters', 'alle', 'Ruhe', 'aus', 'meiner', 'Seele', 'verwiesen', '.']"
10,27,,,,,,CE,negativ,9558.0,CATMA_98B6664E-60F9-42C4-9EA1-EBD171FDF5E0,10,Emotionen des Leids,negativ,9496.0,Leid,"ich kenne die unmännliche Schwermuth, die Sie manchmal befällt","['ich', 'kenne', 'die', 'unmännliche', 'Schwermuth', ',', 'die', 'Sie', 'manchmal', 'befällt']"
11,28,,,,,,CE,negativ,9717.0,CATMA_6A30D72D-F767-483E-9C81-0E8EE4EF8600,16,Emotionen der Angst,negativ,9611.0,Angst,"Aber ein so wildes Entsetzen, eine so außerordentliche
              Bangigkeit nahm ich nie an Ihnen wahr","['Aber', 'ein', 'so', 'wildes', 'Entsetzen', ',', 'eine', 'so', 'außerordentliche', 'Bangigkeit', 'nahm', 'ich', 'nie', 'an', 'Ihnen', 'wahr']"
12,32,,klerdon,klerdon,,,CE,negativ,10631.0,CATMA_27671149-0185-4996-A7BA-DD5705FFA4AB,6,Emotionen des Leids,negativ,10589.0,Mitleid,Haben Sie Mitleiden mit meiner Schwachheit,"['Haben', 'Sie', 'Mitleiden', 'mit', 'meiner', 'Schwachheit']"
13,33,,,,,,CE,negativ,10797.0,CATMA_A0F7498F-1740-4C15-8155-1E5C5E264BE4,14,Emotionen der Angst,negativ,10696.0,Angst,"nicht das fürchterliche Schicksal, das mir verkündigt zu
              werden scheint, schrecket mich","['nicht', 'das', 'fürchterliche', 'Schicksal', ',', 'das', 'mir', 'verkündigt', 'zu', 'werden', 'scheint', ',', 'schrecket', 'mich']"
14,34,unbekannt,klerdon,,,,CE,negativ,11322.0,CATMA_C397ED78-5633-4BC2-BF44-F769E774142C,14,Emotionen des Leids,negativ,11232.0,Leid,"Seine
              Augen, die in Thränen schwammen, richteten sich flehend nach mir empor","['Seine', 'Augen', ',', 'die', 'in', 'Thränen', 'schwammen', ',', 'richteten', 'sich', 'flehend', 'nach', 'mir', 'empor']"
15,39,,henley,,,,CE,negativ,13527.0,CATMA_672BEF7C-979F-490F-8935-138FD1333B07,4,Emotionen der Angst,negativ,13504.0,Angst,dieß kann Sie ängstigen,"['dieß', 'kann', 'Sie', 'ängstigen']"
16,40,,,,,,CE,negativ,13947.0,CATMA_EC05145C-C760-4841-B32A-1040F5B6223D,47,Emotionen des Leids,negativ,13618.0,Leid,"so
              scheint seit einiger Zeit meine ganze Natur ausgeartet zu seyn, und eine gewisse,
              unwiderstehbare Schwermuth ihr Gift durch meine Seele ergossen zu haben. Ueberall
              öffnen sich mir dunkle melancholische Aussichten; überall bin ich, wie mich dünkt, von
              Gefahren belagert.
","['so', 'scheint', 'seit', 'einiger', 'Zeit', 'meine', 'ganze', 'Natur', 'ausgeartet', 'zu', 'seyn', ',', 'und', 'eine', 'gewisse', ',', 'unwiderstehbare', 'Schwermuth', 'ihr', 'Gift', 'durch', 'meine', 'Seele', 'ergossen', 'zu', 'haben', '.', 'Ueberall', 'öffnen', 'sich', 'mir', 'dunkle', 'melancholische', 'Aussichten', ';', 'überall', 'bin', 'ich', ',', 'wie', 'mich', 'dünkt', ',', 'von', 'Gefahren', 'belagert', '.']"
17,42,,henley,,,,CE,negativ,14931.0,CATMA_ABA1254E-A750-4628-B47A-AE105047BB02,4,Emotionen des Leids,negativ,14900.0,Leid,Sie werden immer schwermüthiger,"['Sie', 'werden', 'immer', 'schwermüthiger']"
18,43,,,,,negativ,CE,Emotionale Bewegtheit,15993.0,CATMA_6E3F0872-7A39-4EE6-A33E-F574E69919C6,7,Emotionale Bewegtheit,negativ,15954.0,Emotionale Bewegtheit,was mich vorhin so bestürzt gemacht hat,"['was', 'mich', 'vorhin', 'so', 'bestürzt', 'gemacht', 'hat']"
19,44,,,,,,CE,negativ,16336.0,CATMA_27B35681-ED19-4B03-A6D7-C2383EC61173,22,Emotionen des Leids,negativ,16184.0,Leid," daß ich nicht oft
              die Spuren einer tiefen Schwermuth an ihm bemerkt hätte. Kurz, Klerdon büßet bereits
              für seine Verbrechen","['daß', 'ich', 'nicht', 'oft', 'die', 'Spuren', 'einer', 'tiefen', 'Schwermuth', 'an', 'ihm', 'bemerkt', 'hätte', '.', 'Kurz', ',', 'Klerdon', 'büßet', 'bereits', 'für', 'seine', 'Verbrechen']"
20,47,,,,,,CE,negativ,16472.0,CATMA_80C85755-02B9-40A8-81EA-CE064237A391,10,Emotionen der Angst,negativ,16389.0,Angst,"wenn sie mir
              nicht wegen seiner künftigen Veränderung Furcht erweckte","['wenn', 'sie', 'mir', 'nicht', 'wegen', 'seiner', 'künftigen', 'Veränderung', 'Furcht', 'erweckte']"
21,48,,henley,,,,CE,negativ,16913.0,CATMA_E4F0F247-DDF9-491A-8A19-52CF40EBA006,20,Emotionen der Angst,negativ,16769.0,Verzweiflung,"Noch ein oder zwey
              Verbrechen mehr, so artet seine Schwermuth in Verzweiflung aus, so wird er vollkommen
              unglücklich","['Noch', 'ein', 'oder', 'zwey', 'Verbrechen', 'mehr', ',', 'so', 'artet', 'seine', 'Schwermuth', 'in', 'Verzweiflung', 'aus', ',', 'so', 'wird', 'er', 'vollkommen', 'unglücklich']"
