,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,0,,,unbekannt,,,ER,positiv,1395.0,CATMA_D7A1E768-3276-49AE-AB56-2218884BFD39,39,Emotionen der Freude,positiv,1187.0,Freude,"Und sieh! er hat sich neu verjüngt, ihn hat
Die Kunst zum heitern Tempel ausgeschmückt,
Und ein harmonisch hoher Geist spricht uns
Aus dieser edeln Säulenordnung an,
Und regt den Sinn zu festlichen Gefühlen.
","['Und', 'sieh', '!', 'er', 'hat', 'sich', 'neu', 'verjüngt', ',', 'ihn', 'hat', 'Die', 'Kunst', 'zum', 'heitern', 'Tempel', 'ausgeschmückt', ',', 'Und', 'ein', 'harmonisch', 'hoher', 'Geist', 'spricht', 'uns', 'Aus', 'dieser', 'edeln', 'Säulenordnung', 'an', ',', 'Und', 'regt', 'den', 'Sinn', 'zu', 'festlichen', 'Gefühlen', '.']"
1,3,unbekannt,,,,,ER,positiv,2435.0,CATMA_F6E3F35D-DEC6-44F6-A8A5-9460309B6B00,32,Emotionen der Zuneigung,positiv,2267.0,Verehrung,"Denn schnell und spurlos geht des Mimen Kunst,
Die wunderbare, an dem Sinn vorüber,
Wenn das Gebild des Meißels, der Gesang
Des Dichters nach Jahrtausenden noch leben.
","['Denn', 'schnell', 'und', 'spurlos', 'geht', 'des', 'Mimen', 'Kunst', ',', 'Die', 'wunderbare', ',', 'an', 'dem', 'Sinn', 'vorüber', ',', 'Wenn', 'das', 'Gebild', 'des', 'Meißels', ',', 'der', 'Gesang', 'Des', 'Dichters', 'nach', 'Jahrtausenden', 'noch', 'leben', '.']"
2,4,unbekannt,,,,,ER,negativ,2610.0,CATMA_FB90F4B4-5990-443A-B135-81E781C59943,32,Emotionen des Leids,negativ,2435.0,Leid,"Hier stirbt der Zauber mit dem Künstler ab,
Und wie der Klang verhallet in dem Ohr,
Verrauscht des Augenblicks geschwinde Schöpfung,
Und ihren Ruhm bewahrt kein daurend Werk.
","['Hier', 'stirbt', 'der', 'Zauber', 'mit', 'dem', 'Künstler', 'ab', ',', 'Und', 'wie', 'der', 'Klang', 'verhallet', 'in', 'dem', 'Ohr', ',', 'Verrauscht', 'des', 'Augenblicks', 'geschwinde', 'Schöpfung', ',', 'Und', 'ihren', 'Ruhm', 'bewahrt', 'kein', 'daurend', 'Werk', '.']"
3,5,unbekannt,,,,,ER,positiv,3481.0,CATMA_99D16886-2D66-435C-A62C-77AA943A190D,45,Emotionen der Zuneigung,positiv,3233.0,Verehrung,"Nicht unwert des erhabenen Moments
Der Zeit, in dem wir strebend uns bewegen.
Denn nur der große Gegenstand vermag
Den tiefen Grund der Menschheit aufzuregen,
Im engen Kreis verengert sich der Sinn,
Es wächst der Mensch mit seinen größern Zwecken.
","['Nicht', 'unwert', 'des', 'erhabenen', 'Moments', 'Der', 'Zeit', ',', 'in', 'dem', 'wir', 'strebend', 'uns', 'bewegen', '.', 'Denn', 'nur', 'der', 'große', 'Gegenstand', 'vermag', 'Den', 'tiefen', 'Grund', 'der', 'Menschheit', 'aufzuregen', ',', 'Im', 'engen', 'Kreis', 'verengert', 'sich', 'der', 'Sinn', ',', 'Es', 'wächst', 'der', 'Mensch', 'mit', 'seinen', 'größern', 'Zwecken', '.']"
4,6,unbekannt,,,,,ER,negativ,4219.0,CATMA_6ADA6DEE-BE6D-4131-B74E-75F2372334DF,59,Emotionen des Leids,negativ,3862.0,Leid,"Zerfallen sehen wir in diesen Tagen
Die alte feste Form, die einst vor hundert
Und funfzig Jahren ein willkommner Friede
Europens Reichen gab, die teure Frucht
Von dreißig jammervollen Kriegesjahren.
Noch einmal laßt des Dichters Phantasie
Die düstre Zeit an euch vorüberführen,
Und blicket froher in die Gegenwart
Und in der Zukunft hoffnungsreiche Ferne.
","['Zerfallen', 'sehen', 'wir', 'in', 'diesen', 'Tagen', 'Die', 'alte', 'feste', 'Form', ',', 'die', 'einst', 'vor', 'hundert', 'Und', 'funfzig', 'Jahren', 'ein', 'willkommner', 'Friede', 'Europens', 'Reichen', 'gab', ',', 'die', 'teure', 'Frucht', 'Von', 'dreißig', 'jammervollen', 'Kriegesjahren', '.', 'Noch', 'einmal', 'laßt', 'des', 'Dichters', 'Phantasie', 'Die', 'düstre', 'Zeit', 'an', 'euch', 'vorüberführen', ',', 'Und', 'blicket', 'froher', 'in', 'die', 'Gegenwart', 'Und', 'in', 'der', 'Zukunft', 'hoffnungsreiche', 'Ferne', '.']"
5,7,unbekannt,,,,,ER,negativ,4731.0,CATMA_D5F5167D-0F29-4C40-82DB-B42FFE4FBF3A,84,Emotionen des Leids,negativ,4274.0,Leid,"Sechzehn Jahre der Verwüstung,
Des Raubs, des Elends sind dahingeflohn,
In trüben Massen gäret noch die Welt,
Und keine Friedenshoffnung strahlt von fern.
Ein Tummelplatz von Waffen ist das Reich,
Verödet sind die Städte, Magdeburg
Ist Schutt, Gewerb und Kunstfleiß liegen nieder,
Der Bürger gilt nichts mehr, der Krieger alles,
Straflose Frechheit spricht den Sitten Hohn,
Und rohe Horden lagern sich, verwildert
Im langen Krieg, auf dem verheerten Boden.
","['Sechzehn', 'Jahre', 'der', 'Verwüstung', ',', 'Des', 'Raubs', ',', 'des', 'Elends', 'sind', 'dahingeflohn', ',', 'In', 'trüben', 'Massen', 'gäret', 'noch', 'die', 'Welt', ',', 'Und', 'keine', 'Friedenshoffnung', 'strahlt', 'von', 'fern', '.', 'Ein', 'Tummelplatz', 'von', 'Waffen', 'ist', 'das', 'Reich', ',', 'Verödet', 'sind', 'die', 'Städte', ',', 'Magdeburg', 'Ist', 'Schutt', ',', 'Gewerb', 'und', 'Kunstfleiß', 'liegen', 'nieder', ',', 'Der', 'Bürger', 'gilt', 'nichts', 'mehr', ',', 'der', 'Krieger', 'alles', ',', 'Straflose', 'Frechheit', 'spricht', 'den', 'Sitten', 'Hohn', ',', 'Und', 'rohe', 'Horden', 'lagern', 'sich', ',', 'verwildert', 'Im', 'langen', 'Krieg', ',', 'auf', 'dem', 'verheerten', 'Boden', '.']"
6,9,unbekannt,,,,,ER,positiv,6268.0,CATMA_772A47DE-6013-4C75-8E59-5145F44ACED1,16,Emotionen der Zuneigung,positiv,6180.0,Verehrung,"Auf jene fremde kriegerische Bühne,
Die unser Held mit seinen Taten bald
Erfüllen wird.
","['Auf', 'jene', 'fremde', 'kriegerische', 'Bühne', ',', 'Die', 'unser', 'Held', 'mit', 'seinen', 'Taten', 'bald', 'Erfüllen', 'wird', '.']"
7,10,unbekannt,,,,,ER,positiv,6679.0,CATMA_2CEE1202-8E54-48A0-AF50-86DF61E54FE2,48,Emotionen der Freude,positiv,6419.0,Freude,"a danket ihrs, daß sie das düstre Bild
Der Wahrheit in das heitre Reich der Kunst
Hinüberspielt, die Täuschung, die sie schafft,
Aufrichtig selbst zerstört und ihren Schein
Der Wahrheit nicht betrüglich unterschiebt,
Ernst ist das Leben, heiter ist die Kunst.
","['a', 'danket', 'ihrs', ',', 'daß', 'sie', 'das', 'düstre', 'Bild', 'Der', 'Wahrheit', 'in', 'das', 'heitre', 'Reich', 'der', 'Kunst', 'Hinüberspielt', ',', 'die', 'Täuschung', ',', 'die', 'sie', 'schafft', ',', 'Aufrichtig', 'selbst', 'zerstört', 'und', 'ihren', 'Schein', 'Der', 'Wahrheit', 'nicht', 'betrüglich', 'unterschiebt', ',', 'Ernst', 'ist', 'das', 'Leben', ',', 'heiter', 'ist', 'die', 'Kunst', '.']"
8,15,bauer,,,,,ER,negativ,9169.0,CATMA_A97CEC9E-2C47-4A34-A25F-4F331A8B62B7,50,Emotionen der Ablehnung,negativ,8916.0,Abscheu,"Sind Einheimische, geborene Böhmen,
Von des Terschkas Karabinieren,
Liegen schon lang in diesen Quartieren.
Unter allen die Schlimmsten just,
Spreizen sich, werfen sich in die Brust,
Tun, als wenn sie zu fürnehm wären,
Mit dem Bauer ein Glas zu leeren.
","['Sind', 'Einheimische', ',', 'geborene', 'Böhmen', ',', 'Von', 'des', 'Terschkas', 'Karabinieren', ',', 'Liegen', 'schon', 'lang', 'in', 'diesen', 'Quartieren', '.', 'Unter', 'allen', 'die', 'Schlimmsten', 'just', ',', 'Spreizen', 'sich', ',', 'werfen', 'sich', 'in', 'die', 'Brust', ',', 'Tun', ',', 'als', 'wenn', 'sie', 'zu', 'fürnehm', 'wären', ',', 'Mit', 'dem', 'Bauer', 'ein', 'Glas', 'zu', 'leeren', '.']"
9,18,bauer,,,,,ER,negativ,9607.0,CATMA_13974A5B-12D9-4AA5-B94E-39B4DE74AB5D,15,Emotionen des Leids,negativ,9527.0,Leid,"Gnädige Herren, einen Bissen und Trunk,
Haben heut noch nichts Warmes gegessen.
","['Gnädige', 'Herren', ',', 'einen', 'Bissen', 'und', 'Trunk', ',', 'Haben', 'heut', 'noch', 'nichts', 'Warmes', 'gegessen', '.']"
10,20,ulan,,,,,ER,negativ,9721.0,CATMA_F64BC095-A4A6-485A-9058-E9B81C7DBB42,9,Emotionen der Ablehnung,negativ,9681.0,Abscheu,"Nichts gefrühstückt? Da trink, du Hund!
","['Nichts', 'gefrühstückt', '?', 'Da', 'trink', ',', 'du', 'Hund', '!']"
