,Unnamed: 0,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,793,attila,,,,,,VH,positiv,1708.0,CATMA_E694B96B-2069-48C4-8854-07C7B9C7DD2E,15,Emotionen der Freude,positiv,1626.0,Schadenfreude,"Unter diese würdigste rechnestu dich sonder Zweiffel auch mit, ist dem nicht also?","['Unter', 'diese', 'würdigste', 'rechnestu', 'dich', 'sonder', 'Zweiffel', 'auch', 'mit', ',', 'ist', 'dem', 'nicht', 'also', '?']"
1,796,,,,,,,VH,negativ,2958.0,CATMA_3EDFB1B8-AF0F-47E8-A65B-DDA34D49AE85,53,Emotionen der Ablehnung,negativ,2632.0,Abscheu,"Also rede ich mit dem jenigen, welcher mit beÿhülff eines aufrührischen Pöbelß nicht alß ein Soldat, sondern alß ein Raub gieriger Tÿrann frembder Völcker herrschafften und länder sich bemächtigt und gegen die überwundene nicht alß ein sieges held, sondern alß ein unuernünfftig und unmittleÿden loses thier zu wütden pflegt.
","['Also', 'rede', 'ich', 'mit', 'dem', 'jenigen', ',', 'welcher', 'mit', 'beÿhülff', 'eines', 'aufrührischen', 'Pöbelß', 'nicht', 'alß', 'ein', 'Soldat', ',', 'sondern', 'alß', 'ein', 'Raub', 'gieriger', 'Tÿrann', 'frembder', 'Völcker', 'herrschafften', 'und', 'länder', 'sich', 'bemächtigt', 'und', 'gegen', 'die', 'überwundene', 'nicht', 'alß', 'ein', 'sieges', 'held', ',', 'sondern', 'alß', 'ein', 'unuernünfftig', 'und', 'unmittleÿden', 'loses', 'thier', 'zu', 'wütden', 'pflegt', '.']"
2,800,attila,,,,,,VH,negativ,3379.0,CATMA_6B793089-1516-457D-9B89-824DDB7094FD,10,Emotionen der Ablehnung,negativ,3322.0,Ärger,"Wie ist man so saumseelig in vollziehung meines befehlß?
","['Wie', 'ist', 'man', 'so', 'saumseelig', 'in', 'vollziehung', 'meines', 'befehlß', '?']"
3,806,attila,,,,,,VH,positiv,5898.0,CATMA_D6EAD163-CA76-457B-BD22-864387910D21,25,Emotionen der Freude,positiv,5753.0,Schadenfreude,"Vndt waß Vrtheillest du dan auß dem lauff der sterne von deinen Todt soll selber kürtzlich oder langsam, gewaltsam oder natürlich dier begegnen?
","['Vndt', 'waß', 'Vrtheillest', 'du', 'dan', 'auß', 'dem', 'lauff', 'der', 'sterne', 'von', 'deinen', 'Todt', 'soll', 'selber', 'kürtzlich', 'oder', 'langsam', ',', 'gewaltsam', 'oder', 'natürlich', 'dier', 'begegnen', '?']"
4,810,attila,,philistenes,,,,VH,negativ,6396.0,CATMA_1527A080-7BD8-4AC7-B192-BA6D0F45C08D,10,Emotionen der Ablehnung,negativ,6336.0,Ärger,"Kein worth mehr, man vollführe augenblicklich vnsern befehl.","['Kein', 'worth', 'mehr', ',', 'man', 'vollführe', 'augenblicklich', 'vnsern', 'befehl', '.']"
5,811,attila,,,,,,VH,positiv,6900.0,CATMA_4A540454-748B-4B2D-BC89-12F13506A4A8,7,Emotionen der Freude,positiv,6848.0,Freude,"Aber hier kombt meine Hertzenserquickhung Lerianna.
","['Aber', 'hier', 'kombt', 'meine', 'Hertzenserquickhung', 'Lerianna', '.']"
6,812,,,,,,,VH,positiv,7173.0,CATMA_2B170B76-1C40-41E9-A103-2FE228CF6534,37,Emotionen der Zuneigung,positiv,6935.0,Verehrung,"Mächtiger welt bezwünger. Hier erscheinet Lerianna vor dem gnaden Thron ewer Vnüberwindlichen Maÿestät sich zu vernaygen, vnd euch als ein einzige Gottheit, welche sie in den liebes=tempel ihrers Hertzens anbettet demüttigst zu verehren.
","['Mächtiger', 'welt', 'bezwünger', '.', 'Hier', 'erscheinet', 'Lerianna', 'vor', 'dem', 'gnaden', 'Thron', 'ewer', 'Vnüberwindlichen', 'Maÿestät', 'sich', 'zu', 'vernaygen', ',', 'vnd', 'euch', 'als', 'ein', 'einzige', 'Gottheit', ',', 'welche', 'sie', 'in', 'den', 'liebes=tempel', 'ihrers', 'Hertzens', 'anbettet', 'demüttigst', 'zu', 'verehren', '.']"
7,813,,,,,,,VH,positiv,7288.0,CATMA_B0578966-EB11-46EB-A4A0-20687AD65C18_0,17,Emotionen der Zuneigung,positiv,7205.0,Liebe,"Eine solche schönheit als die ewrige, Meine seel kan sich wol einen Gott zu lieben,","['Eine', 'solche', 'schönheit', 'als', 'die', 'ewrige', ',', 'Meine', 'seel', 'kan', 'sich', 'wol', 'einen', 'Gott', 'zu', 'lieben', ',']"
8,814,,,,,,,VH,positiv,7518.0,CATMA_B0578966-EB11-46EB-A4A0-20687AD65C18_1,32,Emotionen der Zuneigung,positiv,7323.0,Liebe,"Machet mich meine Tapfferkeit dem Gott Mars gleich, So machet euch ewere Göttliche schönheit zu einer Venus. Lasse vns derowegen vnsere Hertzen gleich den ihrigen durch ewige liebe vereinbahren.
","['Machet', 'mich', 'meine', 'Tapfferkeit', 'dem', 'Gott', 'Mars', 'gleich', ',', 'So', 'machet', 'euch', 'ewere', 'Göttliche', 'schönheit', 'zu', 'einer', 'Venus', '.', 'Lasse', 'vns', 'derowegen', 'vnsere', 'Hertzen', 'gleich', 'den', 'ihrigen', 'durch', 'ewige', 'liebe', 'vereinbahren', '.']"
9,816,,,,,,,VH,positiv,7636.0,CATMA_0857C07F-BC16-4A5D-8243-58805A7BCE61,20,Emotionen der Zuneigung,positiv,7529.0,Liebe,"O das Eüer Mayestät liebe so heis brennend als die meinige wäre, wie überglüklich wurde ich mich schätzen.
","['O', 'das', 'Eüer', 'Mayestät', 'liebe', 'so', 'heis', 'brennend', 'als', 'die', 'meinige', 'wäre', ',', 'wie', 'überglüklich', 'wurde', 'ich', 'mich', 'schätzen', '.']"
