,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,unbekannt,unbekannt,unbekannt,,,VH,Emotionale Bewegtheit,2510,CATMA_3B365A72-D201-4F8C-B759-1290799B6416,10,Emotionale Bewegtheit,Emotionale Bewegtheit,2465,Emotionale Bewegtheit,"Fühl' ich mein Herz noch jenem Wahn geneigt?
","['Fühl', ""'"", 'ich', 'mein', 'Herz', 'noch', 'jenem', 'Wahn', 'geneigt', '?']"
1,,unbekannt,,,,VH,Emotionale Bewegtheit,2648,CATMA_CEEF0D8C-C4EB-4885-BE63-949EDE80D9EF,6,Emotionale Bewegtheit,Emotionale Bewegtheit,2603,Emotionale Bewegtheit,"Mein Busen fühlt sich jugendlich erschüttert
","['Mein', 'Busen', 'fühlt', 'sich', 'jugendlich', 'erschüttert']"
2,unbekannt,unbekannt,,,,VH,positiv,2735,CATMA_8E6559B3-7265-4CE7-B3FE-8E13013B3367,9,Emotionen der Freude,positiv,2691,Freude,"Ihr bringt mit euch die Bilder froher Tage,
","['Ihr', 'bringt', 'mit', 'euch', 'die', 'Bilder', 'froher', 'Tage', ',']"
3,unbekannt,unbekannt,,,,VH,positiv,2774,CATMA_01C3E535-228B-4ABA-9B85-D92A22BB12EC,7,Emotionen der Zuneigung,positiv,2735,Liebe,"Und manche liebe Schatten steigen auf;
","['Und', 'manche', 'liebe', 'Schatten', 'steigen', 'auf', ';']"
4,unbekannt,unbekannt,,,,VH,positiv,2833,CATMA_6A755A3C-D356-4959-879A-FDD382328310_0,4,Emotionen der Zuneigung,positiv,2815,Liebe,Kommt erste Lieb' ,"['Kommt', 'erste', 'Lieb', ""'""]"
5,unbekannt,unbekannt,,,,VH,positiv,2862,CATMA_6A755A3C-D356-4959-879A-FDD382328310_1,3,Emotionen der Zuneigung,positiv,2850,Liebe,"mit herauf;
","['mit', 'herauf', ';']"
6,unbekannt,unbekannt,,,,VH,positiv,2821,CATMA_7107046F-0C25-47F0-995B-999D739CC000_0,1,Emotionen der Zuneigung,positiv,2815,Freundschaft,Kommt ,['Kommt']
7,unbekannt,unbekannt,,,,VH,positiv,2862,CATMA_7107046F-0C25-47F0-995B-999D739CC000_1,4,Emotionen der Zuneigung,positiv,2837,Freundschaft,"Freundschaft mit herauf;
","['Freundschaft', 'mit', 'herauf', ';']"
8,,unbekannt,,,,VH,negativ,3037,CATMA_CAE46DFE-5C3F-4CC3-A44F-C137E4F5BF06,33,Emotionen des Leids,negativ,2862,Leid,"Der Schmerz wird neu, es wiederholt die Klage
Des Lebens labyrinthisch irren Lauf,
Und nennt die Guten, die, um schöne Stunden
Vom Glück getäuscht, vor mir hinweggeschwunden.
","['Der', 'Schmerz', 'wird', 'neu', ',', 'es', 'wiederholt', 'die', 'Klage', 'Des', 'Lebens', 'labyrinthisch', 'irren', 'Lauf', ',', 'Und', 'nennt', 'die', 'Guten', ',', 'die', ',', 'um', 'schöne', 'Stunden', 'Vom', 'Glück', 'getäuscht', ',', 'vor', 'mir', 'hinweggeschwunden', '.']"
9,unbekannt,unbekannt,,,,VH,positiv,3156,CATMA_4E3CEE8C-C81F-4D44-8946-B604EBD89D96,6,Emotionen der Zuneigung,positiv,3116,Freundschaft,"Zerstoben ist das freundliche Gedränge,
","['Zerstoben', 'ist', 'das', 'freundliche', 'Gedränge', ',']"
10,unbekannt,unbekannt,,,,VH,negativ,3195,CATMA_F5AAAFE9-8F88-45D2-960D-FEA3D3903D17,8,Emotionen des Leids,negativ,3156,Leid,"Verklungen, ach! der erste Widerklang.
","['Verklungen', ',', 'ach', '!', 'der', 'erste', 'Widerklang', '.']"
11,unbekannt,unbekannt,,,,VH,negativ,3726,CATMA_B77C91E9-EB8C-41D4-8E41-DBBBF0ACD36A,41,Emotionen des Leids,negativ,3542,Leid,"Ein Schauer faßt mich, Träne folgt den Tränen,
Das strenge Herz, es fühlt sich mild und weich;
Was ich besitze, seh' ich wie im Weiten,
Und was verschwand, wird mir zu Wirklichkeiten.
","['Ein', 'Schauer', 'faßt', 'mich', ',', 'Träne', 'folgt', 'den', 'Tränen', ',', 'Das', 'strenge', 'Herz', ',', 'es', 'fühlt', 'sich', 'mild', 'und', 'weich', ';', 'Was', 'ich', 'besitze', ',', 'seh', ""'"", 'ich', 'wie', 'im', 'Weiten', ',', 'Und', 'was', 'verschwand', ',', 'wird', 'mir', 'zu', 'Wirklichkeiten', '.']"
