,comedies_pre1_tag_type,comedies_pre1_tag_type_percentage,tragedies_pre1_tag_type,tragedies_pre1_tag_type_percentage,schauspiel_pre1_tag_type,schauspiel_pre1_tag_type_percentage
Schadenfreude,1550,0.6811001305075735,839,0.44530072394539627,513,0.4643794695392414
abhorrence,8083,3.551827325737236,10558,5.603677048171029,4445,4.023716846202588
"admiration, reverence",6265,2.752962785567708,6963,3.695624482517037,3805,3.4443740382004164
anger,14640,6.43310058750379,8395,4.455660998237905,5229,4.7334117860052505
being moved,13183,5.792866464826671,10483,5.563870666411906,6577,5.953652575359826
compassion,1998,0.877960039196214,1698,0.9012164830265589,1201,1.0871729881415768
desire,71,0.031198780171637235,92,0.048829161624524976,33,0.029872363537612023
despair,1188,0.5220302935761272,2780,1.4754898838715156,1272,1.1514438309043178
fear,5068,2.2269777170402465,6627,3.517291892236164,2873,2.6007060740472525
friendship,1346,0.5914585649439961,1081,0.5737426490881684,686,0.6209830723273287
joy,13807,6.067064194785849,10262,5.446574528161689,7019,6.353761202136327
love,8964,3.93895585152896,9555,5.07133303611235,5185,4.693581967955101
no_annotation,138280,60.762920030056286,100285,53.22643992951617,62688,56.7466280438128
suffering,13130,5.769577234557702,18794,9.974948517079591,8944,8.096315741830361
