,Unnamed: 0.1,Unnamed: 0.1.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,3181,3181,GerDracor/schiller-kabale-und-liebe.xml,Ferdinand.,0,10,stage_direction,5,8,pre_speech,,,,,no_annotation,tragedy,,1784.0,no_annotation,no_annotation
1,3182,3182,GerDracor/schiller-kabale-und-liebe.xml,Der Präsident.,11,25,stage_direction,5,8,pre_speech,,,,,no_annotation,tragedy,,1784.0,no_annotation,no_annotation
2,3183,3183,GerDracor/schiller-kabale-und-liebe.xml,"Wurm und Bediente, welche alle voll Schrecken ins Zimmer
            stürzen; darauf Miller mit Volk und Gerichtsdienern, welche sich im Hintergrund
            sammeln.",26,195,stage_direction,5,8,pre_speech,,,,,no_annotation,tragedy,,1784.0,no_annotation,no_annotation
3,3184,3184,GerDracor/schiller-kabale-und-liebe.xml,den Brief in der Hand.,0,22,stage_direction,5,8,speech_part,,#praesident,905.0,MALE,no_annotation,tragedy,,1784.0,no_annotation,no_annotation
4,3185,3185,GerDracor/schiller-kabale-und-liebe.xml,"Sohn, was ist das?",0,18,character_speech,5,8,,PRÄSIDENT,#praesident,905.0,MALE,no_annotation,tragedy,,1784.0,no_annotation,no_annotation
5,3186,3186,GerDracor/schiller-kabale-und-liebe.xml,– Ich will doch nimmermehr glauben –,19,55,character_speech,5,8,,PRÄSIDENT,#praesident,905.0,MALE,no_annotation,tragedy,,1784.0,no_annotation,no_annotation
6,3187,3187,GerDracor/schiller-kabale-und-liebe.xml,wirft ihm das Glas vor die Fuße.,0,32,stage_direction,5,8,speech_part,,#ferdinand,906.0,MALE,no_annotation,tragedy,,1784.0,no_annotation,no_annotation
7,3188,3188,GerDracor/schiller-kabale-und-liebe.xml,"So sieh, Mörder!",0,16,character_speech,5,8,,FERDINAND,#ferdinand,906.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
8,3189,3189,GerDracor/schiller-kabale-und-liebe.xml,taumelt hinter sich.,0,20,stage_direction,5,8,speech_part,,#praesident,907.0,MALE,fear,tragedy,,1784.0,negative,emotions of anxiety
9,3190,3190,GerDracor/schiller-kabale-und-liebe.xml,Alle erstarren.,21,36,stage_direction,5,8,speech_part,,#praesident,907.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
