,_1650_1730_pre1_tag_type,_1650_1730_pre1_tag_type_percentage,_1730_1770_pre1_tag_type,_1730_1770_pre1_tag_type_percentage,_1770_1815_pre1_tag_type,_1770_1815_pre1_tag_type_percentage
Schadenfreude,14,"3,10421286031042",12,"0,804289544235925",188,"1,82082324455206"
abhorrence,52,"11,529933481153",72,"4,82573726541555",422,"4,08716707021792"
"admiration, reverence",25,"5,54323725055432",74,"4,9597855227882",501,"4,85230024213075"
anger,92,"20,3991130820399",270,"18,0965147453083",1402,"13,5786924939467"
being moved,21,"4,65631929046563",244,"16,3538873994638",2560,"24,7941888619855"
compassion,2,"0,443458980044346",7,"0,469168900804289",42,"0,406779661016949"
desire,1,"0,221729490022173",0,0,20,"0,193704600484261"
despair,5,"1,10864745011086",6,"0,402144772117963",155,"1,50121065375303"
fear,36,"7,98226164079823",131,"8,78016085790885",967,"9,36561743341404"
friendship,3,"0,665188470066519",4,"0,268096514745308",37,"0,358353510895884"
joy,87,"19,290465631929",362,"24,2627345844504",1500,"14,5278450363196"
love,21,"4,65631929046563",88,"5,89812332439678",726,"7,03147699757869"
suffering,92,"20,3991130820399",222,"14,8793565683646",1805,"17,4818401937046"
