,_1650_1730_pre1_tag_type,_1650_1730_pre1_tag_type_percentage,_1730_1770_pre1_tag_type,_1730_1770_pre1_tag_type_percentage,_1770_1815_pre1_tag_type,_1770_1815_pre1_tag_type_percentage
Schadenfreude,367,1.3197166384983279,383,1.08856298317417,1475,1.282831796834232
abhorrence,3670,13.197166384983278,3664,10.413824465666211,11537,10.033918942424771
"admiration, reverence",2987,10.74112697328203,2633,7.483515234197362,8228,7.15602713515394
anger,2895,10.410298824121687,4638,13.18212824010914,14732,12.812663071838582
being moved,1843,6.627350857636018,4620,13.130968622100955,16071,13.977213428422333
compassion,388,1.3952317595023194,963,2.7370395634379263,2784,2.421290659245086
desire,41,0.14743428386493582,9,0.02557980900409277,96,0.08349278135327882
despair,355,1.2765651407817613,802,2.279445202364711,2932,2.5500086971647242
fear,1849,6.6489266064943005,1919,5.4541837198726695,6898,5.999304226822056
friendship,230,0.8270703729008594,718,2.040700318326512,1711,1.488084884327709
joy,3094,11.125894494588083,4356,12.3806275579809,16444,14.30161767263872
love,2832,10.183753461109713,3988,11.334697589813551,12920,11.236736823795443
suffering,7258,26.09946420223669,6491,18.448726693951798,19152,16.656809879979125
