,Unnamed: 0,pre1_tag_type_cp,pre1_tag_type_percentage_cp,pre1_tag_type_sd,pre1_tag_type_percentage_sd
0,Schadenfreude,383,1.08856298317417,12,"0,804289544235925"
1,abhorrence,3664,10.413824465666213,72,"4,82573726541555"
2,"admiration, reverence",2633,7.4835152341973625,74,"4,9597855227882"
3,anger,4638,13.18212824010914,270,"18,0965147453083"
4,being moved,4620,13.130968622100953,244,"16,3538873994638"
5,compassion,963,2.7370395634379263,7,"0,469168900804289"
6,desire,9,0.02557980900409277,0,0
7,despair,802,2.2794452023647107,6,"0,402144772117963"
8,fear,1919,5.4541837198726695,131,"8,78016085790885"
9,friendship,718,2.040700318326512,4,"0,268096514745308"
10,joy,4356,12.3806275579809,362,"24,2627345844504"
11,love,3988,11.334697589813551,88,"5,89812332439678"
12,suffering,6491,18.4487266939518,222,"14,8793565683646"
