,pre1_tag_type,pre1_tag_type_percentage
Schadenfreude,367,0.7248809970570227
abhorrence,3670,7.2488099705702265
"admiration, reverence",2987,5.89978075806356
anger,2895,5.71806672065417
being moved,1843,3.6402062059294082
compassion,388,0.7663592012482965
desire,41,0.08098125580201071
despair,355,0.7011791660905805
fear,1849,3.652057121412629
friendship,230,0.4542850935234747
joy,3094,6.1111220841810034
love,2832,5.5936321080803495
no_annotation,22820,45.07298188785084
suffering,7258,14.335657429536433
