,pre1_tag_type,pre1_tag_type_percentage
Schadenfreude,383,0.5057507691901385
abhorrence,3664,4.838305008649262
"admiration, reverence",2633,3.4768714759207175
anger,4638,6.124470150140633
being moved,4620,6.100701184486788
compassion,963,1.2716396624806878
desire,9,0.011884482826922315
despair,802,1.0590394696879664
fear,1919,2.5340358383182138
friendship,718,0.9481176299700247
joy,4356,5.7520896882304005
love,3988,5.2661463904184656
no_annotation,40545,53.53959513528503
suffering,6491,8.57135311439475
