,comedies_pre1_tag_type,comedies_pre1_tag_type_percentage,tragedies_pre1_tag_type,tragedies_pre1_tag_type_percentage,schauspiel_pre1_tag_type,schauspiel_pre1_tag_type_percentage
Schadenfreude,51,0.5208865284444898,31,0.3666035950804163,31,0.5510131532172059
abhorrence,358,3.6564191604534777,435,5.144276253547777,286,5.083540703874867
"admiration, reverence",328,3.3500153201920133,254,3.0037842951750235,307,5.456807678634909
anger,504,5.147584516392605,317,3.7488174077578056,220,3.91041592605759
being moved,632,6.454907568174854,501,5.924787133396405,329,5.847849271240668
compassion,66,0.6740884485752221,103,1.218070009460738,69,1.2264486313544258
desire,2,0.02042692268409764,3,0.035477767265846734,2,0.03554923569143263
despair,76,0.7762230619957103,218,2.578051087984863,87,1.5463917525773196
fear,177,1.8077826575426412,303,3.5832544938505206,140,2.4884464984002843
friendship,64,0.6536615258911245,45,0.532166508987701,37,0.6576608602915037
joy,775,7.915432540087836,484,5.723746452223273,510,9.065055101315322
love,519,5.300786436523338,412,4.872280037842952,363,6.452186277995023
no_annotation,5675,57.961393116127056,4563,53.96168401135289,2770,49.2356914326342
suffering,564,5.760392196915535,787,9.307000946073794,475,8.44294347671525
