,pre1_tag_type,pre1_tag_type_percentage
Schadenfreude,113,0.4733380806769154
abhorrence,1079,4.519750345578688
"admiration, reverence",889,3.723872156829892
anger,1041,4.360574707828928
being moved,1462,6.124073220793365
compassion,238,0.9969421522221756
desire,7,0.02932182800653458
despair,381,1.5959452100699534
fear,620,2.597076194864491
friendship,146,0.611569555564864
joy,1769,7.410044820508524
love,1294,5.420349348636535
no_annotation,13008,54.48833410128597
suffering,1826,7.648808277133163
