,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,0,Kasperl/Perinet_Baarfuss_korr.csv,"
      (Das unterirdische Reich der Gegenfüßler in Gestalt einer Höhle.)",0,72,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1,1,Kasperl/Perinet_Baarfuss_korr.csv,"
      Vizlipuzli.",0,18,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
2,2,Kasperl/Perinet_Baarfuss_korr.csv,Haraxdax.,19,28,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
3,3,Kasperl/Perinet_Baarfuss_korr.csv,Tschiriwiriwi und Zickzack.,29,56,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
4,4,Kasperl/Perinet_Baarfuss_korr.csv,Mehrere Gegenfüßler.,57,77,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
5,5,Kasperl/Perinet_Baarfuss_korr.csv,Seine Kammermusik musizirt beym Aufrollen der Cortine.,78,132,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
6,6,Kasperl/Perinet_Baarfuss_korr.csv,Einige tanzen.,133,147,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
7,7,Kasperl/Perinet_Baarfuss_korr.csv,"
      Kurzer Introductions-Chor.",0,33,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
8,8,Kasperl/Perinet_Baarfuss_korr.csv,"
       
        Verkehrt ist unsers Reiches Ax,
       
       
        Hoch Vizlipuzli, Haraxdax!",0,99,character_speech,1,1,,"
        Kurzer Introductions-Chor.
       ",#introductions-chor.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
9,9,Kasperl/Perinet_Baarfuss_korr.csv,"Hoch Zickzack, Tschiriwiriwi!",124,153,character_speech,1,1,,"
        Kurzer Introductions-Chor.
       ",#introductions-chor.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
10,10,Kasperl/Perinet_Baarfuss_korr.csv,"–
       
       
        Es leb’ das Reich der Phantasie!",154,212,character_speech,1,1,,"
        Kurzer Introductions-Chor.
       ",#introductions-chor.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
11,11,Kasperl/Perinet_Baarfuss_korr.csv,"
       Dank euch, meine Getreuen!",0,34,character_speech,1,1,,"
       Vizlipuzli.
      ",#vizlipuzli,2.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
