,pre1_tag_type,pre1_tag_type_percentage
Schadenfreude,2902,0.5512341985544823
abhorrence,23086,4.385180119858298
"admiration, reverence",17033,3.2354142329353888
anger,28264,5.3687399682783905
being moved,30243,5.744650539932188
compassion,4897,0.9301839663409028
desire,196,0.03723015262463078
despair,5240,0.9953367334340067
fear,14568,2.7671880787531697
friendship,3113,0.591313597553447
joy,31088,5.9051580856863355
love,23704,4.502569070480858
no_annotation,301253,57.2229345338158
suffering,40868,7.762866721752097
