,Unnamed: 0,pre1_tag_type_cp,pre1_tag_type_percentage_cp,pre1_tag_type_sd,pre1_tag_type_percentage_sd
0,Schadenfreude,1475,0.5846956411435458,188,0.3948833203806003
1,abhorrence,11537,4.573310923303788,422,0.8863870276628371
2,"admiration, reverence",8228,3.261610668019725,501,1.0523220399504296
3,anger,14732,5.839821142594383,1402,2.944821357306392
4,being moved,16071,6.370605863605372,2560,5.3771345753954085
5,compassion,2784,1.1035882474194112,42,0.08821861412758092
6,desire,96,0.03805476715239349,20,0.04200886387027663
7,despair,2932,1.1622560134460178,155,0.32556869499464386
8,fear,6898,2.734393581429274,967,2.0311285681278752
9,friendship,1711,0.6782469437265131,37,0.07771639816001176
10,joy,16444,6.5184644901454005,1500,3.150664790270747
11,love,12920,5.121537412592956,726,1.5249217584910415
12,no_annotation,137288,54.421488258518714,37284,78.3129240269697
13,suffering,19152,7.5919260469025,1805,3.7912999642924654
