,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,year_genre,genre,subgenre,date
0,0,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Leander, und Hanswurst.",0,23,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
1,1,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Beyde kommen auf das Theater ohne ein Wort zu reden, und nach einer eile fängt
            Leander zu seufzen an.",0,113,stage_direction,1,1,pre_speech,,,,,suffering,negative,emotions of suffering and empathy,_1730_1770,,,
11,11,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,in vollem Eifer.,0,16,stage_direction,1,1,speech_part,,#leander,7.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
39,39,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Er giebt dem Hanswurst einen Brief.,0,35,stage_direction,1,1,inner_speech,,#leander,25.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
40,40,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,nihmt selben.,0,13,stage_direction,1,1,speech_part,,#hanswurst,26.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
44,44,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Ziehet einen Brief her
                aus.",0,43,stage_direction,1,1,inner_speech,,#hanswurst,28.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
50,50,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Geht in das
                Odoardo Haus.",0,41,stage_direction,1,1,inner_speech,,#hanswurst,32.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
51,51,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,im Abgehn.,0,10,stage_direction,1,1,speech_part,,#leander,33.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
54,54,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Geht auch ab.,0,13,stage_direction,1,1,inner_speech,,#leander,33.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
55,55,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Zimmer des Odoardo, mit einem Mische, und etliche um selben herumstehenden
            Geldtrühen.",0,98,stage_direction,1,2,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
56,56,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"sitzt im Schlafrock, und eine grosse Perüque aufhabend, beym Tische.",0,68,stage_direction,1,2,speech_part,,#odoardo,34.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
80,80,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Im Abgehen.,0,11,stage_direction,1,3,inner_speech,,#odoardo,42.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
82,82,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Und ab.,0,7,stage_direction,1,3,inner_speech,,#odoardo,42.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
83,83,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Hanswurst, und Odoardo.",0,23,stage_direction,1,4,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
84,84,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Odoardo.,0,11,stage_direction,1,4,speech_part,,#hanswurst,43.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
89,89,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Er ließt.,0,9,stage_direction,1,4,inner_speech,,#hanswurst,45.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
92,92,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Er nihmt dem Hanswurst den Brief aus der Hand, liest mit der brülle
                schnofelnd.",0,95,stage_direction,1,4,inner_speech,,#odoardo,46.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
99,99,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,vor sich.,0,9,stage_direction,1,4,speech_part,,#odoardo,50.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
101,101,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Er liest.,0,9,stage_direction,1,4,inner_speech,,#odoardo,50.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
107,107,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,vor sich.,0,9,stage_direction,1,4,speech_part,,#odoardo,51.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
109,109,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Hanswurst.,0,13,stage_direction,1,4,inner_speech,,#odoardo,51.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
113,113,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Giebt dem Odoardo einen rief.,0,29,stage_direction,1,4,inner_speech,,#hanswurst,52.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
114,114,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"nihmt denselben, Hanswurst vor sich.",0,36,stage_direction,1,4,speech_part,,#odoardo,53.0,MALE,abhorrence,negative,emotions of rejection,_1730_1770,,,
116,116,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Zu
                Hanswurst.",0,29,stage_direction,1,4,inner_speech,,#odoardo,53.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
121,121,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Er liest wieder mit den Brüllen.,0,32,stage_direction,1,4,inner_speech,,#odoardo,55.0,MALE,abhorrence,negative,emotions of rejection,_1730_1770,,,
131,131,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Hanswurst.,0,13,stage_direction,1,4,inner_speech,,#odoardo,56.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
141,141,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zornig.,0,7,stage_direction,1,4,speech_part,,#hanswurst,61.0,MALE,anger,negative,emotions of rejection,_1730_1770,,,
146,146,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Er sieht den Leander kommen.,0,28,stage_direction,1,4,inner_speech,,#hanswurst,63.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
151,151,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,vor sich.,0,9,stage_direction,1,5,speech_part,,#odoardo,65.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
153,153,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Leander.,0,11,stage_direction,1,5,inner_speech,,#odoardo,65.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
168,168,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Will
                gehen.",0,27,stage_direction,1,5,inner_speech,,#odoardo,71.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
171,171,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zornig.,0,7,stage_direction,1,5,speech_part,,#leander,74.0,MALE,anger,negative,emotions of rejection,_1730_1770,,,
173,173,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Geht zornig
              ab.",0,29,stage_direction,1,5,inner_speech,,#leander,74.0,MALE,anger,negative,emotions of rejection,_1730_1770,,,
174,174,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,ruft ihm nach.,0,14,stage_direction,1,5,speech_part,,#odoardo,75.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
177,177,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,vor sich.,0,9,stage_direction,1,5,speech_part,,#hanswurst,76.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
179,179,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,vor sich.,0,9,stage_direction,1,5,speech_part,,#odoardo,77.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
181,181,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Er lacht.,0,9,stage_direction,1,5,inner_speech,,#odoardo,77.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
184,184,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Sieht den Hanswurst.,0,20,stage_direction,1,5,inner_speech,,#odoardo,77.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
196,196,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Stost ihm die Faust unter
                das Gesicht.",0,54,stage_direction,1,5,inner_speech,,#hanswurst,86.0,MALE,anger,negative,emotions of rejection,_1730_1770,,,
204,204,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Er rupft ihn bey der Perüque.,0,29,stage_direction,1,5,inner_speech,,#hanswurst,90.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
209,209,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Schnalzt ihm in das Gesicht.,0,28,stage_direction,1,5,inner_speech,,#hanswurst,92.0,MALE,anger,negative,emotions of rejection,_1730_1770,,,
212,212,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Die Vorigen, und Riepel.",0,24,stage_direction,1,6,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
214,214,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,voll Zorn.,0,10,stage_direction,1,6,speech_part,,#odoardo,95.0,MALE,anger,negative,emotions of rejection,_1730_1770,,,
217,217,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,vor sich.,0,9,stage_direction,1,6,speech_part,,#hanswurst,97.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
219,219,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Odoardo.,0,11,stage_direction,1,6,inner_speech,,#hanswurst,97.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
221,221,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Lauft ab.,0,9,stage_direction,1,6,inner_speech,,#hanswurst,97.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
222,222,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Riepel bleibt stehen.,0,21,stage_direction,1,6,speech_part,,#hanswurst,97.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
229,229,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Und ab.,0,7,stage_direction,1,6,inner_speech,,#riepel,101.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
230,230,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,allein.,0,7,stage_direction,1,6,speech_part,,#odoardo,102.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
235,235,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Geht ab.,0,8,stage_direction,1,6,inner_speech,,#odoardo,102.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
