,pre1_tag_type,pre1_tag_type_percentage
Schadenfreude,434,1.06767694162218
abhorrence,1415,3.481020443307339
"admiration, reverence",1091,2.6839528647691213
anger,2798,6.883318162808433
being moved,2676,6.5831877782971295
compassion,345,0.8487293660360649
desire,26,0.06396221309257301
despair,160,0.3936136190312185
fear,1040,2.55848852370292
friendship,259,0.6371620458067849
joy,2741,6.743093311028561
love,1822,4.482275086718
no_annotation,23825,58.611527958867384
suffering,2017,4.961991684912298
