,pre1_tag_type,pre1_tag_type_percentage
Schadenfreude,839,0.44530072394539627
abhorrence,10558,5.603677048171029
"admiration, reverence",6963,3.695624482517037
anger,8395,4.455660998237905
being moved,10483,5.563870666411906
compassion,1698,0.9012164830265589
desire,92,0.048829161624524976
despair,2780,1.4754898838715156
fear,6627,3.517291892236164
friendship,1081,0.5737426490881684
joy,10262,5.446574528161689
love,9555,5.07133303611235
no_annotation,100285,53.22643992951617
suffering,18794,9.974948517079591
