,pre1_tag_type,pre1_tag_type_percentage
Schadenfreude,188,0.3948833203806003
abhorrence,422,0.886387027662837
"admiration, reverence",501,1.0523220399504296
anger,1402,2.9448213573063917
being moved,2560,5.3771345753954085
compassion,42,0.08821861412758092
desire,20,0.04200886387027663
despair,155,0.32556869499464386
fear,967,2.0311285681278752
friendship,37,0.07771639816001176
joy,1500,3.150664790270747
love,726,1.5249217584910415
no_annotation,37284,78.31292402696968
suffering,1805,3.7912999642924654
