,pre1_tag_type,pre1_tag_type_percentage
Schadenfreude,1475,0.5846956411435458
abhorrence,11537,4.573310923303788
"admiration, reverence",8228,3.261610668019725
anger,14732,5.839821142594383
being moved,16071,6.3706058636053715
compassion,2784,1.1035882474194112
desire,96,0.03805476715239349
despair,2932,1.1622560134460178
fear,6898,2.734393581429274
friendship,1711,0.6782469437265131
joy,16444,6.5184644901454005
love,12920,5.121537412592956
no_annotation,137288,54.421488258518714
suffering,19152,7.5919260469025005
