,file,genre,bp_negative_abs,bp_positive_abs,bp_em1_abs,bp_negative_per,bp_positive_per,bp_em1_per,mec_suffering_abs,mec_rejection_abs,mec_affection_abs,mec_joy_abs,mec_fear_abs,mec_em2_abs,mec_suffering_per,mec_rejection_per,mec_affection_per,mec_joy_per,mec_fear_per,mec_em2_per,tt_suffering_abs,tt_love_abs,tt_fear_abs,tt_joy_abs,tt_hate_abs,tt_admiration_abs,tt_schadenfreude_abs,tt_em3_abs,tt_friendship_abs,tt_despair_abs,tt_desire_abs,tt_compassion_abs,tt_anger_abs,tt_suffering_per,tt_love_per,tt_fear_per,tt_joy_per,tt_hate_per,tt_admiration_per,tt_schadenfreude_per,tt_em3_per,tt_friendship_per,tt_despair_per,tt_desire_per,tt_compassion_per,tt_anger_per
0,GerDracor/schiller-kabale-und-liebe.xml,tragedy,1457,585,512,0.5704776820673454,0.22905246671887236,0.2004698512137823,391,692,307,247,295,622,0.15309318715740017,0.27094753328112764,0.120203602192639,0.09671104150352389,0.11550509005481598,0.24353954581049334,319,154,211,221,187,116,31,776,13,68,0,34,424,0.12490211433046201,0.060297572435395456,0.08261550509005482,0.086530931871574,0.07321848081440877,0.04541895066562255,0.012137823022709476,0.3038371182458888,0.005090054815974941,0.02662490211433046,0,0.01331245105716523,0.16601409553641347
1,GerDracor/lessing-philotas.xml,tragedy,364,202,88,0.5565749235474006,0.308868501529052,0.1345565749235474,110,190,113,91,61,89,0.16819571865443425,0.290519877675841,0.172782874617737,0.13914373088685014,0.09327217125382263,0.13608562691131498,93,45,44,79,41,36,7,143,17,22,0,18,109,0.14220183486238533,0.06880733944954129,0.0672782874617737,0.12079510703363915,0.06269113149847094,0.05504587155963303,0.010703363914373088,0.21865443425076453,0.02599388379204893,0.03363914373088685,0,0.027522935779816515,0.16666666666666666
2,GerDracor/grillparzer-medea.xml,tragedy,1342,514,261,0.6339159187529523,0.242796410014171,0.1232876712328767,420,556,298,241,246,356,0.19839395370807747,0.26263580538497877,0.14076523382144543,0.11384034010392065,0.11620217288615967,0.16816249409541806,374,190,203,215,196,66,16,439,19,70,0,52,277,0.17666509211147852,0.08974964572508266,0.0958904109589041,0.10155880963627775,0.09258384506376949,0.03117619272555503,0.007557864903164856,0.20736891828058573,0.008974964572508267,0.03306565895134624,0,0.02456306093528578,0.13084553613604158
3,GerDracor/heine-william-ratcliff.xml,tragedy,438,217,119,0.5658914728682171,0.28036175710594313,0.15374677002583978,142,194,117,96,100,125,0.1834625322997416,0.25064599483204136,0.1511627906976744,0.12403100775193798,0.12919896640826872,0.16149870801033592,126,64,62,94,55,27,9,176,8,15,0,18,120,0.16279069767441862,0.082687338501292,0.08010335917312661,0.12144702842377261,0.0710594315245478,0.03488372093023256,0.011627906976744186,0.22739018087855298,0.0103359173126615,0.01937984496124031,0,0.023255813953488372,0.15503875968992248
4,GerDracor/goethe-faust-eine-tragoedie.xml,tragedy,1677,1039,292,0.5575132978723404,0.34541223404255317,0.09707446808510638,530,782,484,578,279,355,0.1761968085106383,0.2599734042553192,0.16090425531914893,0.19215425531914893,0.09275265957446809,0.1180186170212766,511,253,185,536,246,124,54,488,33,50,0,61,467,0.16988031914893617,0.08410904255319149,0.061502659574468085,0.17819148936170212,0.08178191489361702,0.041223404255319146,0.01795212765957447,0.1622340425531915,0.010970744680851064,0.016622340425531915,0,0.020279255319148936,0.15525265957446807
5,GerDracor/schlegel-canut.xml,tragedy,686,345,92,0.6108637577916296,0.3072128227960819,0.0819234194122885,251,353,245,99,88,87,0.22350845948352627,0.3143365983971505,0.21816562778272486,0.0881567230632235,0.07836153161175423,0.07747105966162066,230,137,66,90,135,135,21,139,16,10,0,20,124,0.20480854853072128,0.1219946571682992,0.058771148708815675,0.08014247551202137,0.12021371326803205,0.12021371326803205,0.018699910952804988,0.12377560106856635,0.014247551202137132,0.008904719501335707,0,0.017809439002671415,0.11041852181656278
6,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,tragedy,388,192,135,0.5426573426573427,0.26853146853146853,0.1888111888111888,161,130,96,94,71,163,0.22517482517482518,0.18181818181818182,0.13426573426573427,0.13146853146853146,0.0993006993006993,0.22797202797202798,158,63,43,82,35,16,6,197,5,13,0,14,83,0.22097902097902097,0.08811188811188811,0.06013986013986014,0.11468531468531469,0.04895104895104895,0.022377622377622378,0.008391608391608392,0.2755244755244755,0.006993006993006993,0.01818181818181818,0,0.019580419580419582,0.11608391608391608
7,TextGrid/-Der_Tod_des_Empedokles.xml,tragedy,1054,652,181,0.5585585585585585,0.3455219925808161,0.09591944886062533,411,458,375,286,153,204,0.2178060413354531,0.24271330153683096,0.1987281399046105,0.15156332803391626,0.08108108108108109,0.10810810810810811,392,201,102,254,157,86,13,326,32,46,0,49,229,0.2077371489136195,0.10651828298887123,0.05405405405405406,0.13460519342872285,0.08320084790673025,0.04557498675145734,0.00688924218335983,0.17276099629040806,0.01695813460519343,0.024377318494965553,0,0.025967143614202437,0.12135665076841548
8,TextGrid/-Ibrahim_Sultan.xml,tragedy,1894,1777,480,0.4562755962418694,0.4280896169597687,0.11563478679836184,701,972,451,1216,205,606,0.16887496988677428,0.23416044326668273,0.10864851842929414,0.29294145988918335,0.049385690195133704,0.14598891833293182,834,243,140,234,461,253,49,1589,13,46,0,28,261,0.2009154420621537,0.05854011081667068,0.03372681281618887,0.0563719585642014,0.11105757648759335,0.060949168874969886,0.011804384485666104,0.3827993254637437,0.0031317754757889667,0.011081667068176343,0,0.006745362563237774,0.06287641532160924
9,GerDracor/klinger-die-zwillinge.xml,tragedy,1330,606,299,0.5950782997762863,0.27114093959731544,0.1337807606263982,392,602,301,282,241,417,0.17539149888143177,0.26935123042505593,0.13467561521252797,0.1261744966442953,0.10782997762863535,0.1865771812080537,320,186,178,276,149,56,31,561,17,64,0,66,331,0.14317673378076062,0.08322147651006712,0.0796420581655481,0.12348993288590604,0.06666666666666667,0.02505592841163311,0.013870246085011185,0.25100671140939596,0.007606263982102908,0.028635346756152126,0,0.02953020134228188,0.14809843400447428
