,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
0,CATMA_1C626293-0D6D-4534-A024-97A963A4F6AD_0,CATMA_7C50330A-F5FE-4BE4-A396-D8219C5FCCF6,Explizite_Source:_Experiencer,source,Experiencer,explicit,lottchen,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Meine Tochter,2,1143,1156,CE,FEMALE
1,CATMA_96DA10B1-ED99-4AFB-8EBF-ACDF13360BC8,CATMA_7C50330A-F5FE-4BE4-A396-D8219C5FCCF6,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,"daß ich den Herrn Damis auf eine Tasse Tee zu
              mir gebeten habe",13,1182,1258,CE,Nicht-Charakter
2,CATMA_836BB7D7-F6CD-4DFA-AC8A-558757BFDB75,CATMA_7C50330A-F5FE-4BE4-A396-D8219C5FCCF6,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,cleon,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,ich,1,1186,1189,CE,MALE
3,CATMA_065B165D-71B9-4B06-89C5-AA1C23707763,CATMA_EF3C9DDF-908F-4D67-B09C-E1D43CDDCBE6,Explizite_Source:_Experiencer,source,Experiencer,explicit,lottchen,single,negativ,negativ,Emotionen des Leids,Leid,dir,1,1300,1303,CE,FEMALE
4,CATMA_C455A710-6A47-449F-B29A-081BFB6E9B80,CATMA_EF3C9DDF-908F-4D67-B09C-E1D43CDDCBE6,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen des Leids,Leid,s,1,1304,1305,CE,Nicht-Charakter
5,CATMA_EF3C9DDF-908F-4D67-B09C-E1D43CDDCBE6,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,cleon,single,negativ,negativ,Emotionen des Leids,Leid,Geht dir's auch nahe,5,1295,1315,CE,MALE
6,CATMA_F2B19580-A6AE-43FB-A3F6-C52693A7535E_0,CATMA_4BFD9B94-77C5-4401-A79F-97703622AFFE,Explizites_Target:_Charakter,target,Charakter,explicit,lottchen,single,negativ,negativ,Emotionen des Leids,Mitleid,"Du gutes
              Kind",3,1317,1344,CE,FEMALE
7,CATMA_48A2568F-B21D-40DB-89DC-9E9737BFA722,CATMA_4BFD9B94-77C5-4401-A79F-97703622AFFE,Explizite_Source:_Experiencer,source,Experiencer,explicit,cleon,single,negativ,negativ,Emotionen des Leids,Mitleid,mich,1,1357,1361,CE,MALE
8,CATMA_D0224CD1-AFED-45E5-891B-2B6CD632F71A_0,CATMA_76D1E1D9-011A-4663-9FD8-A717B100211F,Explizite_Source:_Experiencer,source,Experiencer,explicit,cleon,single,negativ,negativ,Emotionen des Leids,Mitleid,Papa,1,1488,1492,CE,MALE
9,CATMA_6272EEF3-81B1-441B-BC58-033C14A1264E,CATMA_76D1E1D9-011A-4663-9FD8-A717B100211F,Explizites_Target:_Charakter,target,Charakter,explicit,lottchen,single,negativ,negativ,Emotionen des Leids,Mitleid,mich,1,1513,1517,CE,FEMALE
10,CATMA_3B3C96CF-7B83-4E9B-B823-31E7997F9D25,CATMA_76D1E1D9-011A-4663-9FD8-A717B100211F,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,lottchen,single,negativ,negativ,Emotionen des Leids,Mitleid,mich,1,1513,1517,CE,FEMALE
11,CATMA_24CBC3D0-BA5E-4699-883F-B834121005D8,CATMA_975D4AE6-A542-46BD-94A9-CCF3FF021579,Explizites_Target:_Charakter,target,Charakter,explicit,julchen,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,Julchen,1,1630,1637,CE,FEMALE
12,CATMA_91112933-FE0C-4209-9905-02D752242C0E,CATMA_975D4AE6-A542-46BD-94A9-CCF3FF021579,Explizite_Source:_Experiencer,source,Experiencer,explicit,lottchen,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,ich,1,1664,1667,CE,FEMALE
13,CATMA_FAD75713-93E6-45F1-99FF-B4AEBEDDE9A3,CATMA_00F11C74-75C3-4377-9224-9475E53455DE,Explizites_Target:_Charakter,target,Charakter,explicit,damis,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,Herr Damis,2,1743,1753,CE,MALE
14,CATMA_00F11C74-75C3-4377-9224-9475E53455DE,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,lottchen,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Ein
              Mann, der so vernünftig, so reich und so galant ist als Herr Damis",16,1669,1753,CE,FEMALE
