,id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender,connected_emotion_id
0,CATMA_53DE28C4-2B7F-44F8-8BB0-10AB8479A5E1,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,miller,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"schnell auf und ab gehend.
",6,1584,1611,LS,MALE,
1,CATMA_53DE28C4-2B7F-44F8-8BB0-10AB8479A5E1,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,impliziter Autor,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"schnell auf und ab gehend.
",6,1584,1611,LS,impliziter Autor,
2,CATMA_EE1520EF-420A-47F7-A922-429575A36663,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,ich,1,1793,1796,LS,MALE,CATMA_B8A9FC7E-2870-4460-841C-CA151A23DD17
3,CATMA_5940C3D1-776F-4AD9-B729-B67893CF9301_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Ich,1,2064,2067,LS,MALE,CATMA_21A7656E-B9C2-4A7E-8741-6340ACDBE341
4,CATMA_DAD18B58-1AEB-4BE7-8153-479B4210B321,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,mir,1,2628,2631,LS,MALE,CATMA_1094EDB4-F2CF-4ABE-9019-FC5C60AA96F2_0
5,CATMA_96E4D7E6-049D-4DB3-B802-28E80F639A3E,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,millerin,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"Gott behüt uns in Gnaden!
",6,3524,3550,LS,FEMALE,
6,CATMA_8E737025-6CBB-476F-A4D0-33AFC7808CE1,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,ich,1,4121,4124,LS,MALE,CATMA_6C69BCEC-DFDF-46CD-8E40-923B2E6FA2F5
7,CATMA_09328302-5A47-4C8A-911C-AD939E0F56D2,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,millerin,single,positiv,positiv,Emotionen der Freude,Freude,"Solltest nur die wunderhübsche Billetter auch lesen, die der gnädige Herr an deine
              Tochter als schreiben tut. Guter Gott! Da sieht mans ja sonnenklar, wie es ihm pur um
              ihre schöne Seele zu tun ist.
",40,4209,4436,LS,FEMALE,
8,CATMA_BE4AE89D-A5F5-4AD8-A972-84C50C4B2D2B,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,ichs,1,4649,4653,LS,MALE,CATMA_73B6CC03-4C73-4DA2-8EDA-843A72DF3EE1
9,CATMA_A9FEB7AD-266E-47B5-938A-B3E23FF390A8,Gemeintes_Target:_Charakter,target,Charakter,implicit,millerin,single,positiv,positiv,Emotionen der Freude,Freude,"Sieh doch nur erst die prächtigen Bücher an, die der Herr Major ins Haus geschafft
              haben. Deine Tochter betet auch immer draus.
",25,4899,5041,LS,FEMALE,
