,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
0,CATMA_AC80A4F6-8E89-4E20-B074-74A641B01582_0,CATMA_FCA52F16-5497-49F7-9DB0-89FB3CE26C04,Explizite_Source:_Experiencer,source,Experiencer,explicit,die_baroninn,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Sie,1,1434,1437,LS,FEMALE
1,CATMA_FCA52F16-5497-49F7-9DB0-89FB3CE26C04,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,lisette,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"Sie hat heut so vielerley
              Dinge im Kopfe, daß sie selbst nicht weiß, was sie will und nicht will. ",22,1434,1546,LS,FEMALE
2,CATMA_DA46D721-95F5-4155-96CB-646C36C3B865,CATMA_1C9402C6-5C60-42E8-A02C-7B4638F7EF15,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen des Leids,Leid,Festivität,1,1580,1590,LS,Nicht-Charakter
3,CATMA_1C9402C6-5C60-42E8-A02C-7B4638F7EF15,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,lisette,single,negativ,negativ,Emotionen des Leids,Leid,"Wenn wir doch
              diese Festivität schon überstanden hätten!
",9,1546,1617,LS,FEMALE
4,CATMA_EEEB79C4-44F5-44FD-AD2B-89253226B0DB_0,CATMA_E74F3254-A951-41DB-86DE-550DB0EA6234,Explizite_Source:_Experiencer,source,Experiencer,explicit,der_verwalter,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Ich,1,1647,1650,LS,MALE
5,CATMA_5CFD6D7E-0CA2-4E6E-8C5F-EE728B3A32B6,CATMA_E74F3254-A951-41DB-86DE-550DB0EA6234,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Interims-Haushofmeister-Amte,1,1662,1690,LS,Nicht-Charakter
6,CATMA_174A61EB-5F61-43B9-BAB2-277C13BBD0FD,CATMA_E74F3254-A951-41DB-86DE-550DB0EA6234,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Ablehnung,Ärger,gerufen,1,1772,1779,LS,Nicht-Charakter
7,CATMA_6132A20D-1AB5-4F0D-AE17-03AB8993B362,CATMA_717CBD5D-6F1F-4B59-A4EC-EFFD61EB457B,Explizite_Source:_Experiencer,source,Experiencer,explicit,lisette,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,ich,1,2054,2057,LS,FEMALE
8,CATMA_A1E2E3CB-55F6-4BD0-8D6E-8F6F91F28A01_0,CATMA_717CBD5D-6F1F-4B59-A4EC-EFFD61EB457B,Explizites_Target:_Charakter,target,Charakter,explicit,der_hauptmann,group,negativ,negativ,Emotionen der Ablehnung,Abscheu,Bräutigam,1,2092,2101,LS,MALE
9,CATMA_A1E2E3CB-55F6-4BD0-8D6E-8F6F91F28A01_0,CATMA_717CBD5D-6F1F-4B59-A4EC-EFFD61EB457B,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,group,negativ,negativ,Emotionen der Ablehnung,Abscheu,Bräutigam,1,2092,2101,LS,UNKNOWN
10,CATMA_A1E2E3CB-55F6-4BD0-8D6E-8F6F91F28A01_0,CATMA_7F5D04AB-1B7E-44EE-B258-DC4F31BC03AF_0,Explizites_Target:_Charakter,target,Charakter,explicit,der_hauptmann,group,negativ,negativ,Emotionen der Angst,Angst,Bräutigam,1,2092,2101,LS,MALE
11,CATMA_A1E2E3CB-55F6-4BD0-8D6E-8F6F91F28A01_0,CATMA_7F5D04AB-1B7E-44EE-B258-DC4F31BC03AF_0,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,group,negativ,negativ,Emotionen der Angst,Angst,Bräutigam,1,2092,2101,LS,UNKNOWN
12,CATMA_7F5D04AB-1B7E-44EE-B258-DC4F31BC03AF_0,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,lisette,single,negativ,negativ,Emotionen der Angst,Angst,"Bräutigam von unserm Fräulein, der
              größte, der berühmteste Pferdenarr im ganzen Lande ist – ein  Mensch, der
",20,2092,2215,LS,FEMALE
13,CATMA_1CB4D5C0-1B41-484C-A46F-045F9F3EFC62,CATMA_7F5D04AB-1B7E-44EE-B258-DC4F31BC03AF_1,Explizite_Source:_Experiencer,source,Experiencer,explicit,die_baroninn,single,negativ,negativ,Emotionen der Angst,Angst,Frau,1,2326,2330,LS,FEMALE
14,CATMA_2E4BE652-D3FE-4AF6-9663-CDEC81DA79F9,CATMA_7F5D04AB-1B7E-44EE-B258-DC4F31BC03AF_1,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst,Heyrath in Trümmer gehen,4,2371,2395,LS,Nicht-Charakter
15,CATMA_7F5D04AB-1B7E-44EE-B258-DC4F31BC03AF_1,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,lisette,single,negativ,negativ,Emotionen der Angst,Angst,"Darum ist unsre
              Frau in Sorgen, es möchte wohl gar die ganze Heyrath in Trümmer gehen, wenn dem Grafen
              bey seiner Ankunft, von ungefähr unsre Stallordnung mißfiele.
",31,2296,2489,LS,FEMALE
16,CATMA_7A6FA7D3-AC00-4668-800F-ACD4DE9A4897_0,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,der_verwalter,single,negativ,negativ,Emotionen der Ablehnung,Ärger,ich,1,2521,2524,LS,MALE
17,CATMA_F6F3D7C6-BE4B-460D-A665-533F7229C43C,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_0,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"mußt' ich alle unsre Mayerpferde, meine zween Braunen, und des Pfarrers Rappen in den
              herrschaftlichen Stall einstellen",20,2603,2736,LS,Nicht-Charakter
18,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_0,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,der_verwalter,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Ha nun begreif' ich! Denken Sie nur, Lisette! nebst den hochfreyherrlichen Pferden,
              mußt' ich alle unsre Mayerpferde, meine zween Braunen, und des Pfarrers Rappen in den
              herrschaftlichen Stall einstellen. Zum Glück ist nicht mehr Platz, sonst kämen wohl
              des Schulzens Hengste auch dazu.
",54,2505,2834,LS,MALE
19,CATMA_6908AFBE-5B4E-4F2E-9DD7-56B007BECC74,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_1,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Objekt,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Stall,1,3040,3045,LS,Nicht-Charakter
20,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_1,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,der_verwalter,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Wenn Sie erst wüßten, wie heute der Stall aussieht!
",11,3004,3056,LS,MALE
21,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_2,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,der_verwalter,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Seit Anbruch des Tages sind zwölf Frohnleute mit Putzen, Fegen und Polieren
              beschäftiget. Der Fußboden wurde mit weißem Sand ausgerieben, und dick mit Sägespähnen
              bestreut.
",29,3086,3287,LS,MALE
22,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_3,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,der_verwalter,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Sie kennen ja die alten Familienportraits von den geharnischten Rittern, die alle das
              hochfreyherrliche Wappen neben der Schulter, oder zwischen den Füßen, und allmächtig
              große Perücken auf den Köpfen haben?
",34,3359,3595,LS,MALE
23,CATMA_F03D27E5-4B11-4734-89C2-99422C9A770C,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_4,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Sie hängen alle im Stalle,5,3699,3724,LS,Nicht-Charakter
24,CATMA_6E87B08B-DC76-4332-B003-156B4D0A05C6_4,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,der_verwalter,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Nicht mehr. Sie hängen alle im Stalle.
",9,3687,3726,LS,MALE
25,CATMA_46C171F9-FFA6-49A2-B655-2147BD85A0D0,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,lisette,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Nur? und nicht mit Rosenblättern? Ha! ha! ha!
",13,3297,3343,LS,FEMALE
26,CATMA_F661136E-1D05-4064-AD5C-ECB02A7639DD,CATMA_E2DEFA14-A8E4-47F3-B8E3-F92BBC94C377,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,der_verwalter,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,mir,1,4991,4994,LS,MALE
27,CATMA_A6A80150-B20C-4672-81CE-D041C8439E00,CATMA_E2DEFA14-A8E4-47F3-B8E3-F92BBC94C377,Explizite_Source:_Experiencer,source,Experiencer,explicit,baron,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Baron,1,5009,5014,LS,MALE
28,CATMA_29EC4F84-AA78-40A8-AB13-B0F93BD0C9DF,CATMA_E2DEFA14-A8E4-47F3-B8E3-F92BBC94C377,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Heyrath,1,5031,5038,LS,Nicht-Charakter
29,CATMA_07F97DDD-AA05-4BA3-99C6-0F4AE7B4EC18,CATMA_610B032F-5FE6-4F87-B9D5-AA58C54251CF,Explizite_Source:_Experiencer,source,Experiencer,explicit,lisette,single,negativ,negativ,Emotionen des Leids,Mitleid,ich,1,5309,5312,LS,FEMALE
30,CATMA_7761EB32-A6C4-41F5-BC50-8B8DFAE736FF,CATMA_610B032F-5FE6-4F87-B9D5-AA58C54251CF,Explizites_Target:_Charakter,target,Charakter,explicit,leonore,single,negativ,negativ,Emotionen des Leids,Mitleid,Fräulein,1,5327,5335,LS,FEMALE
31,CATMA_7B12BC36-E7BD-4649-93B4-2F61347A71B2,CATMA_DDDDB16F-89C1-4F78-8901-A7A0ADD6EED4,Explizite_Source:_Experiencer,source,Experiencer,explicit,baron,single,positiv,positiv,Emotionen der Zuneigung,Liebe,er,1,5465,5467,LS,MALE
32,CATMA_E6AA12B6-4341-4FEE-A7F6-CAE499BCA5B2,CATMA_DDDDB16F-89C1-4F78-8901-A7A0ADD6EED4,Explizites_Target:_Charakter,target,Charakter,explicit,leonore,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Tochter,1,5494,5501,LS,FEMALE
33,CATMA_DDDDB16F-89C1-4F78-8901-A7A0ADD6EED4,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,der_verwalter,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"er liebt
              seine Tochter; ",5,5465,5503,LS,MALE
