,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
0,CATMA_8861BC40-B620-492C-8EF0-AE447178AC9D,CATMA_F0D2B815-DFF2-4D6B-B2BD-3B7F3A91B912,Explizites_Target:_Charakter,target,Charakter,explicit,unpersönlich,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Thrax und Türcke,3,17037,17053,LSch,unpersönlich
1,CATMA_F0D2B815-DFF2-4D6B-B2BD-3B7F3A91B912,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,DER THRACISCHE BOSPHORUS,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Daß des erzürnten Bosphors Schlund
Den Strand verlässt / wo Thrax und Türcke wütten ",14,16977,17061,LSch,UNKNOWN
2,CATMA_6A138AC3-53A2-4E97-817B-6948F92FAD8A_0,CATMA_A6B89A35-60E4-46F3-85AF-BECDDDEF07EE,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,positiv,positiv,Emotionen der Zuneigung,Liebe,den ,1,17827,17831,LSch,unpersönlich
3,CATMA_A6B89A35-60E4-46F3-85AF-BECDDDEF07EE,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,DER THRACISCHE BOSPHORUS,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"Kein Felß / kein Stahl ist / der den hemmen kan /
Den Lieb und Furcht auf ihren Flügeln führet.",21,17794,17889,LSch,UNKNOWN
4,CATMA_CC233372-FB6B-4E83-B569-4CAF621AD44B_0,CATMA_870CF639-0219-438F-8FCD-B9BA44E1A794,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,negativ,negativ,Emotionen der Angst,Angst,den ,1,17827,17831,LSch,unpersönlich
5,CATMA_870CF639-0219-438F-8FCD-B9BA44E1A794,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,DER THRACISCHE BOSPHORUS,single,negativ,negativ,Emotionen der Angst,Angst,"Kein Felß / kein Stahl ist / der den hemmen kan /
Den Lieb und Furcht auf ihren Flügeln führet.",21,17794,17889,LSch,UNKNOWN
6,CATMA_1A6DE8AD-9F5B-47CA-BE22-920280CC652B_0,CATMA_2BBA2AC3-A413-4A4F-A8E3-E305E9D326D3,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen des Leids,Leid,Wird durch geronnen Blut und Leichen gantz verschwemmet,8,18005,18060,LSch,Nicht-Charakter
7,CATMA_B9CB9F0C-749C-494C-A72C-9331F60F5E51_0,CATMA_2BBA2AC3-A413-4A4F-A8E3-E305E9D326D3,Explizite_Source:_Experiencer,source,Experiencer,explicit,DER THRACISCHE BOSPHORUS,single,negativ,negativ,Emotionen des Leids,Leid,mich ,1,18329,18334,LSch,UNKNOWN
8,CATMA_CA9F9DEA-D044-482D-A05C-5A9A70F433B5_0,CATMA_AFC9CA9E-3CF8-4FF1-8245-1BE506F9CFB5_0,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,"Weil ieder Mord-Fürst hier darmit den Stuhl umbtämmet;
Ja heilge Thürm auß Menschen-Häuptern baut",15,18113,18210,LSch,Nicht-Charakter
9,CATMA_CA9F9DEA-D044-482D-A05C-5A9A70F433B5_1,CATMA_AFC9CA9E-3CF8-4FF1-8245-1BE506F9CFB5_1,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,"Weil man in mich so viel nicht Wasser rinnen schaut /
Als Geilheits-Oel und Schwefel toller Brunst",17,18317,18415,LSch,Nicht-Charakter
