,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
0,CATMA_8CBFC122-EECC-4928-B25D-837926711CEF,CATMA_27B5B476-BB75-4C01-8D93-01E7CEEB204D,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,positiv,positiv,Emotionen der Freude,Freude,daß sie das Testament machen könnte!,7,1583,1619,ER,Nicht-Charakter
1,CATMA_27B5B476-BB75-4C01-8D93-01E7CEEB204D,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,fraeulein_amalie,single,positiv,positiv,Emotionen der Freude,Freude,"wenn doch nur heute unsrer Frau Muhme keine Verhinderung in den
              Weg käme; daß sie das Testament machen könnte!
",21,1495,1620,ER,FEMALE
2,CATMA_751C10CD-9046-493A-BEE1-6D8E642B02CF,CATMA_8B8C60BD-7FD1-4C58-89F9-1A25E727DE3D,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,das,1,1651,1654,ER,Nicht-Charakter
3,CATMA_8B8C60BD-7FD1-4C58-89F9-1A25E727DE3D,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,fraeulein_karoline,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"Warum denn das?
",4,1640,1656,ER,FEMALE
4,CATMA_7FB8CC28-416B-437D-9DF5-749687486141,CATMA_7DBEFB68-A867-4F28-822C-2E1D27B15872,Explizites_Target:_Charakter,target,Charakter,explicit,fraeulein_amalie,single,negativ,negativ,Emotionen des Leids,Mitleid,du,1,1907,1909,ER,FEMALE
5,CATMA_7DBEFB68-A867-4F28-822C-2E1D27B15872,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,fraeulein_karoline,single,negativ,negativ,Emotionen des Leids,Mitleid,"Hast du denn eine Not
              bei ihr?
",8,1902,1947,ER,FEMALE
6,CATMA_D6D44C00-808C-4A67-9234-96DF177CC1EA_0,CATMA_C64ED8FF-AA1C-403C-B161-06A823B78A8D,Explizite_Source:_Experiencer,source,Experiencer,explicit,fraeulein_karoline,single,positiv,positiv,Emotionen der Freude,Freude,mich,1,2039,2043,ER,FEMALE
7,CATMA_757B772B-EFA4-4ECC-94CB-733F6C78CE26,CATMA_C64ED8FF-AA1C-403C-B161-06A823B78A8D,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,positiv,positiv,Emotionen der Freude,Freude,"weder dursten
              noch hungern, noch elend gekleidet gehen dörfen",10,2106,2181,ER,Nicht-Charakter
8,CATMA_8B5E0964-875B-493C-8833-6EC66A7A8656,CATMA_F54EBCB9-DFF5-4E13-A3DF-1A65746327CD,Explizites_Target:_Charakter,target,Charakter,explicit,frau_von_tiefenborn,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,eine jede Schwester,3,2338,2357,ER,FEMALE
9,CATMA_F54EBCB9-DFF5-4E13-A3DF-1A65746327CD,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,fraeulein_karoline,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Es wird nicht eine jede Schwester ihrer Schwester Kinder so liebreich verpflegen, als
              es uns hier geschieht",18,2324,2445,ER,FEMALE
