,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
0,CATMA_02F9ED06-075A-4BAB-8290-CB997D272148_0,CATMA_E4D56824-B431-4B41-8E8D-DF0BA9C8A5EC,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,single,negativ,negativ,Emotionen des Leids,Leid,Ihr,1,2328,2331,LS,UNKNOWN
1,CATMA_E4D56824-B431-4B41-8E8D-DF0BA9C8A5EC,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,unbekannt,single,negativ,negativ,Emotionen des Leids,Leid,"Ihr naht euch wieder, schwankende Gestalten,
Die früh sich einst dem trüben Blick gezeigt.
",17,2328,2419,LS,UNKNOWN
2,CATMA_6B0A3DE0-308B-4201-B474-39E35C1DE620,CATMA_59E54062-4D2F-4C5F-AD4C-8DC6884C3D73,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,single,positiv,positiv,Emotionen der Freude,Freude,Ihr,1,2691,2694,LS,UNKNOWN
3,CATMA_59E54062-4D2F-4C5F-AD4C-8DC6884C3D73,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,unbekannt,single,positiv,positiv,Emotionen der Freude,Freude,"Ihr bringt mit euch die Bilder froher Tage,
Und manche liebe Schatten steigen auf;
Gleich einer alten, halbverklungnen Sage
Kommt erste Lieb' und Freundschaft mit herauf;
",31,2691,2862,LS,UNKNOWN
4,CATMA_1424F1E7-4198-4179-959A-AA141E8DA0D0,CATMA_8E597BE6-B96A-4E95-878D-01B1010E9841,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,unbekannt,single,negativ,negativ,Emotionen des Leids,Leid,mir,1,3014,3017,LS,UNKNOWN
5,CATMA_8E597BE6-B96A-4E95-878D-01B1010E9841,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unpersönlich,single,negativ,negativ,Emotionen des Leids,Leid,"Der Schmerz wird neu, es wiederholt die Klage
Des Lebens labyrinthisch irren Lauf,
Und nennt die Guten, die, um schöne Stunden
Vom Glück getäuscht, vor mir hinweggeschwunden.",33,2862,3036,LS,unpersönlich
6,CATMA_17101E6B-9FAC-440F-BEF6-6DDE2DB4B205_0,CATMA_9039AE08-BC8E-4722-9891-9A9FF4673E60,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,single,negativ,negativ,Emotionen des Leids,Leid,Sie,1,3038,3041,LS,UNKNOWN
7,CATMA_39F1D4D2-8BA7-4C24-A95C-CC3E46B6DEBE,CATMA_9039AE08-BC8E-4722-9891-9A9FF4673E60,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,unbekannt,single,negativ,negativ,Emotionen des Leids,Leid,ich,1,3095,3098,LS,UNKNOWN
8,CATMA_2523B7C1-7AE5-4C96-A15B-64ED7548D92B,CATMA_18B5518D-22B4-4BD1-8B43-A816633E5B0D,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst,Ihr Beifall,2,3235,3246,LS,Nicht-Charakter
9,CATMA_18B5518D-22B4-4BD1-8B43-A816633E5B0D,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unbekannt,single,negativ,negativ,Emotionen der Angst,Angst,"Mein Lied ertönt der unbekannten Menge,
Ihr Beifall selbst macht meinem Herzen bang,
Und was sich sonst an meinem Lied erfreuet,
Wenn es noch lebt, irrt in der Welt zerstreuet.
",35,3195,3372,LS,UNKNOWN
10,CATMA_7ECAD5ED-0ECA-46E6-893F-F821FAD19488,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unbekannt,single,positiv,positiv,Emotionen der Freude,Freude,"Und was sich sonst an meinem Lied erfreuet,
",9,3280,3324,LS,UNKNOWN
11,CATMA_D3FC5B12-D815-43CA-8B83-574950A5AB6E,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unbekannt,single,negativ,negativ,Emotionen des Leids,Leid,"Wenn es noch lebt, irrt in der Welt zerstreuet.
",11,3324,3372,LS,UNKNOWN
12,CATMA_C2B96D20-E484-4539-A2B2-070C0C1D3B4C_0,CATMA_9962E9B6-CF71-43A3-B176-B115BD7F66C3,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,single,negativ,negativ,Emotionen des Leids,Leid,mich,1,3559,3563,LS,UNKNOWN
13,CATMA_2AE42C28-B6B4-4ABD-A0D7-3E93F35C0331_0,CATMA_467269D2-9CD9-43B7-A17A-9635419A39AB,Explizites_Target:_Charakter,target,Charakter,explicit,dichter,group,positiv,positiv,Emotionen der Zuneigung,Freundschaft,Ihr,1,3806,3809,LS,MALE
14,CATMA_2AE42C28-B6B4-4ABD-A0D7-3E93F35C0331_0,CATMA_467269D2-9CD9-43B7-A17A-9635419A39AB,Explizites_Target:_Charakter,target,Charakter,explicit,lustige_person,group,positiv,positiv,Emotionen der Zuneigung,Freundschaft,Ihr,1,3806,3809,LS,MALE
15,CATMA_B57CEF4E-C611-4CB9-85A4-C9598F5CD0E9,CATMA_467269D2-9CD9-43B7-A17A-9635419A39AB,Explizite_Source:_Experiencer,source,Experiencer,explicit,direktor,single,positiv,positiv,Emotionen der Zuneigung,Freundschaft,mir,1,3826,3829,LS,MALE
16,CATMA_7AC08260-CF0B-4403-BCDE-E254BC015A45,CATMA_42B49128-3CD9-436E-9ACC-E5E397D17560,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,positiv,positiv,Emotionen der Freude,Freude,jedermann,1,4071,4080,LS,unpersönlich
17,CATMA_42B49128-3CD9-436E-9ACC-E5E397D17560,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,direktor,single,positiv,positiv,Emotionen der Freude,Freude,"Die Pfosten sind, die Bretter aufgeschlagen,
Und jedermann erwartet sich ein Fest.
",15,4022,4105,LS,MALE
18,CATMA_4777F3C7-8074-496F-8B31-1711DE434FF3,CATMA_8456F365-CECC-438D-BC18-AEEEF3ABACDF,Explizite_Source:_Experiencer,source,Experiencer,explicit,dichter,single,positiv,positiv,Emotionen der Freude,Freude,ich,1,4456,4459,LS,MALE
19,CATMA_9B3B1150-1A1E-476E-9501-841FD9EF46C8_0,CATMA_8456F365-CECC-438D-BC18-AEEEF3ABACDF,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,positiv,positiv,Emotionen der Freude,Freude,"die Menge sehen,
Wenn sich der Strom nach unsrer Bude drängt",12,4465,4525,LS,Nicht-Charakter
20,CATMA_84D08AC5-ED1B-4FFC-A078-7F5511717A26_0,CATMA_357D9124-6078-4573-A2CE-58DF2569F85A,Explizite_Source:_Experiencer,source,Experiencer,explicit,dichter,single,negativ,negativ,Emotionen der Angst,Angst,mir,1,4875,4878,LS,MALE
21,CATMA_86FAFB62-8945-453E-A7F0-DDBE90C899CE_0,CATMA_357D9124-6078-4573-A2CE-58DF2569F85A,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst,von jener bunten Menge,4,4885,4907,LS,Nicht-Charakter
22,CATMA_A357A2F0-A027-45E3-9DE9-2BBC584E2E18,CATMA_357D9124-6078-4573-A2CE-58DF2569F85A,Explizite_Source:_Experiencer,source,Experiencer,explicit,dichter,single,negativ,negativ,Emotionen der Angst,Angst,uns,1,5004,5007,LS,MALE
23,CATMA_FB3515F6-A47D-4B46-96D9-7EB795B59B1C,CATMA_5764940B-E766-48AC-BAA5-0182A63EFC7A_1,Explizite_Source:_Experiencer,source,Experiencer,explicit,dichter,single,positiv,positiv,Emotionen der Freude,Freude,mich,1,5039,5043,LS,MALE
24,CATMA_F23AAEE7-3FC2-4862-9046-6BFC6DF7B45E,CATMA_5764940B-E766-48AC-BAA5-0182A63EFC7A_1,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Objekt,single,positiv,positiv,Emotionen der Freude,Freude,"stillen Himmelsenge,
Wo nur dem Dichter reine Freude blüht,
Wo Lieb' und Freundschaft unsres Herzens Segen
Mit Götterhand erschaffen und erpflegen",24,5048,5194,LS,Nicht-Charakter
25,CATMA_6F40108D-2E6E-4E62-85E7-79A3D46851EC,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unbekannt,single,positiv,positiv,Emotionen der Freude,Freude,"Was glänzt, ist für den Augenblick geboren,
Das Echte bleibt der Nachwelt unverloren.
",16,5456,5542,LS,UNKNOWN
26,CATMA_6F40108D-2E6E-4E62-85E7-79A3D46851EC,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,dichter,single,positiv,positiv,Emotionen der Freude,Freude,"Was glänzt, ist für den Augenblick geboren,
Das Echte bleibt der Nachwelt unverloren.
",16,5456,5542,LS,MALE
27,CATMA_F7CD853F-4915-48A3-A1A7-503344EA3846_0,CATMA_579FACAE-38A1-485E-8525-AA22399FFEC4,Explizites_Target:_Charakter,target,Charakter,explicit,unpersönlich,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Wer,1,5800,5803,LS,unpersönlich
28,CATMA_EC9A9D14-199E-4090-BB5B-1D71F23F4E13,CATMA_579FACAE-38A1-485E-8525-AA22399FFEC4,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,single,negativ,negativ,Emotionen der Ablehnung,Ärger,des Volkes,2,5846,5856,LS,UNKNOWN
29,CATMA_579FACAE-38A1-485E-8525-AA22399FFEC4,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,lustige_person,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Wer sich behaglich mitzuteilen weiß,
Den wird des Volkes Laune nicht erbittern;
",14,5800,5880,LS,MALE
30,CATMA_0C33A3FC-A0D1-4D97-B21C-B0085499230D_0,CATMA_37A12D36-2B34-48F0-972C-24B90416A1D2,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,Ihr,1,6311,6314,LS,UNKNOWN
31,CATMA_37A12D36-2B34-48F0-972C-24B90416A1D2,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unpersönlich,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Da habt Ihr in der Breite gleich gewonnen,
Ihr seid ein vielgeliebter Mann.
",15,6303,6379,LS,unpersönlich
32,CATMA_37A12D36-2B34-48F0-972C-24B90416A1D2,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,direktor,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Da habt Ihr in der Breite gleich gewonnen,
Ihr seid ein vielgeliebter Mann.
",15,6303,6379,LS,MALE
33,CATMA_12AD468C-ECB4-42D8-A71E-716919023BD0,CATMA_BBA7AFAC-654C-436C-BDEA-B1BFB738469C,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Objekt,single,positiv,positiv,Emotionen der Freude,Freude,vieles,1,6473,6479,LS,Nicht-Charakter
34,CATMA_1F76160F-DC2A-4E10-A027-F351F256CED2,CATMA_BBA7AFAC-654C-436C-BDEA-B1BFB738469C,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,positiv,positiv,Emotionen der Freude,Freude,jeder,1,6520,6525,LS,unpersönlich
35,CATMA_BBA7AFAC-654C-436C-BDEA-B1BFB738469C,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,direktor,single,positiv,positiv,Emotionen der Freude,Freude,"Wer vieles bringt, wird manchem etwas bringen;
Und jeder geht zufrieden aus dem Haus.
",17,6469,6555,LS,MALE
36,CATMA_49E04D56-806D-46A2-8479-E6FBD1BC0C27_0,CATMA_E72684A9-F703-43D5-947B-E690B6B1163B,Explizites_Target:_Charakter,target,Charakter,explicit,unpersönlich,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Ihr,1,6713,6716,LS,unpersönlich
37,CATMA_CC24BF6A-1074-4CD0-9494-2E5C12061A66,CATMA_E72684A9-F703-43D5-947B-E690B6B1163B,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Publikum,1,6745,6753,LS,unpersönlich
