,Unnamed: 0.1,Unnamed: 0.1.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
7,3188,3188,GerDracor/schiller-kabale-und-liebe.xml,"So sieh, Mörder!",0,16,character_speech,5,8,,FERDINAND,#ferdinand,906.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
8,3189,3189,GerDracor/schiller-kabale-und-liebe.xml,taumelt hinter sich.,0,20,stage_direction,5,8,speech_part,,#praesident,907.0,MALE,fear,tragedy,,1784.0,negative,emotions of anxiety
9,3190,3190,GerDracor/schiller-kabale-und-liebe.xml,Alle erstarren.,21,36,stage_direction,5,8,speech_part,,#praesident,907.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
11,3192,3192,GerDracor/schiller-kabale-und-liebe.xml,Mein Sohn!,0,10,character_speech,5,8,,PRÄSIDENT,#praesident,907.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
12,3193,3193,GerDracor/schiller-kabale-und-liebe.xml,Warum hast du mir das getan?,11,39,character_speech,5,8,,PRÄSIDENT,#praesident,907.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
16,3197,3197,GerDracor/schiller-kabale-und-liebe.xml,"– Fein und bewundernswert, ich gestehs, war die Finte, den Bund
              unsrer Herzen zu zerreißen durch Eifersucht – Die Rechnung hatte ein Meister gemacht,
              aber schade nur, daß die zürnende Liebe dem Draht nicht so gehorsam blieb wie deine
              hölzerne Puppe.",117,408,character_speech,5,8,,FERDINAND,#ferdinand,908.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
17,3198,3198,GerDracor/schiller-kabale-und-liebe.xml,sucht mit verdrehten Augen im ganzen Kreis herum.,0,49,stage_direction,5,8,speech_part,,#praesident,909.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
18,3199,3199,GerDracor/schiller-kabale-und-liebe.xml,"Ist hier niemand, der um einen trostlosen Vater weinte?",0,55,character_speech,5,8,,PRÄSIDENT,#praesident,909.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
21,3202,3202,GerDracor/schiller-kabale-und-liebe.xml,Um Gottes willen!,18,35,character_speech,5,8,,MILLER,#miller,910.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
23,3204,3204,GerDracor/schiller-kabale-und-liebe.xml,Das Mädchen ist eine Heilige – für,0,34,character_speech,5,8,,FERDINAND.,#ferdinand,911.0,MALE,love,tragedy,,1784.0,positive,emotions of affection
