,Unnamed: 0,pre1_tag_type_cp,pre1_tag_type_percentage_cp,pre1_tag_type_sd,pre1_tag_type_percentage_sd
0,Schadenfreude,367,1.319716638498328,14,3.104212860310421
1,abhorrence,3670,13.197166384983277,52,11.529933481152993
2,"admiration, reverence",2987,10.74112697328203,25,5.543237250554324
3,anger,2895,10.410298824121687,92,20.39911308203991
4,being moved,1843,6.627350857636018,21,4.656319290465632
5,compassion,388,1.3952317595023194,2,0.4434589800443459
6,desire,41,0.14743428386493582,1,0.22172949002217296
7,despair,355,1.2765651407817613,5,1.1086474501108647
8,fear,1849,6.6489266064943005,36,7.9822616407982245
9,friendship,230,0.8270703729008594,3,0.6651884700665188
10,joy,3094,11.125894494588085,87,19.29046563192905
11,love,2832,10.183753461109713,21,4.656319290465632
12,suffering,7258,26.09946420223669,92,20.39911308203991
