,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class,year_genre
0,0,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                 Hans kömpt mit der Frawen herauß.",0,67,stage_direction,1,0,pre_speech,,,,,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
7,7,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    ad spectatores.",0,52,stage_direction,1,0,speech_part,,,7.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
11,11,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Essen / Hans isset mit der Handt.",0,70,stage_direction,1,0,speech_part,,,8.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
12,12,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Jetzt kömpt der Müller Wilhelm.",0,68,stage_direction,1,0,speech_part,,,8.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
16,16,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Antworten ihm nicht / zeuget auff ihr / sol antworten.",0,91,stage_direction,1,0,speech_part,,,8.0,UNKNOWN,anger,K,,1970.0,negative,emotions of rejection,_1650_1730
18,18,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Zeuget auff ihr / sie auff ihn.",0,68,stage_direction,1,0,speech_part,,,8.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
20,20,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Sie gehet mit im.",0,54,stage_direction,1,0,speech_part,,,8.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
27,27,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Gehen hinein.",0,50,stage_direction,1,0,speech_part,,,14.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
28,28,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    kömpt herauß.",0,50,stage_direction,1,0,speech_part,,,15.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
36,36,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Gehet hinein / kömpt die Fraw und Wilhelm.",0,79,stage_direction,1,0,speech_part,,,15.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
